proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
P33121,3601.5,2845.4,3856.8,1117.1,5902.6,4763.8,7434.2,5428.7,4109.8,5241.1,2676.2,1677,2899.6,2254.1,4256.5,5099.6,5281.8,1942.2,5029,5722.8,8865.6,4290.9,4389.3,969.03
P33176,33084,37445,17022,57664,21228,77517,41011,53068,60209,44376,46910,52472,49980,67232,92640,45216,47679,36118,44996,69488,71241,28764,37393,30376
P33316,5900.6,4638.7,6119.2,8787.8,19633,12221,5342,8393.5,6213.2,11407,8117.1,9254.8,9815.4,2554.8,13701,6127.4,6677.8,5881.1,4961.3,5420.6,5341.3,8676.9,11214,4266.7
P33402,0,0,0,0,0,0,1546.1,3261.2,0,0,1712.3,2959.7,2372.2,1742.5,3492.2,0,2393.5,0,1630.9,1672.3,0,0,7576.2,0
P34896,0,659.86,0,460.64,1293,3536.5,0,1312.1,4788,0,4881.7,0,0,2863,0,0,1739.6,581.86,0,0,1335.8,0,0,299.51
P34897,1153.8,13717,1965.5,2906.7,4590.8,15011,14793,10102,15985,7658.8,2092.1,2395,10289,6835.2,6435.3,16381,5314,6691.7,4684,7762.5,24450,1258.5,6460,1093.2
P34913,11564,16095,15495,18183,19451,12192,32992,14926,39861,31865,35564,28305,38039,32736,27752,22799,16046,16085,28817,47189,17594,7787.5,6552,13681
P34931,0,5501.6,2904.3,0,2639.6,0,0,2646.3,2932.8,2199.2,2777.2,3016,2339.2,0,2548.2,2847.2,1725.3,0,2866.3,0,2291.9,0,0,0
P34932,184130,99795,152440,186720,94163,158380,201110,149380,162200,168950,182370,174190,158470,186280,176660,149240,179010,160300,201890,193830,191650,147920,243850,148170
P34949,59338,47748,54584,49654,30680,28624,51767,64217,60628,63523,50194,69619,64332,55841,12809,39976,40421,44055,35653,65072,55538,37148,34558,31088
P35052,6298.7,2526.8,2782.5,5505.7,6911.2,0,7510.1,1693.9,2969.7,2439.8,1778.7,3424.5,1970.8,9386.4,1467.9,0,4054.3,0,3233.2,6380.7,6499.6,4843.6,0,0
P35080,72450,56450,45815,68135,68235,68298,110610,81286,90352,73743,86328,72570,89682,93851,78795,69039,74486,51200,58475,76236,66350,61634,57863,66635
P35221,5034.1,11513,18358,12586,18545,16373,16368,38157,46046,15453,19575,16682,38965,21906,15060,10681,9711.1,4614.3,1336.5,30432,10205,10157,837.74,2583
P35222,81462,73479,137010,86825,84099,54848,91506,113510,122430,128340,109850,56420,97079,102110,59828,96678,42082,73308,97022,152760,89976,77536,51291,52077
P35232,216230,102850,145780,170850,180950,226810,191170,185480,180420,190710,181560,193540,177890,169270,166980,154060,150300,167200,173730,249950,181410,128400,232790,91781
P35237,48458,60357,76912,113140,77211,79466,94880,127680,165180,99762,107730,36809,114210,124740,61744,101460,85744,48343,44575,144200,151670,46130,28399,48574
P35241,29079,29674,58908,44917,24616,28736,63419,35484,50167,45034,41811,31550,48358,43607,31221,55893,30955,26320,41261,37582,43341,47817,21451,43043
P35244,5704.1,5130.5,4845.3,6203.9,5496.9,8042.4,4639.4,7790.5,5187.7,8501.3,6078.8,3319.1,7439.7,10879,2664.6,6695.3,3241.6,4371.8,3818.8,4909.1,7073.9,5285.7,3977.5,1790.6
P35268,5116.8,3687.4,3229.5,11915,5692.5,0,0,1657.7,0,0,6984,5117.8,3642.6,1859,0,1623.6,3394.8,2220.1,3699.2,10043,4076.5,9046,12153,0
P35270,11378,7328.6,15412,9516.3,9974.8,7178.3,12681,12962,11389,16289,15035,10600,14344,13409,10469,13563,12610,10549,8865.3,8694.8,22524,14635,9720,10298
P35414,488.12,2393.3,1284.2,5590.9,2553.1,0,8093.1,3979.5,4290.1,2444,1964.3,0,3827.5,0,0,0,0,3078.2,0,0,6267.6,3435.6,0,2735.4
P35520,5173.5,6238.1,10291,7202,10946,8653.7,12458,14378,1331.5,13632,5655.2,6692.6,7594.4,5188.8,3117.3,911.47,8825.7,3382.7,2683.8,6914.1,14755,2595.4,3245.9,3971.1
P35527,90066,23418,97986,69266,143780,76406,135060,44795,143170,110110,83493,80699,73126,80659,34476,56516,62043,59903,57637,48376,78859,96579,95175,99602
P35573,62582,25750,120490,35695,13898,24473,29351,31645,27698,35037,39719,15201,36272,32912,9549.2,31572,29715,26553,18493,35406,38690,48903,33736,11431
P35579,162640,80322,121630,164510,487000,98828,219960,258440,180940,192040,141150,200760,162370,168850,177000,182050,125790,227860,108100,218590,213100,118820,107400,99276
P35580,134330,39142,64943,44613,93783,78028,113030,65865,48128,87715,79106,71178,77211,66717,63530,82182,41895,106670,86271,82899,72994,61611,81069,72430
P35606,14945,16633,23435,11677,9936.4,4861.9,13445,21826,27789,23852,25811,17938,22342,15054,23338,5261,14468,17652,5057.7,36650,34805,6548.9,7832.6,6301.3
P35609,44094,10671,1639.9,5172.1,10343,10454,33793,7878.1,1720.1,6135.4,4823,20251,9939.6,3673.2,11384,5371.8,8832.6,49116,42103,10981,8109,22734,62912,2374.9
P35611,304580,154430,389490,339690,236470,320510,287450,349150,438510,367220,313000,216260,276130,309370,208130,320760,147370,273810,225800,414010,281330,206180,228370,165600
P35612,149940,36525,108290,145050,67016,109840,102620,79611,73230,85150,88755,111270,90250,71978,84575,140710,66301,201230,194160,177080,67282,85956,125650,70968
P35613,27438,9989.2,62900,34556,22090,36977,47381,43942,46821,43336,32759,46998,35194,29962,23887,45349,8490.1,33175,33497,44396,31777,39657,26826,25579
P35637,11640,13664,2121.9,11515,8877.4,12211,5919.2,15034,9154.6,15475,21579,8429.1,8626.7,16931,18542,10629,22284,5262.1,5482.1,17241,9728.2,9581.1,6827.1,5672.7
P35749,18354,1769.5,14333,1017.5,228240,3966.9,29428,15033,8892.4,18228,2794.2,34281,27728,486.6,13133,14627,21474,64413,4180.8,20275,6186.2,6251.3,8719.6,4582.5
P35754,0,0,3470.9,5441.6,0,3729,0,5801.7,6582.4,5021.5,3946.5,0,5456.2,3843.8,2602.2,0,6058.4,7569,3285.1,13159,6721.1,4757.5,3709.6,0
P35813,11131,2352,3732.4,8576.4,0,11382,4372,11423,10914,3456.7,3859.4,2668.6,11917,0,6501.3,0,14258,3787.7,1712.3,10675,7195.3,3237.7,5642.1,2343.5
P35908,87737,49245,82359,89361,135760,111810,105650,133850,90866,81912,68569,108390,98798,70371,59113,66683,65889,75480,53286,52777,101860,66815,93214,86902
P35914,2116.5,3217.3,1946.5,1869.4,19063,7493.7,3672,5621.7,6635.4,6826.8,3921.6,2185.1,4425,3606.5,3715.2,3957.5,1991.9,0,1338,3868.6,5922.3,1292.2,5392.1,738.27
