proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
,Disease,Control,Disease,Control,Disease,Control,Disease,Control,Disease,Control,Disease,Control,Disease,Control,Disease,Control
O00505,0.11758794,0.08123891,0.15970588,-0.06248575,0.08528718,-0.01154551,0.10147307,0.0976128,0.07244631,0.1083793,0.20491877,0.10006461,0.16340296,0.15047993,0.01623114,0.18268006
O00519,-0.4448883,-0.5650271,-0.2002371,-0.9391299,-0.3841948,-0.2088496,-0.47778,-0.3403386,-0.1505982,-0.2744755,-0.2196685,-0.18135,-0.2572889,-0.2476732,-0.3094911,-0.2544806
O00533,0.5862282,0.6516253,0.6716799,0.7894111,0.6872489,0.6504744,0.6589004,0.6215488,0.4128413,0.7318501,0.5255418,0.6832277,0.3471256,0.6103373,0.5292638,0.6705517
O00534,-0.7089296,-1.4860659,-0.6654645,-1.636018,-0.7611682,-0.8735178,-0.6686243,-1.4688147,-0.641599,-0.9490782,-0.4847882,-0.7166408,-0.3344665,-0.9239148,-0.8367644,-1.2082361
O00555,-1.09253822,-1.24743683,-1.42163485,-1.1874496,-0.94209967,0.01218983,-0.96378605,-0.22836225,-0.97740967,-0.12145904,-1.47731006,-0.37807198,-1.55139918,-0.31953981,-1.20032789,-0.19124605
O00560,-0.109115499,0.01577669,-0.117726857,0.258928991,-0.045319946,-0.032579665,0.131177842,-0.15219597,0.031650692,-0.035076506,0.142390303,-0.135302741,0.067590044,-0.262566967,-0.001079165,-0.160633844
O00562,-1.1063049,-0.3407354,0.1845185,-1.1533324,-0.6397177,-1.1277165,-0.5256301,-0.6474444,-0.7213918,-0.8129475,-0.6419216,-0.7941634,-0.6978147,-0.8692403,-0.6432228,-0.7719171
O00567,-0.097436064,-0.403479764,-0.175044289,-0.478577197,-0.145366249,-0.305935006,-0.004341326,0.068171058,-0.511474817,-0.422291228,0.00394539,-0.181694436,0.020937926,-0.239606735,-0.119697255,-0.250758492
O00571,0.599801,0.5989045,0.6711215,0.6721737,0.708577,0.6203991,0.5711377,0.5612476,0.5137309,0.5700709,0.591319,0.5661697,0.6562002,0.5177966,0.6407015,0.5729423
O00584,-0.7610572,-0.2805039,-0.4077237,-0.666398,-0.6017761,-0.2537005,-0.3207018,-0.5248603,-0.2320356,-0.6935814,-0.3972719,-0.6694903,-0.2756632,-0.4582602,-0.5541037,-0.5111887
O00592,-1.19436,-1.470495,-1.100517,-1.109172,-1.09533,-1.455147,-1.30689,-1.411649,-1.360412,-1.225414,-1.637394,-1.222702,-1.47019,-1.136752,-1.313384,-1.146954
O00625,-0.60730834,-0.04687446,-0.53649868,0.21327675,-0.62215323,-0.76849058,-0.37812715,-0.47929183,-0.51911446,-0.47538323,-0.70180673,-0.51353037,0.08567133,-0.71439836,-0.54392897,-0.57442469
O00629,-0.075997973,0.168946157,0.007254834,0.173234931,0.179211711,0.25822151,-0.110103499,0.188534893,-0.089156777,0.339172321,-0.199007483,0.211101613,0.012766944,0.156425413,-0.055889404,0.157246096
O00743,-0.14371188,-0.441659266,-0.223789387,-0.421970576,-0.262922529,-0.818659313,-0.18476528,-0.761613257,-0.000518754,-0.553022089,-0.207990987,-0.552570111,-0.16524353,-0.496683744,-0.176787185,-0.382120361
O00764,1.229261,1.048583,1.309497,1.016715,1.229482,1.169394,1.319908,1.154571,1.071845,1.144058,1.18872,1.180892,1.193035,1.163146,1.128729,1.203314
O14490,0.27350618,0.03627585,0.07864588,0.05142528,0.28311144,-0.02930702,0.14159077,0.37004704,0.35892961,0.45790933,0.15512102,0.43899136,0.13990926,0.45996311,0.22042787,0.40959051
O14494,-0.3658814,-0.46621515,-0.43463406,-0.47805874,-0.67683756,-0.14118449,-0.46430778,-0.19074393,0.04377435,-0.38643742,-0.26511437,-0.48421391,-0.23463915,-0.52545294,-0.65436834,-0.54704165
O14495,0.2499028,0.5644353,0.4294434,0.1397037,0.2117861,0.4067343,0.3979277,0.4241392,0.3463555,0.3542562,0.4852032,0.4166459,0.4887634,0.4423114,0.2322307,0.4315526
O14521,-0.3443451,-0.5596735,-0.1884511,-0.4476315,-0.377638,-0.7905461,-0.423386,-0.4310017,-0.4711051,-0.400958,-1.6818207,-0.2050315,-0.1552058,-0.3875841,-0.1346385,-0.3275239
O14523,0.1332627,-0.070240567,0.1025037,-0.070405534,0.104364905,-0.352673718,-0.039397867,0.012022627,0.320616361,0.141435387,-0.106599458,0.150874731,-0.169975795,-0.009047867,0.144342896,-0.025319666
O14525,-0.9443783,-1.4768136,-0.8134301,-1.2228996,-0.3921881,-0.8540076,-0.909326,-0.7890255,-0.4512266,-0.7501398,-1.0204688,-0.55905,-0.8159864,-0.8521685,-0.9946897,-0.605816
O14531,0.8707869,1.1927872,0.8140692,1.1698148,1.0707469,1.181307,1.0688497,1.0560471,1.073011,1.267116,1.0240065,1.1723498,0.8510179,1.07469,1.0598712,1.0380794
O14548,0.7109332,1.0728268,0.4774633,0.6207352,0.6045729,0.4770554,0.5223065,0.6235828,0.9066195,0.7648731,0.5340331,0.7995367,0.5341453,0.7425023,0.5318939,0.6490058
O14558,0.33469708,0.10523229,0.48109214,0.03326173,-0.09092205,0.05153985,0.48670995,0.24079021,0.07847521,-0.0855245,0.35530757,-0.04848899,0.33255195,0.11614546,0.25057663,-0.24551124
O14561,0.3967954,0.4760267,0.5505429,0.1607509,0.238574,0.4334277,0.4791598,0.5427313,0.1020006,0.135024,0.3049674,0.4693973,0.1040628,0.4894259,0.3712032,0.6762353
O14562,-0.7513833,-0.4007415,-0.8396897,-0.4176189,-0.6660732,-1.0522615,-0.5792487,-1.2021087,-0.6910947,-0.9070581,-0.5867067,-0.911889,-0.6227917,-0.8606994,-0.5968826,-0.9323802
O14576,0.5115984,0.4606524,0.511078,0.5172215,0.4683561,0.5094829,0.5145194,0.5894992,0.4959693,0.4574624,0.4063645,0.3479138,0.1074396,0.441776,0.5607137,0.4723677
O14578,0.31597125,0.29230435,0.10525448,0.16990426,0.33024395,0.04160883,0.27063753,0.41331679,0.45727429,0.38214962,0.28346466,0.36729346,0.21800879,0.3394026,0.21348689,0.25561912
O14579,-0.09514862,0.01398098,-0.08819724,-0.12183282,-0.02745593,-0.20126414,-0.19328425,-0.10756704,-0.11456451,-0.18800561,-0.01876649,-0.11922629,0.10465193,-0.12841479,-0.07743936,-0.1143434
O14594,1.0371008,1.2477585,1.036688,1.0967595,1.1134388,1.1190428,0.9166478,1.1760388,0.9770095,1.1807916,1.0494953,1.2050111,1.060383,1.090669,1.0099903,1.1644985
O14617,0.8571864,0.981422,0.7482769,0.846785,0.9545561,0.8565327,0.9056434,1.0446183,0.9160614,0.926105,0.9341769,1.0451771,0.708828,0.9549679,0.842739,1.0190467
O14618,-0.446523096,-0.497758924,-0.542999275,-0.065782558,-0.527351981,-0.294832596,-0.492622598,-0.296097886,-0.609820358,-0.320085599,-0.096463154,-0.144242985,0.007037866,-0.209656089,-0.297555477,-0.351062509
O14639,0.29849155,-0.09502317,0.27639906,0.33224979,0.18437532,0.11630037,0.27707553,0.34293415,0.44256111,0.12694004,0.27472925,0.28222659,0.40550872,0.50778798,0.32530821,0.3733835
O14653,-1.6074641,-0.7542674,-0.7586655,-0.5348685,-0.7919519,-0.6211851,-1.0997836,-0.7058144,-0.4514675,-0.6933968,-1.3294234,-1.6197394,-1.292185,-0.6440218,-1.3187349,-0.6267883
O14662,-0.651957,-0.8895722,-0.4901152,-1.0923206,-0.6757324,-1.3069156,-0.286765,-0.6625395,-0.6096469,-0.7005863,-0.585936,-0.520358,-0.4230151,-0.6003495,-0.534344,-0.6573029
O14672,0.10214618,0.35809809,0.18624287,0.51662297,0.06574425,0.50131886,0.04688737,-0.20416197,0.2596856,0.17138267,0.35003622,0.05785319,-0.10410581,0.04685255,0.05411831,-0.31733181
O14683,-0.45896279,-0.91583001,-0.52887445,-0.2033382,-0.55233865,-0.52460857,-0.6102537,-0.97085677,-0.28939093,-0.36435226,-0.46980903,-0.98454328,0.06495121,0.04424652,-0.46892416,-0.67512234
O14734,-0.5593658,-1.2267866,-0.798676,-0.8000997,-0.761518,-0.8241361,-0.8190472,-0.8927716,-1.0484796,-0.9379862,-0.5025926,-1.0300705,-0.8841767,-1.0577738,-0.7820839,-0.8892375
O14735,0.002344448,0.318170339,-0.168396382,0.277108635,-0.053036812,-0.277097795,-0.24385132,0.082653478,0.065404952,0.087053039,-0.585644253,-0.148522606,0.071794047,0.031316684,-0.02846084,0.000593304
O14737,0.293453799,-0.013813072,0.213527842,-0.154983464,0.19475629,0.027417821,0.167791306,0.009385255,0.19080773,0.094971889,0.238261363,-0.023432698,0.218028797,-0.018241893,0.22227272,-0.070612415
O14744,0.080718176,-0.533303861,-0.160708988,-0.313025684,-0.128810738,0.100039389,-0.005214823,-0.017348386,0.155842667,0.007057892,0.122219527,-0.020295172,-0.145980425,-0.20353659,-0.115821432,-0.024073514
O14745,0.6999528,0.8234766,0.8077576,0.9444473,0.6940775,1.1501362,0.6271906,0.9267772,0.9824269,0.8075407,0.7018604,0.8011242,0.9099056,0.8455416,0.7370598,0.7790721
O14773,0.6417595,0.8130358,0.8418445,0.639415,0.4827262,0.8211136,0.6492658,0.7316924,0.7646559,0.6465121,0.9896469,0.8022735,1.0446764,0.6287197,0.6252958,0.455099
O14775,0.4434568,0.6587139,0.4743682,0.6452551,0.5076629,0.3066047,0.547956,0.4920063,0.164934,0.6432691,0.3581985,0.618092,0.3829587,0.5199798,0.5077009,0.58989
O14782,-1.4666572,-1.2792214,-1.7796158,-0.8469457,-1.1987646,-0.9791559,-1.21171,-1.0804426,-1.904975,-1.0921178,-1.3358344,-1.3103354,-1.9032721,-1.5252195,-1.7299085,-1.5648906
O14787,0.09341563,0.16416823,0.25987528,0.02892075,0.12699551,0.23655313,0.12204935,0.34157368,0.10584691,0.29653556,0.13518057,0.26478306,0.09456138,0.34930348,0.12847935,0.40717303
O14807,0.31989377,0.25527306,0.3889151,-0.03374633,0.38095631,0.44234144,0.33491937,0.27055189,0.42952995,0.42845631,0.28708161,0.30539963,0.28717169,0.29344211,-0.02433505,0.42770325
O14810,0.5277096,0.6213579,0.3036535,0.9750816,0.3780539,0.6323355,0.392146,0.6194107,0.6038602,0.5116885,0.3992141,0.7381149,0.1926396,0.8372444,0.3581206,0.5539195
O14818,0.7107578,0.6128438,0.669853,0.8078654,0.6886559,0.7174375,0.6143449,0.7346275,0.7965911,0.72761,0.7991288,0.6896152,0.7818192,0.7316997,0.7468847,0.6027445
O14827,0.207654273,-0.100850349,0.643528111,-0.02407864,0.223145214,0.009478508,0.387619745,-0.055345577,0.015630892,0.054952418,-0.311663641,0.191133036,0.440084231,0.094261606,0.226572358,0.156376113
O14828,0.124826065,-0.006104777,0.118237599,0.029430989,0.228097791,-0.30557406,0.187226497,-0.142451037,0.16492424,-0.239555699,-0.438791682,-0.132573568,-0.044280002,-0.026278933,0.16016863,0.03218251
