proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
Q9BTW9,5327200,8773200,2742800,6523600,5650000,8151300,4471600,9532000,6935900,9646500,8035400,10811000,7891800,12719000,6812200,11007000
Q9BTX7,664540,468150,329380,66946,941210,314370,431880,858470,1006800,1272800,353510,671200,726930,0,780600,1398200
Q9BTZ2,926100,1928500,303950,1105900,1363100,922300,1148100,1206700,84698,1113400,532200,1215500,1042600,1922400,802340,1048000
Q9BU02,1049300,1161900,1164500,1147400,1189600,1476400,1385900,1753600,1241200,1213900,2244900,515680,2830700,1152200,1695800,1165600
Q9BU23,14669000,22577000,9221300,13236000,17425000,20649000,11802000,16278000,20629000,22272000,18475000,16559000,20237000,15274000,18486000,29236000
Q9BU61,1118300,0,349880,0,692890,4187200,255380,262940,2374800,468190,2524900,243400,2818400,1547100,1125000,1469000
Q9BUB7,1670800,1956700,494650,419800,1279700,275070,1246900,238070,1880000,235360,798380,1116200,1453800,580140,1718300,496160
Q9BUE6,1222600,3578500,383780,2566900,1189500,1320000,365810,2768500,3435700,3000900,641020,3256400,1420300,2872200,2668100,2157300
Q9BUF5,95886000,131760000,65743000,71865000,7021200,199020000,164120000,185650000,7843900,209220000,119750000,112050000,9498800,98858000,140240000,153330000
Q9BUJ2,365140,832410,159880,0,392940,0,189540,412880,144610,390820,398490,0,1748400,454600,444410,282180
Q9BUL8,1783900,0,697480,1519400,3561900,304410,714200,475790,1748500,3107800,872600,2670200,4813700,2316200,1782100,3371100
Q9BUP0,5942200,22472000,4295300,20913000,7390200,18920000,5308600,14426000,6626100,16062000,6072400,17933000,6008100,13296000,6859900,15906000
Q9BUR5,10258000,22208000,4934800,18690000,6349200,16266000,5809700,13599000,3445400,15780000,8880100,16809000,11223000,18093000,13542000,8704200
Q9BUT1,2883900,2666100,6084800,6872600,2722700,2066300,2950700,5975200,2081900,1872000,3545000,2773900,6705000,4906600,5344800,2839600
Q9BV20,449830,194170,556920,108980,573780,602280,190520,122700,441780,488170,347540,632030,493100,1095400,114370,789130
Q9BV23,927790,1409300,292170,1126900,1040500,2337000,567660,2432700,907710,2012900,1187800,1536200,1586300,918640,1542800,1846800
Q9BV35,308640,2301300,191090,1260800,321190,837950,316860,1189000,888480,1169100,465060,1485700,625590,1567200,554030,1208600
Q9BV79,2312000,3681700,802090,3085300,1893800,2905800,994450,3452500,4204100,4873400,3120900,5677500,748200,5956400,2954300,4503000
Q9BVA0,1537600,2106500,530190,2657700,1570300,4807900,526510,1842100,956140,3299800,1488500,2765100,1063800,2189000,1722100,3172000
Q9BVA1,6556600,12956000,7270600,13556000,4586000,20224000,2578900,14867000,8732500,14222000,9661900,11068000,10376000,14370000,6850200,16294000
Q9BVC6,2793500,0,2588000,0,3279800,1628900,1032700,1213300,1561600,1703800,3212500,3076300,5490800,3476600,4172800,0
Q9BVG4,1179500,115640,592070,258870,1053100,172640,874570,100150,1229400,333290,1175000,480590,1751900,549930,1300400,1293700
Q9BVG9,77510,21336000,16443000,14599000,15276000,4540700,13075000,3921200,2425000,2659500,6239500,4730100,10975000,21584000,33827000,7064800
Q9BVK6,3800200,7512900,2219800,4276700,1883400,2641600,1713500,5651700,4780100,6286700,3812600,4751100,5456700,6190900,3382500,5872800
Q9BVM2,94314,12344,66275,17211,118160,113800,121120,46189,70132,0,89686,86344,187430,113480,132850,123430
Q9BW30,28576000,60868000,29011000,86775000,18292000,112640000,21497000,31584000,36874000,55412000,46332000,46252000,47882000,51051000,26604000,40392000
Q9BW60,0,367260,0,529020,0,1756800,0,351630,0,819910,0,0,0,0,0,0
Q9BW62,615580,0,618360,0,816320,943030,335100,658330,88806,936120,885540,728900,888320,325420,1110500,424140
