proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
A5YKK6,0.081962047,-1.659735498,0.43901945,-0.252271482,0.365255578,0.105633111,-0.011526189,-0.442598514,-0.532161073,-1.383312242,-1.03114451,-0.420658745,-0.260354586,-0.349203361,-0.286019281,-1.645172907,0.209833703,-0.489332724,-0.197540525,0.01253753,-0.000648468,0.158135011
A5YM72,-0.327414057,0.539367379,-0.583130655,1.054713604,-1.394743037,-0.580268008,-0.405999696,-0.473831004,-0.163281315,0.266468653,0.009491885,-0.223860579,0.069837429,0.876304007,0.430925387,-0.168948735,-0.713623724,-0.159025861,-0.943179028,-0.906520605,0.369819118,-0.639297323
A6NCS6,-1.58241853,-1.25602751,-1.36851645,0.07714316,-1.37606107,-0.78357046,-0.40527995,-1.49397088,-1.58338966,-0.97960228,-1.32640326,-1.0132235,-1.34183072,-0.38383575,-1.60279069,-1.24146474,-1.53670602,-1.37008819,0.12582011,-0.64307418,-1.32815274,-1.556769
A6NDY2,0.35090438,-1.22456279,-0.03159713,-0.8848906,-0.64562714,-1.53571566,0.53190827,0.48811295,0.79296006,-0.94813752,1.05640774,0.3308693,0.70955602,-1.05134079,0.99684211,-0.10074192,0.11381228,0.08966562,0.81324642,-0.82895855,0.27836312,0.88788799
A6NE02,0.66072671,1.532911649,0.759905966,0.345079121,-0.942290925,-0.002477702,-0.364621691,0.029725612,-1.149620731,1.485411361,0.443432118,1.361255682,0.96812647,2.140577637,0.304905058,1.503314394,0.063389592,2.121962336,0.386735304,1.997991077,0.507564203,-0.079404589
A6NHQ2,0.4795068,-0.9758616,-0.7814705,-1.3351585,-1.7948596,-1.9859714,-1.9161558,-1.9127657,-2.0021799,-1.3984052,-0.4111323,-0.2952258,-1.76063,-1.5016079,-2.0215797,-1.6602657,-1.9554989,-0.4234072,-1.3433001,0.8593344,-1.7469523,-1.9755608
A6NHR9,-0.22827737,-1.73437264,0.09906318,-1.39470371,-0.12020398,-0.48653841,-1.9756979,-1.9723079,-2.06172048,-1.45795034,-1.80474684,-1.49157137,-1.82017387,-1.56115291,-2.08111978,-1.71981013,-2.01504039,-1.84843051,-0.70387626,-0.85486524,-0.17719243,-0.55670203
A6NNL5,-1.89670069,-0.37996649,-1.68280324,-1.23064457,-1.69034776,-1.88146281,-1.81164562,-1.80825551,-1.89767179,0.05860298,-1.64069054,-1.32751251,-1.65611782,-1.39709435,-1.91707212,0.53348355,-1.85098958,-0.98540845,-1.23878619,-0.92042194,-1.64244,-1.87105198
A6ZKI3,-0.26178387,-1.26333868,-1.37582761,-0.92366655,-1.38337223,-1.57449127,-1.50467221,-1.50128202,-0.13448679,-0.98691346,-0.63474512,-1.02053469,-1.34914188,-1.09011672,-0.46165438,-1.24877591,-0.06936247,-1.37739935,-0.93180818,-1.59411746,-1.3354639,-1.56408012
A8MVU1,-0.69189162,-1.32369511,-0.73721503,-0.98402311,-0.26673784,0.02227743,-0.51893449,-0.55199498,-0.69730307,-1.04727002,-1.3940708,-1.08089123,-1.40949823,-1.15047324,-0.89750823,-1.30913235,-0.54376191,-1.43775567,-0.01206644,-1.65447329,-0.12660268,-1.62443605
B0I1T2,-0.41466554,-1.37599757,-1.48848626,-1.03632572,0.49376672,-1.68714903,-1.61733038,-0.52552437,-0.67152417,-1.09957261,-0.02021629,-1.13319382,-0.55334056,-1.20277581,-0.19020452,-1.36143483,-1.6566751,-0.79108943,-0.24740515,-1.70677507,0.38913964,-0.10129146
B2RUZ4,0.74044469,0.27438749,-1.09198438,0.06818281,0.16678254,-0.13246395,-0.13012656,-0.51846969,0.20334926,0.52254929,0.46767593,0.57155614,0.68865565,0.74634016,0.04870265,0.38386729,-0.04974616,0.56202816,0.54357925,-0.33703083,0.09857717,-0.07818079
B2RXF0,-1.71385157,-0.03968911,-1.49995067,-0.34882038,-1.50749526,-1.69861331,-1.62879472,-1.62540454,-1.71482269,-0.33964594,-1.45783761,-1.14465829,-0.70883089,-0.48704103,-1.73422353,-0.4146996,-1.66813941,-1.50152241,-1.05593183,-0.72025006,-1.45958708,-1.68820224
L0R6Q1,0.2286943,0.3834014,-0.6281602,0.2215374,-1.3346741,-0.2304738,-0.2902725,0.0824536,0.4318787,0.1440219,0.3802986,0.2134646,-0.2776899,0.3963951,0.1828069,0.5037556,-0.2898286,0.2616607,-0.8831099,-1.5454196,-0.5105516,0.2375428
O00116,0.82725352,0.88952376,0.47126467,0.49697353,0.36882799,0.56110983,0.6173441,0.76955599,0.4410666,0.98072661,0.76213671,0.19634736,0.26891239,1.37561744,0.74842432,1.70092368,0.34416946,0.66118323,0.18642684,-0.07198997,0.25682569,0.64482792
O00139,-0.39981331,-0.47056601,0.01679481,0.45143954,0.15698926,-0.04042005,-0.21371249,0.1492029,-0.2661379,-0.47158225,-0.14630518,0.09512815,-0.11158816,0.10479597,-0.07962331,-1.43241392,-0.08340873,-0.1441199,-0.21713254,0.38070707,-0.01078867,-0.0192288
O00142,-1.81726437,-1.49087679,-1.60336506,-1.15120542,-1.61090963,-1.10306229,-1.73220834,-0.76573862,-1.81823548,0.42629593,-1.56125217,-0.01859073,-1.57667952,0.21085848,-1.83763609,0.1261326,-1.7715527,-0.14407435,-0.16407153,-0.43929895,-1.56300163,-1.79161533
O00154,-1.3813223,0.7373306,0.4688864,0.711891,-0.1590344,0.1136174,-0.597295,1.1879765,0.368321,0.9673999,0.3680981,0.3911973,0.4738532,0.6993783,0.2166128,0.5207529,-1.3356095,0.4497349,0.2036524,0.6430105,0.6462288,0.3029397
