proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
Q9H9T3,9780100,,14066000,,34250000,36191000,37708000,20000000,7822100,,1625900,,14046000,,4004300,,9599000,7051000,14990000,6236700,11279000,11654000
Q9HA64,,,7101700,,6093100,11923000,6802400,5993800,,2943500,,4797000,,4452100,,,,,,,,
Q9HA65,18262000,19851000,7061000,6676400,3770000,,4036700,2967000,10671000,5584900,7362700,9310100,9486300,15143000,16634000,5418800,17786000,21500000,,23490000,5485900,13689000
Q9HA82,14260000,24848000,,12988000,,6442200,4743800,5104500,4186500,13797000,3166600,13481000,,16053000,8299700,39600000,,9777900,,25509000,,
Q9HAK2,138960000,32666000,37238000,48220000,124290000,118510000,170280000,24270000,191850000,3391400,68987000,8929600,76280000,9816100,205340000,6393000,162400000,9834200,84655000,3411500,59807000,238430000
Q9HAR2,,3926100,,,,9436300,11289000,13284000,,1683800,2101400,2161600,,4723400,5273000,13338000,3813100,8473600,,20479000,1512900,1762400
Q9HAS0,5252200,1756300,13091000,6339200,17196000,8267700,11395000,,1572600,,1200100,1539300,11411000,,,,5139900,,1313200,4277500,8080900,45203000
Q9HAV0,5818200,14553000,,4055500,11229000,,,19239000,9196200,9596100,32804000,,,,14685000,10443000,7378400,21953000,2611400,,,
Q9HAV7,,4459800,6397900,1378800,,4431700,3743000,7631900,27863000,6313700,,3124800,5578400,5247600,8421100,27032000,,4933100,,,3071200,9110800
Q9HB07,,,2465800,,,,,,4865000,,,,3855900,,,,19338000,,,,,
Q9HB71,99080000,33361000,77250000,59398000,56761000,94008000,69044000,140680000,120750000,19864000,37566000,31811000,34814000,15039000,116660000,12647000,157280000,93663000,26511000,211050000,36229000,78621000
Q9HB90,16195000,18702000,13074000,2740800,10254000,18450000,5999100,8509400,15483000,,6049900,,8927700,4311000,8853300,,12735000,15752000,7274700,27737000,4191000,7894200
Q9HBF4,,,,,,1911200,,,,,,,,,,2167300,,,,1716100,,
Q9HBG6,34247000,,12957000,3263000,43749000,17710000,13944000,3314700,3584300,,2132700,1423700,4677000,,4219000,,15525000,784250,8018300,2211600,11208000,31983000
Q9HBH5,26592000,27296000,11981000,5676900,17837000,31747000,24930000,39264000,27056000,19385000,16600000,5395300,10344000,14340000,24970000,26425000,10710000,20657000,8948000,20104000,19439000,27869000
Q9HBL7,13455000,58951000,,,2105300,2850700,10401000,3774700,12249000,38707000,9364400,11166000,8813700,25833000,15416000,99892000,,33319000,,,,6844000
Q9HBL8,,,,,2390300,3415700,,6580900,6756700,,,,1511100,,,,4639100,,,,2568300,5901300
Q9HBM0,,,,,,,,,,,,,,,,9297600,,6359000,,48035000,,
Q9HBT6,,5575300,,,,,,4781900,,8905700,,,,,,,,7766900,,,,
Q9HC07,103520000,64386000,50024000,43796000,61242000,73127000,85060000,47567000,43313000,25004000,34082000,7877600,54433000,49456000,113290000,109100000,116350000,38374000,7354600,61271000,37251000,63640000
Q9HC24,41686000,,,,,,,,,,,,,,,,,,,,,
Q9HC36,,,,,,,,,,,,,,,,10940000,,,,,,
Q9HC38,25865000,7678600,22984000,9597400,13768000,44316000,24243000,61980000,83021000,4093400,25180000,7840500,26598000,6326000,81350000,4674400,104110000,22581000,5791400,42852000,16021000,55563000
Q9HC56,1114800,,2426000,2195400,,7456500,5793900,6041900,2857500,,3774400,2347700,,,3644300,,3315400,,,,2325800,7691700
Q9HC78,23917000,4192600,22179000,1191600,3706800,9748000,6772800,5816200,4464100,3049100,2102200,6387700,30630000,6526700,7718000,25625000,,38870000,2423100,406450000,7908300,25470000
Q9HCC0,178990000,49637000,12125000,14883000,24910000,84880000,57066000,35278000,68891000,38814000,71466000,19965000,75887000,26720000,85501000,74040000,27270000,55017000,5692600,35121000,46584000,101130000
Q9HCC8,78513000,,,2591500,4632500,2925100,7099900,,7241200,,,,10888000,2118600,2910000,,,2265500,8356200,,,
Q9HCE6,,,,,,,,,,,,,3694500,,,,,,,2778000,,8666600
Q9HCE9,19306000,8643800,1880200,2181900,,10658000,11395000,4961200,14356000,8441500,11983000,8129400,2482200,6955600,17180000,24392000,2893600,15030000,,23374000,4052900,2773100
