proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43
Q92686,52393000,0,0,29986000,343480000,0,144700000,66228000,165510000,448550000,1122600000,0,0,0,13914000,0,0,0,0,103220000,140240000,9390800,0,0,21317000,0,2555700,25336000,0,0,0,96059000,52975000,68754000,7455700,27843000,216260000,68873000,0,0,0,0,39745000
Q92734,23422000,52073000,16260000,9406100,5024900,77646000,26127000,45814000,5578100,0,19855000,18398000,36881000,31273000,14104000,41981000,17697000,64830000,76154000,13144000,49480000,23487000,120910000,50776000,0,1832500,1044100,2626500,13304000,48461000,52115000,0,36360000,19824000,5938100,11697000,29179000,0,49234000,30623000,59057000,51876000,9674900
Q92736,0,0,0,0,613060,0,0,0,0,1146100,1678200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27252,0,0,183780,0,0,0,0,0,0
Q92747,30560000,25755000,25756000,0,8583200,15695000,31321000,37937000,22083000,10764000,54504000,29318000,25032000,12282000,46186000,34505000,21328000,32934000,29225000,18592000,55054000,7254600,40393000,42134000,12729000,5384300,4544400,20620000,16361000,41367000,51507000,12120000,30378000,26908000,25746000,13487000,35619000,33362000,32834000,23991000,28063000,36238000,21851000
Q92752,1091100000,12893000,14268000,495090000,458180000,21253000,100610000,2233000000,572530000,560020000,1067600000,62832000,14427000,14747000,20187000,15210000,9893500,137740000,9454800,126320000,140050000,10509000,28216000,118780000,13198000,12081000,26168000,49534000,11337000,106390000,1671500000,215980000,44764000,924950000,587770,15817000,144190000,86075000,23949000,7975400,14247000,12709000,158210000
Q92769,0,0,4936300,0,0,0,0,0,0,0,0,9113000,0,12586000,5408200,0,0,7726700,0,0,9166100,0,0,5259600,15487000,0,0,3742100,0,27446000,3904700,0,4665300,0,6896000,12476000,0,9322700,0,0,0,5858600,0
Q92777,27758000,0,0,13611000,601440000,0,285320000,72371000,188300000,832100000,1563600000,0,8474900,0,0,0,0,0,0,38561000,194050000,0,5938100,0,23459000,210540,2662400,340090000,6877200,14577000,76071000,324580000,75246000,54397000,0,48647000,407450000,268080000,0,3260200,0,1834700,21655000
Q92783,8372200,11298000,4022500,6260100,10690000,0,10066000,0,6134000,6886800,15332000,8261400,0,0,10499000,2884800,0,5228600,0,9966800,0,0,0,0,0,868740,1987000,5507000,0,0,0,0,5230800,8792200,0,0,7715700,0,6700400,9983600,9454400,2302900,0
Q92796,0,0,0,0,1650800,0,0,0,0,2601400,3367200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q92804,19930000,44433000,28267000,0,0,21867000,22620000,19529000,0,0,8518600,28984000,20040000,0,0,46121000,20431000,20540000,18268000,13416000,28899000,32594000,28311000,47710000,18841000,4854700,0,20491000,14299000,38957000,15672000,0,23098000,17027000,17643000,24540000,42865000,27494000,32806000,19914000,19623000,26312000,25890000
