proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21
P39060,20629000,1686100000,52254000,290820000,237790000,70895000,682790000,29031000,450930000,27815000,1005800000,23030000,691740000,162340000,74220000,85296000,11026000,0,180440000,3569500000,309400000
P39210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37827000,0,0
P39656,1476300000,2857100000,378930000,704030000,780940000,181380000,892530000,688280000,1493200000,44567000,38589000,181500000,220130000,770950000,80972000,108210000,19364000,0,684720000,36215000,980000000
P39687,6644800000,7608800000,457650000,4852000000,3373000000,795370000,2068900000,529750000,1553300000,141160000,528320000,1610300000,141500000,2397500000,825980000,179690000,197360000,184070000,8178600000,717440000,7632600000
P39748,1313900000,1509100000,89139000,784400000,147890000,185670000,605130000,134010000,839090000,38682000,74657000,378260000,67219000,739000000,67906000,19600000,29281000,36250000,1203800000,17798000,899200000
P39880,11547000,126500000,0,5065800,0,0,5162700,6054300,15789000,0,0,10710000,0,0,0,0,0,0,18930000,0,0
P40121,1254900000,657980000,35440000,106610000,38202000,94754000,162110000,13253000,326040000,42716000,54361000,5877200,55090000,164450000,33336000,0,10044000,0,2119100000,20007000,356870000
P40123,235050000,63914000,50854000,266400000,0,210630000,0,181260000,7295700,0,0,0,0,0,0,0,1343800,0,310630000,14787000,377220000
P40222,0,0,5110600,37467000,8861000,18550000,38758000,0,0,0,0,11013000,0,28701000,0,0,0,0,0,0,12877000
P40227,4912000000,6618100000,2922100000,3025400000,1805600000,1564700000,1898500000,1269400000,2019500000,204050000,1131600000,1133400000,519150000,1652200000,319930000,194930000,104360000,0,5217700000,350170000,4286100000
P40261,0,0,46729000,0,0,0,63428000,0,0,0,0,39772000,13421000,0,0,0,0,0,0,0,0
P40424,46762000,95202000,0,0,11402000,0,92310000,32511000,93286000,0,0,11647000,0,33307000,0,0,0,0,257740000,0,0
P40429,37852000,70783000,22208000,0,16829000,0,23584000,10035000,29233000,13545000,0,6407800,6126500,20002000,12694000,14596000,8265400,0,94889000,0,18951000
P40616,10473000,53373000,3150800,23970000,4899500,21630000,18917000,10559000,39212000,0,6096200,0,3884400,10517000,3028100,0,0,0,123130000,0,35295000
P40692,0,0,0,0,0,0,0,13927000,19770000,0,0,0,0,12033000,0,1834000,0,0,56514000,0,0
P40763,93007000,272260000,393240000,549740000,0,42049000,467780000,104050000,466440000,2382900,33690000,51866000,64574000,161770000,18598000,65878000,4816300,0,236420000,65796000,2185600000
P40818,0,19850000,0,4730600,0,14903000,1896200,0,0,0,45279000,11867000,21043000,0,2079600,5741200,0,0,0,0,17115000
P40855,189630000,298750000,0,108420000,3546800,14442000,175720000,40059000,0,0,0,0,0,24817000,0,0,0,0,229580000,49952000,153300000
P40925,9997400000,14767000000,12109000000,6424900000,2780500000,10112000000,3830000000,8385000000,5046500000,266660000,1580800000,3400000000,2213200000,6715200000,582590000,427690000,188010000,368140000,13863000000,2945200000,12320000000
P40926,35673000000,59617000000,11295000000,8897500000,8794700000,16030000000,16627000000,12187000000,14011000000,583740000,4285000000,5670600000,2671100000,10938000000,1505500000,553910000,451830000,627450000,34577000000,5153400000,17163000000
P40937,32371000,192420000,0,20097000,0,0,47650000,11214000,16950000,0,0,0,0,47003000,0,0,0,0,48970000,0,35233000
