SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
O95760,IL33,0.756,,0.446,0.573,0.392,,0.919,1.067,,,0.922,0.85,,0.874,0.85,2.643,4,0.0,0,0,1
P21757,MSR1,0.575,0.001,0.55,0.613,0.316,0.083,1.047,1.072,0.071,0.102,1.043,0.741,-0.044,0.743,0.739,2.64,5,0.0,0,0,0
Q16623,STX1A,0.575,0.004,0.437,0.446,0.354,0.094,0.91,0.92,0.028,0.032,0.935,0.797,-0.01,0.822,0.819,2.64,5,0.0,0,0,0
Q8TD46,CD200R1,0.625,,0.518,0.368,0.367,,1.005,0.814,,,0.824,0.812,,0.822,0.867,2.639,4,0.0,0,0,1
A5A3E0,POTEF,0.698,,0.483,0.252,0.38,,0.962,0.643,,,0.645,0.83,,0.847,0.673,2.639,4,0.0,0,0,1
Q08431,MFGE8,0.648,,0.403,0.56,0.418,,0.861,1.052,,,0.866,0.88,,0.898,0.886,2.638,4,0.0,0,0,1
P61916,NPC2,0.621,,0.511,0.612,0.367,,0.997,1.112,,,0.997,0.812,,0.823,0.813,2.632,4,0.0,0,0,0
O00468,AGRN,0.534,,0.552,0.58,0.354,,1.031,1.027,,,1.049,0.801,,0.799,0.797,2.631,4,0.0,0,0,0
Q16595,FXN,0.587,,0.431,0.554,0.392,,0.9,1.05,,,0.904,0.849,,0.879,0.852,2.628,4,0.0,0,0,1
P62995,TRA2B,0.515,0.038,0.484,0.507,0.228,0.166,0.978,1.006,0.156,0.163,0.98,0.598,0.127,0.601,0.599,2.627,5,0.0,0,0,0
Q9NRD5,PICK1,0.53,,0.787,0.32,0.354,,1.02,0.751,,,0.756,0.802,,0.803,0.802,2.625,4,0.0,0,0,0
P14618,PKM,0.64,0.02,0.406,0.729,0.304,0.167,0.865,1.138,0.074,0.206,0.867,0.72,0.044,0.753,0.725,2.624,5,0.0,0,0,0
Q8TB24,RIN3,0.432,,0.68,0.508,0.392,,0.898,0.912,,,0.992,0.878,,0.847,0.859,2.623,4,0.0,0,0,1
Q99574,SERPINI1,0.5,,0.622,0.478,0.367,,0.984,0.973,,,0.957,0.825,,0.812,0.83,2.621,4,0.0,0,0,1
P30041,PRDX6,0.614,0.008,0.476,0.657,0.316,0.122,0.955,1.111,0.058,0.143,0.953,0.739,-0.01,0.754,0.739,2.619,5,0.0,0,0,0
Q9H3M7,TXNIP,0.621,,0.422,0.731,0.392,,0.887,1.119,,,0.888,0.847,,0.881,0.849,2.616,4,0.0,0,0,1
Q16581,C3AR1,0.61,,0.421,0.335,0.392,,0.885,0.767,,,0.798,0.848,,0.882,0.808,2.615,4,0.0,0,0,1
Q9ULH0,KIDINS220,0.625,0.034,0.543,0.355,0.203,0.196,1.035,0.796,0.165,0.112,0.801,0.553,0.116,0.55,0.585,2.614,5,0.0,0,0,0
Q07866,KLC1,0.493,,0.645,0.499,0.367,,0.975,0.992,,,0.982,0.827,,0.812,0.825,2.613,4,0.0,0,0,1
O14939,PLD2,0.583,,0.485,0.494,0.367,,0.969,0.98,,,0.983,0.814,,0.828,0.826,2.611,4,0.0,0,0,0
Q12983,BNIP3,0.61,,0.45,0.206,0.38,,0.924,0.558,,,0.565,0.83,,0.855,0.584,2.609,4,0.0,0,0,1
