SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
P41143,OPRD1,,,0.507,0.419,0.369,,,,,,0.896,,,0.827,0.849,0.827,3,0.0,0,0,0
P11142,HSPA8,,0.045,0.455,0.295,0.138,,,,0.171,0.151,0.724,,0.233,0.42,0.461,0.823,4,0.0,0,0,0
Q96LT7,C9orf72,,,0.534,,0.369,,,,,,,,,0.823,,0.823,2,0.0,0,0,0
P15336,ATF2,0.595,,0.37,0.367,,,0.818,0.814,,,0.866,,,,,0.818,3,0.0,0,0,0
Q5S007,LRRK2,,,0.451,,0.354,,,,,,,,,0.817,,0.817,2,0.0,0,0,0
P61981,YWHAG,,,0.592,0.424,0.369,,,,,,0.891,,,0.817,0.848,0.817,3,0.0,0,0,0
P19525,EIF2AK2,0.578,,0.358,0.402,,,0.802,0.863,,,0.839,,,,,0.802,3,0.0,0,0,0
P04141,CSF2,0.679,,0.358,,,,0.8,,,,,,,,,0.8,2,0.0,0,0,0
P35637,FUS,,,0.472,0.402,0.338,,,,,,0.881,,,0.789,0.809,0.789,3,0.0,0,0,0
P49810,PSEN2,,,0.591,,0.338,,,,,,,,,0.773,,0.773,2,0.0,0,0,0
P23219,PTGS1,0.628,,0.337,0.275,,,0.77,0.675,,,0.734,,,,,0.77,3,0.0,0,0,0
Q9Y5T4,DNAJC15,,0.332,0.584,,,,,,0.763,,,,,,,0.763,2,0.0,0,0,0
O95970,LGI1,,,0.65,,0.323,,,,,,,,,0.749,,0.749,2,0.0,0,0,0
P06744,GPI,0.578,,0.322,0.433,,,0.749,0.904,,,0.773,,,,,0.749,3,0.0,0,0,0
Q8WVE6,TMEM171,0.314,,0.561,,,,0.738,,,,,,,,,0.738,2,0.0,0,0,0
Q92686,NRGN,0.512,,,0.447,0.308,,,0.932,,,,0.734,,,0.747,0.734,3,0.0,0,0,0
Q99250,SCN2A,,,0.547,,0.308,,,,,,,,,0.729,,0.729,2,0.0,0,0,0
P31946,YWHAB,,,0.533,0.414,0.292,,,,,,0.885,,,0.706,0.731,0.706,3,0.0,0,0,0
P26441,CNTF,,0.041,0.404,,0.031,,,,0.145,,,,0.438,0.11,,0.693,3,0.0,0,0,0
P06241,FYN,,0.019,0.408,0.37,0.215,,,,0.071,0.058,0.854,,0.027,0.593,0.606,0.691,4,0.0,0,0,0
P00450,CP,,,0.349,0.306,0.246,,,,,,0.781,,,0.676,0.699,0.676,3,0.0,0,0,0
Q92673,SORL1,,,0.478,0.39,0.262,,,,,,0.862,,,0.663,0.686,0.663,3,0.0,0,0,0
P01375,TNF,,,0.203,0.0,0.185,,,,,,-0.105,,,0.66,-0.115,0.66,3,0.0,0,0,0
P08183,ABCB1,0.628,,0.258,0.832,,,0.648,1.131,,,0.673,,,,,0.648,3,0.0,0,0,0
P35354,PTGS2,0.661,,0.256,0.072,,,0.646,0.299,,,0.269,,,,,0.646,3,0.0,0,0,0
