proteinid,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Q9BVL4,0,0,75818,73153,110660,38064,84527,0,306730,358710,165140,0,0,0,0,0,0,0,0,0,0,0,404040,0
Q9BW30,695000,758080,476390,511660,187470,0,137770,264090,86654,40021,306730,410330,289920,167590,977790,1621800,2370100,1663500,1990500,2403600,3145500,3489700,0,89550
Q9BW71,0,0,0,0,0,0,0,261320,177660,161060,238370,2238900,0,0,2102700,75454,0,0,75844,0,961820,355860,123910,0
Q9BWD1,2143100,1829600,790610,702830,895790,901510,610160,953960,2385400,988910,1298000,1625000,770850,1331000,3018800,2447700,1594000,301810,860360,1066700,2885900,2996300,1451000,1301000
Q9BWH2,1824500,2982700,554060,571750,145650,261750,351510,442320,5692100,7122700,2872600,1335700,526920,835510,266970,469580,1637300,3907200,0,0,3143700,2611100,509750,565750
Q9BWJ5,446760,206130,182110,123720,290330,126090,346110,493390,944460,1660500,865920,1181800,471920,496190,533910,793130,486860,451180,0,528700,803270,159730,1517100,678040
Q9BWM7,115530,159160,460590,505870,190580,0,0,0,0,0,284400,486650,150760,129060,365870,702920,463740,322760,399830,118690,123480,169000,4468500,2194000
Q9BWS9,0,82507,613030,706780,0,0,0,0,0,0,557990,8811.3,0,37157,0,0,685200,949920,0,350290,0,0,627910,549400
Q9BX59,0,0,0,154210,0,0,0,0,285000,403490,339900,407560,0,35205,225920,216380,0,0,0,0,0,0,0,0
Q9BX66,1216300,1523600,3387600,2967500,4137900,2141300,982250,845380,22148000,18119000,8687900,9311600,1089600,880000,3014700,4172800,723810,976270,3740800,3631800,5226700,2850500,631560,313390
Q9BX67,214050,97026,320390,470470,4044800,1832200,0,70802,17756000,19972000,1480700,1263400,777160,1188000,1422900,1348200,2300600,2437300,2552800,3816400,544130,356520,2372000,266640
Q9BX68,2655300,1859700,1960100,1764800,1385100,1561400,713290,1031000,3265500,2223400,3850000,2822900,1374700,1680100,2294900,2609300,2962000,2690300,588970,764120,3055300,2864200,1915500,4444400
Q9BX79,708100,838570,0,0,0,0,1404800,970570,95355,0,0,0,0,228350,0,0,0,0,0,0,161430,379930,718730,756680
Q9BXF6,528800,385050,406900,309690,0,0,314910,374550,626290,473120,512050,503840,209800,151480,685910,627930,426170,0,0,0,1373200,711130,1147800,565530
Q9BXJ9,0,0,0,0,0,357310,0,0,1226900,485660,115610,0,0,0,0,0,194450,0,0,0,0,0,0,0
Q9BXK5,737480,1158200,0,287850,1555000,1045200,0,113280,3463300,3149100,1795800,2287500,433880,435740,1434900,1722800,2084900,2053200,3921900,4374000,1440200,3107600,2246900,523370
Q9BXM0,0,0,0,0,0,0,0,0,0,0,75135,0,0,0,382270,276880,0,0,0,0,89381,0,0,0
Q9BXN1,0,0,465970,464520,0,0,0,87286,0,0,0,108680,0,103420,81191,0,22511,0,0,0,0,0,11461000,12343000
Q9BXP5,732790,668060,434310,935990,1334300,397580,1185700,932350,3004000,4162600,2282600,1492500,834080,743070,1936800,1550800,1419200,652740,319310,489960,645970,421990,1628800,1071700
Q9BXR0,0,0,0,183870,0,57479,273650,236190,313400,346120,384240,327620,0,153780,270660,420070,0,0,0,0,305660,404440,0,0
Q9BXS5,2622200,2888600,771920,368490,1430100,966310,730640,714310,6170200,6928200,2099100,1366000,932320,997360,1568100,1906800,546540,513510,252960,233120,693430,1145600,2480400,1569100
Q9BXV9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147210,237620,537230,649350,0,0
Q9BXW6,0,0,0,632190,351900,0,0,0,0,0,0,0,0,72452,0,0,0,0,399950,289030,0,296480,0,0
Q9BXW7,0,0,0,0,0,0,0,0,423380,737240,0,0,0,0,197690,147910,65484,65915,0,0,0,0,0,0
Q9BXX0,0,0,76500,0,0,0,1047700,1690400,0,0,0,0,0,0,0,0,144890,146120,0,0,246490,0,199870,143350
Q9BY11,0,0,346190,242180,0,0,0,0,0,0,0,0,0,0,363160,265800,0,0,0,0,0,0,0,0
Q9BY32,507140,333610,0,0,251080,0,277710,105880,0,0,0,288540,345690,288730,0,143900,156620,0,555890,801790,510920,598130,844690,1331300
Q9BY42,0,0,0,0,0,0,0,0,517090,584250,576100,0,0,173280,0,287460,0,0,0,0,0,0,0,0
Q9BY44,298200,349690,0,0,0,0,0,186900,4866100,3216600,3017300,175030,0,0,144920,0,2108100,1570700,0,0,0,0,0,0
Q9BY67,105590,162890,0,0,1289700,1523100,256470,119390,215170,560970,1058100,908880,437390,462400,1477100,1211600,1657100,1605700,1255100,1690000,1882100,1680300,146570,325690
Q9BY89,583040,545850,0,0,485290,0,0,0,1073800,917060,777100,1183500,0,73092,0,101110,0,0,0,0,1630400,850380,0,0
Q9BYM8,26496000,58740000,8062600,18045000,31526000,17570000,566180,2051200,2006000,2843600,11368000,18722000,24943000,23813000,51829000,78566000,23476000,20638000,1915400,1881000,98706000,63115000,29728000,13885000
Q9BYT3,0,0,0,0,94457,54824,0,0,107440,89841,118040,85303,0,0,0,0,0,0,0,0,458090,0,0,0
