proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
O14579,0.145787987,0.299300597,0.08604618,-0.008879778,-0.217423832,-0.120074479,-0.001434964,0.217120635,0.112181916,0.075339484,0.056716545,-0.082065597,0.107377563,0.112313167,0.111863955,0.03244579,0.232092051,0.032583674,-0.327854136,-0.024550202,-0.729397853,-0.712240242,-0.004789547,0.083812566
O14617,0.291302939,0.297425072,-0.09548837,0.071424538,0.003085378,0.14901005,-0.089217453,0.075871367,0.247053396,0.235143399,0.352799899,0.250683583,0.420008605,0.120768128,0.429476482,0.330896632,0.231603737,0.060417943,-0.124628912,-0.081619455,-0.273167049,0.020911328,0.368659868,0.47361165
O14618,-0.13486244,-0.11745079,-0.44111411,-0.25990757,-0.08308622,0.13989716,0.19164658,0.16208243,-0.17703603,-0.34006639,-0.24273842,-0.11327556,-0.0213064,0.0474601,-0.22707534,-0.3042659,-0.44009572,-0.5769698,-0.17911565,-0.25369075,-0.75213164,-0.17064214,-0.87464111,-1.0086379
O14639,0.26077366,0.38281996,-0.23967475,-0.83889383,0.41435364,0.09791869,-0.53958328,-0.6467488,0.95329382,1.00569969,0.72862162,0.59444861,0.2554177,-0.0684116,0.07379785,0.08248007,0.32222674,0.54084639,1.22437823,0.96441561,0.47431636,0.46683609,0.71184277,-1.27394409
O14672,-0.9769002,-0.7007358,-0.6559201,-0.731173,-0.5933024,-0.6614494,-0.2973489,-0.504519,-0.1645119,-0.2467913,-0.4087045,-0.8656221,-0.7496065,-0.8316026,-0.3928882,-0.2780812,-0.4970523,-0.9519267,-0.4252712,-0.6174038,-0.9186319,-0.9058792,-0.3058195,-0.6093093
O14683,0.07071086,0.06785519,0.38633882,0.52003732,0.53287747,0.37598058,0.32435473,0.170615,0.44169397,0.48229124,0.05490117,0.03826204,0.38438633,0.23866626,-0.14408409,-0.03161545,-0.1075136,0.16874565,0.77419383,0.71229259,0.13894572,0.03654666,-0.12992155,-0.35383671
O14735,-0.50427093,-0.32639403,-0.42652741,-0.36319676,-1.39550158,-0.54355795,0.08568083,-0.02839663,-1.24721087,-1.47606153,-0.92846043,-0.72481577,-0.19187981,-0.21691344,-0.30225807,-0.1827883,-0.49270366,-0.02319212,-0.50614829,-0.26230507,-0.95820004,-0.83990723,-0.31555954,-0.39086408
O14737,0.36741812,0.23526217,-1.03017646,-0.81975656,-0.01599793,-0.29664332,0.15761712,0.29379847,-0.03880355,-0.25323646,-0.03778954,-0.33760492,0.13108185,0.17365439,0.14010021,0.15799762,-0.10491674,-0.12856877,0.51291084,0.39630856,0.26723707,0.40088689,-0.12094364,0.24631131
O14744,-0.4152617,-0.340804,-1.0643139,-0.8020321,-0.1860067,-0.2818681,0.2310784,0.114075,-0.3824054,-1.0342069,-0.3341087,-0.170572,-0.5026767,-0.2286923,-0.4678028,-0.4692817,-1.0822107,-0.7917892,-0.9715896,-0.5552948,-0.1377553,-0.5358695,-0.7243277,-0.9177898
O14745,0.72324748,0.72774026,0.08806744,0.27297633,0.58990971,0.54202174,0.6297813,0.63939311,0.70745709,0.78678479,0.69016007,0.75896968,0.74646547,0.44223047,0.61518105,0.38235793,0.48832826,0.43241446,0.87754962,0.90279072,0.64967692,0.71841892,-0.01227854,-0.304375
