proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35
O43581,,,,,,,,,2005.6,1762.2,1238.8,,,,,,,2655.3,,806.07,5420.2,1629.4,1681.7,,834.43,3092.8,901.59,2664.4,,1393.6,1834.3,693.54,2063.1,,1305.8
O43592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43615,,,731.35,1793.8,314.28,833.85,,1178.3,910.85,4507.5,1635.8,489.64,2366.3,924.18,767.41,703.72,488.84,6383.4,3167.2,777.56,9759.9,2526.8,2446.9,4581.1,1724.7,1941.4,1081.1,10982,9168.8,2814.1,4771.1,4528.8,871.3,7671.6,2082.3
O43617,,,,,,,,,1951.9,,,,,513.55,,,,,,,2495.4,2293,1674.1,,,,,2963.8,,,,1944.7,1653,2006.4,
O43633,,,,,,,,,,,,,,,,,,,3024.2,3765.1,,,3127.9,,3041.5,,,,,,,,,,
O43674,,459.21,,,,,918.93,,1946,,,,578.46,261.9,1792.7,1639.6,419.04,7019.7,4093.8,6232.2,4890.3,9120.2,7625.5,7008.5,6055.3,7360.1,8673,12411,10324,6374.2,8508.3,3621.3,6533.6,7964.5,8700.6
O43676,1385.7,2698.4,3001.5,2498,3967.8,1226.3,3127.7,1969.7,9938.2,9213,4294.6,2668.8,2642.6,1540.9,2556.9,2674.6,1557.8,11562,2207.3,8656.8,11097,9455.6,10892,8136.5,6162.5,6499.5,4537.7,,15703,15641,5624.7,7452.3,7178.7,5072.3,10895
O43678,,,,,,,,,,,,,,709.2,,,,,1930.6,1871.2,,,2368.8,,,,,1787.8,,,1191.5,,,2441.3,
O43681,,216.73,,906.38,,638.45,,2914.6,16968,13910,4047.5,3698.3,3959.1,4615,2211.4,2822,5137.1,28717,32713,7666.1,9672.6,13138,6392.5,40785,45844,7035.1,40179,14679,43386,9109.9,40461,39279,7483.4,11412,11579
O43707,,673.8,,300.19,128.7,669.52,,,1569.8,669.58,,,,,625.72,439.79,636.86,5436.6,7464.4,4049.7,3887.4,1223.7,3717.6,1601.8,1216.9,2204.5,1942.5,2783.7,1715.4,4758.2,1215.9,3975.8,,1636.1,2054.4
O43747,,,793.51,,412.22,,,1151.6,5305,6376.7,993.82,,2343.2,,,,612.62,4965.4,6594.5,4183,9287.5,7602.9,3692.9,5981.9,6681.1,3734.2,4265.6,11496,1820.7,4371.1,2636.5,7148.3,15262,9180.4,6478.6
O43752,,,,,,,,,,,,,,,,,,,,1335.2,,,,,,,,,,,,,,,
O43759,2824.4,6292.7,8615.9,5109.2,6128.9,6104.4,1956.4,5863,48060,37282,28376,9045.2,9533.9,4211.9,7890.1,5968.6,6824,38787,22323,36148,64402,35209,48609,36075,36995,41594,42652,49710,60815,39836,34781,47454,46931,41663,53943
O43761,271.34,360.63,208.72,,225.03,,,,7370.3,6593.4,1684.3,4960,182.63,,178.28,2048.5,1660.6,17508,7792.8,7487.1,15209,9089.8,12866,3770.1,5452,11933,4707.3,4825.3,6263.1,7655.9,6971.6,4424.4,6799.3,2748.3,9547
O43765,220.94,,425.86,,,,,,,,,,,,,,,1058.8,2323.4,,,3997,3437,,,,,,,532.85,,1199.3,,,117.05
O43776,,,,,,,,,,1596.5,645.68,540.88,3277.6,426.34,677.01,,,,2516.2,3219.5,,,,,,,,,,,,,,,
O43790,,,550.84,,932.8,,1644.3,1105.9,1120.4,,,675.2,22968,,,,,,,,,,1606.7,,707.78,,,,,,,770.9,,,
