proteinId,S1,S2,S3,S4,S5,S6
O94811,16354000,14087000,16066000,14216000,14221000,18741000
O94819,3482100,2869700,2728200,2934900,3851700,4629400
O94826,265770,257850,226400,260180,564520,1555400
O94832,60538000,73703000,74799000,44618000,21488000,30172000
O94856,21614000,10543000,18307000,14355000,20621000,30213000
O94919,48506000,66042000,42858000,54236000,43867000,45470000
O94925,4439200,1111000,4390200,5436600,5630400,10768000
O94973,25927000,24956000,19362000,20040000,28009000,38357000
O95084,0,0,0,0,1263200,0
O95139,0,119940,0,0,3395900,3550000
O95140,1817900,1721200,282860,1380900,996500,2324000
O95197,16398000,17458000,17924000,20741000,33230000,40298000
O95202,248120,236040,182260,503790,2305800,1275100
O95218,4328600,0,0,667400,0,0
O95299,2596500,1324000,1912700,2631400,3087200,3740300
O95409,0,0,0,0,0,0
O95563,703320,691430,444930,875530,1252200,1300500
O95670,5000600,4910900,5181300,7071900,8489900,6306400
O95716,4162200,4427000,3474500,4649200,6946700,9457100
O95782,94573000,126370000,62946000,97393000,138510000,170910000
O95810,179180,632270,1280900,2662400,2612800,665680
O96000,383000,344740,308390,648470,819910,1805400
P00338,21615000,23439000,21666000,22103000,37220000,45466000
P00352,0,0,153240,168080,0,190300
P00367,17635000,13171000,15477000,21479000,38819000,62821000
P00387,4244700,4159600,2733500,5546300,5279800,5580800
P00390,10505000,9948500,8233600,7529400,7250500,9086300
P00403,7332200,5552400,4843900,7663100,16318000,13218000
P00414,1143900,277600,1796700,235050,2514000,1907200
P00441,34541000,35411000,29154000,23804000,40463000,34713000
P00450,11209000,12446000,7405700,4743200,2551200,3582100
P00488,10012000,2529700,1264800,2997800,2755700,539190
P00492,28253000,24173000,24183000,19629000,23599000,30517000
P00505,305570000,221550000,219030000,191990000,269630000,287480000
P00558,41953000,35696000,34474000,31518000,53398000,57230000
P00568,2251800,3974700,5429400,4137700,3704000,6070200
P00738,13171000,2203600,31197000,3320100,3144800,3700500
P00846,3218700,2519500,2014100,2745500,4188500,4791100
P00915,21875000,9281900,18609000,15821000,9743000,16420000
P00918,28844000,30873000,31460000,31735000,17753000,27166000
P01009,8246700,2243400,7932000,2458700,2307900,5153500
P01011,4908100,6601100,23564000,3124400,3870000,5992500
P01023,7653300,9703500,3699900,4673700,4396300,6499100
P01024,467160,4702700,1009400,645860,4640000,338920
P01040,2700100,887460,2235400,882230,2177500,5930300
P01116,1274500,972440,996950,1046800,669760,1003200
P01591,1400200,795610,1105200,1357300,0,847550
P01834,5989900,3222800,2088800,3296100,3616900,3981100
P01857,174550000,66669000,52203000,63332000,30390000,64291000
P01859,17499000,11015000,4395000,8693500,6409500,9968500
P01860,8172700,6106500,3400800,7426900,3246800,6899900
P01871,0,0,0,0,1042200,985120
P01876,61992000,35481000,27790000,51442000,12161000,57032000
P02042,5867700,3497100,5146100,3971100,2431500,2829400
P02452,1876300,5953800,34332000,112910000,15578000,24000000
P02462,45204000,18510000,64074000,693930000,216300000,271740000
P02511,444620000,489810000,655360000,691470000,217860000,418880000
P02533,62134000,63155000,96792000,115050000,85486000,250210000
P02538,487390,3894200,5521800,5581800,3026400,8490300
P02545,2372600,4681600,2992700,4188700,6829000,6150100
P02647,8745600,5009500,3975700,7151700,3993000,6278100
P02649,35451000,636760000,48987000,61462000,69192000,81186000
P02671,200060000,49594000,190570000,137720000,69330000,284700000
P02675,239210000,62887000,225310000,125280000,45832000,273610000
P02679,203630000,64680000,189050000,159870000,72772000,294170000
P02686,1526900000,3461400000,2129700000,2278500000,974320000,1164600000
P02689,62532000,77755000,80682000,54576000,16910000,53700000
P02741,4241000,2784900,2914700,1028100,1227700,2067100
P02743,4422900,20153000,1421600,1952500,12471000,2577600
P02746,14665000,5125000,5673000,5207400,4426600,5095000
P02747,19960000,21040000,19771000,13925000,6464000,15916000
P02751,77233000,26397000,20791000,120380000,70688000,91592000
