proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
Q9UKV8,325260000,302760000,362950000,1431800000,1587300000,1667300000,26821000,66320000,40252000,214320000,101490000,135830000,856370000,1021000000,798810000,644920000,543580000,772770000,310060000,352570000,385680000,724860000,659510000,432050000,80906000,27000000,105330000,135570000,134400000,158030000,35804000,87025000,64359000,187510000,109940000,135220000,426610000,522750000,377340000,348680000,516480000,354170000,132170000,137390000,90608000,416110000,525590000,284480000
Q9UKW4,15892000,0,0,18949000,92934000,58235000,0,0,0,0,0,0,44651000,62205000,32668000,9545400,15175000,8866600,36744000,43909000,40682000,0,23226000,4202000,56458000,69670000,0,0,0,12120000,0,0,0,0,0,0,537130,0,0,0,0,0,0,0,0,0,0,0
Q9UKX2,50442000,66103000,177820000,108200000,205880000,175500000,78005000,77799000,40885000,45697000,76555000,33984000,51471000,92331000,50055000,30680000,0,29980000,11667000,0,0,0,0,0,272640000,259400000,295430000,46444000,471790000,451160000,138480000,5423500,121440000,219880000,351000000,69220000,39997000,27904000,15760000,12196000,13774000,256150000,0,0,0,0,2875100,2481200
Q9UKX7,493180000,417060000,386590000,2803800000,2876900000,3023500000,3705500,8359800,7328800,96170000,145340000,81651000,577140000,865240000,869420000,507970000,504800000,334370000,193240000,383090000,338000000,86103000,123860000,60690000,54700000,59735000,66496000,15562000,13591000,15644000,3356000,2119600,3100000,61870000,76399000,93516000,51726000,56716000,63951000,44618000,67217000,59575000,10704000,29897000,0,0,8189300,7469100
Q9UKY1,8263400,5234800,5338300,63957000,70137000,38213000,0,4180900,0,0,0,1124900,101000000,123300000,145720000,17502000,148630000,25210000,8722300,23551000,27669000,57588000,41736000,161540000,3871600,0,0,0,1236400,3110800,0,37530000,440030,30015000,0,0,5478000,0,212570000,0,0,291710000,0,0,0,0,23818000,18137000
Q9UKY4,0,5746500,4523200,11227000,8050200,8977200,0,0,0,0,0,0,178490000,61471000,87594000,0,0,0,8174400,16058000,13743000,129050000,0,0,21187000,15590000,5656800,5568500,2695300,0,0,0,0,0,4305400,0,0,14549000,0,16616000,0,18938000,0,0,0,0,0,0
Q9UKY7,1004100000,1142500000,1021400000,1188800000,1261000000,1172400000,133980000,408280000,365450000,178470000,260240000,214060000,2670600000,1809000000,1920200000,996750000,1099000000,1078400000,491640000,425450000,518930000,696570000,586640000,689830000,801020000,749450000,526220000,854600000,691520000,719070000,441030000,513620000,141380000,537200000,450070000,396000000,855340000,852330000,719390000,871550000,985230000,956760000,90901000,260360000,222290000,434320000,360500000,563460000
Q9UKZ1,18180000,15420000,11049000,163640000,71533000,150000000,6721900,4576900,6039100,59803000,170490000,49857000,71731000,91293000,71800000,175310000,15029000,18354000,69355000,53603000,16936000,66568000,19636000,14175000,26667000,34834000,52702000,34104000,51036000,51360000,2829100,5243200,3216400,67796000,78970000,42588000,58819000,47610000,29536000,2211500,108020000,76992000,14710000,0,6060600,27600000,22460000,26218000
Q9UKZ4,0,0,0,0,0,0,0,0,0,0,0,0,40539000,20668000,82526000,25095000,0,0,0,8475000,3424300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5861100,6605300,0,0,2660600,0,0,24395000
Q9UL03,12548000,0,0,33745000,9115200,44135000,0,0,0,0,0,0,106720000,104710000,106750000,45209000,24017000,36813000,39361000,34146000,50048000,0,2896100,5977000,0,0,0,0,13591000,0,0,0,0,0,0,0,0,0,35852000,0,0,0,0,0,0,24327000,0,0
Q9UL12,0,0,0,6233900,0,0,0,0,0,0,0,0,6602800,0,36977000,11052000,17646000,7920700,7595900,4449800,14300000,0,0,0,2870900,242260000,37704000,0,0,0,0,0,0,0,0,9069900,9962100,13298000,9167200,14920000,10783000,9297300,0,279690000,302290000,11797000,14903000,25067000
Q9UL15,306070000,291020000,226050000,812920000,764980000,734220000,35672000,73178000,82337000,488060000,53280000,241540000,668010000,803300000,811480000,251100000,295270000,241970000,271930000,271990000,240870000,483620000,573760000,504740000,322860000,363210000,363210000,387610000,427770000,421190000,53759000,129180000,90905000,347800000,538190000,385210000,387120000,395970000,342980000,417020000,298560000,232180000,206140000,96196000,98233000,409050000,341490000,277210000
Q9UL18,36077000,53614000,62617000,545690000,618410000,586590000,0,6528400,2823700,29197000,21214000,26536000,862730000,1120000000,847680000,250060000,414520000,434450000,187030000,107400000,166750000,403630000,233290000,367540000,36296000,68264000,19019000,61383000,74655000,0,5404600,0,2796600,53171000,43212000,36005000,144220000,134350000,126920000,166070000,150190000,108180000,62025000,29090000,53770000,54602000,68495000,181000000
Q9UL25,1784700000,1522300000,1396800000,857280000,970590000,888010000,479860000,609640000,575090000,1196300000,1135900000,763070000,2857600000,3108900000,2202900000,1650300000,1698800000,1939300000,702750000,833960000,878630000,2094300000,2653000000,2105900000,1996200000,853980000,1436700000,2150600000,2206000000,2111800000,662760000,588090000,781460000,1340600000,1658400000,1376500000,2408200000,2342100000,2748200000,2011400000,2047300000,1907300000,870640000,933540000,977070000,2381800000,2982300000,3064200000
Q9UL26,632400000,500050000,485630000,415480000,472900000,521320000,230990000,303550000,191230000,281780000,316400000,287220000,2228800000,1858000000,2013000000,453160000,483140000,485470000,542210000,587150000,573800000,611680000,722370000,750510000,394890000,286290000,367890000,405350000,337030000,431130000,157300000,150180000,82549000,480800000,494090000,460840000,300390000,447950000,637560000,238090000,851440000,1026500000,116010000,207800000,53579000,298540000,447970000,210780000
Q9UL33,69826000,63218000,81723000,107090000,12584000,52492000,46917000,23453000,45629000,54130000,85402000,111070000,135020000,148280000,213630000,113510000,22998000,60838000,20846000,36863000,45840000,55321000,111220000,52140000,99143000,60919000,79180000,87221000,152190000,89513000,80420000,52736000,61527000,52218000,119580000,55533000,105140000,171850000,234340000,59739000,85065000,0,44932000,16657000,97441000,91202000,174500000,173500000
Q9UL40,66411000,55820000,100460000,636460000,492150000,636010000,0,0,0,18871000,3884900,3848200,167730000,102610000,153220000,56162000,41028000,46401000,18669000,83222000,36591000,27847000,13549000,17929000,0,0,0,15641000,61334000,20743000,2462600,1553600,6688800,3529900,4185700,0,3180300,5387500,5848900,6785800,0,0,0,0,0,28063000,0,0
Q9UL42,11821000,13410000,14654000,7151500,5122700,20406000,0,0,0,0,0,0,162600000,143460000,70741000,42166000,87810000,90509000,74294000,23380000,46245000,0,0,10766000,8917300,7911500,0,4410800,0,4662400,0,0,0,0,7275600,3965500,16952000,46057000,12355000,30806000,38513000,33060000,0,2538500,12614000,0,0,0
Q9UL45,71483000,32136000,25384000,89479000,114680000,51272000,0,0,14539000,38047000,56164000,53533000,40810000,76495000,73206000,12238000,16936000,16055000,0,12972000,0,22830000,23735000,57607000,0,0,0,22629000,18398000,24414000,0,7897300,7318300,0,29259000,0,6339600,0,9229200,12692000,0,0,0,0,7880300,0,0,0
Q9UL46,1096700000,1793900000,1733200000,1353000000,1507800000,1606300000,247560000,376700000,293870000,2278500000,2016500000,1244600000,5801700000,6520200000,6742300000,1116200000,1280400000,1397600000,1377500000,1474600000,1105800000,2167900000,2839600000,2045800000,127040000,168050000,44052000,181440000,158740000,251010000,145190000,84255000,95193000,317560000,217460000,316070000,480340000,442780000,555710000,536420000,541120000,462400000,205390000,230850000,192360000,382080000,669630000,545070000
Q9UL51,77999000,86864000,87810000,0,58908,0,0,0,0,0,0,0,797930,32719000,17012000,0,20939000,42140000,21193000,19848000,28464000,191580000,186920000,190620000,0,61042000,37818000,58432000,13067000,31521000,0,34742000,0,65969000,57680000,76291000,191450000,159470000,193200000,150330000,219720000,142820000,56647000,49917000,21571000,152120000,130500000,94033000
Q9UL54,44877000,40335000,37285000,72706000,34001000,17634000,3925500,21384000,0,0,22978000,38957000,144690000,78235000,64534000,98142000,90417000,67818000,15711000,16664000,57084000,85342000,92878000,251410000,107600000,103040000,134600000,84332000,95350000,133610000,26925000,27246000,31140000,58772000,42225000,123030000,234830000,187170000,171990000,177320000,165340000,118140000,48323000,57360000,16514000,48080000,128510000,146710000
Q9UL63,23996000,13243000,26372000,102480000,108520000,95676000,0,41231000,0,0,0,1501400,98156000,118300000,97907000,8143400,36100000,35466000,118620000,59668000,50262000,15165000,22790000,21856000,15158000,7089700,0,13557000,9658500,13066000,0,3452300,0,0,0,0,12362000,0,0,23488000,7228800,8243500,3126900,0,3218400,6130600,0,10482000
Q9ULA0,771670000,604860000,570950000,431400000,170060000,330450000,167900000,85406000,108040000,1268300000,1075200000,607250000,5527300000,5179400000,3832500000,1843900000,1704900000,1485400000,427280000,497860000,365000000,1824200000,2718500000,2094200000,435270000,248440000,210520000,201740000,257360000,209340000,69583000,84613000,69763000,419460000,436140000,241480000,1149900000,978050000,1394800000,1073100000,844620000,1136600000,144850000,270070000,333780000,1302300000,860120000,813880000
Q9ULB1,33906000,68367000,70919000,106410000,45128000,23287000,15583000,50984000,40138000,88836000,33423000,59612000,10523000,11622000,8928600,627750000,632620000,673070000,59022000,105590000,56372000,1429400000,1433300000,1485400000,394420000,309470000,414900000,562440000,481550000,569940000,101920000,142500000,157260000,355570000,239910000,266770000,1996100000,1786300000,2080800000,2322200000,1484300000,1571100000,709750000,530520000,632870000,1711300000,1690900000,1616700000
