proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Q4G0X4,55994000,46216000,59612000,39671000,90866000,51606000,66342000,49138000,88181000,66653000,57750000,52373000,39190000,34288000,93218000,64952000,16119000,93687000,69761000,33814000
Q4G176,195860000,352630000,103870000,192530000,157330000,314100000,146070000,87461000,182600000,91557000,56845000,215040000,181670000,109080000,179400000,160060000,61633000,320270000,167950000,268060000
Q4J6C6,941660000,1216500000,1150200000,1149500000,707970000,1623000000,795280000,1199500000,829110000,1436200000,1279000000,787260000,1063800000,434470000,1044600000,962210000,511360000,872310000,1590700000,1528500000
Q4KMP7,5289600,0,13701000,7507100,746950,36139000,0,16494000,4841000,55781000,29528000,0,0,25388000,0,28390000,0,1613700,3776500,25485000
Q4LDG9,61076000,68047000,0,12469000,0,0,34319000,37208000,20892000,73478000,55613000,0,35053000,28759000,30513000,36545000,0,42299000,30758000,29664000
Q4V328,578560000,561720000,786580000,581890000,745000000,846780000,685430000,980690000,640090000,1143900000,885900000,574480000,475260000,428970000,576810000,775950000,192570000,669240000,488220000,1143000000
Q4VC31,62078000,57414000,97153000,75927000,44464000,100030000,66968000,87212000,0,57154000,117810000,29143000,54595000,39940000,67786000,58023000,46994000,86642000,114540000,67656000
Q4VCS5,8201800,27658000,23046000,0,19856000,18353000,21029000,47279000,0,0,159960000,11516000,39460000,11449000,20880000,13171000,0,17816000,0,21822000
Q52LD8,81758000,199770000,265060000,274990000,212600000,109460000,90780000,223120000,205490000,198800000,322060000,191540000,138570000,152100000,270100000,142550000,62364000,160710000,107910000,232420000
Q52LJ0,747520000,663530000,1031200000,918050000,734280000,1075000000,1009500000,993050000,754070000,1114800000,1163300000,680690000,713320000,442720000,876240000,823080000,358300000,876470000,472000000,502110000
Q53EL6,147730000,103110000,147130000,144600000,197840000,72959000,156480000,180960000,120130000,151150000,211870000,161600000,108250000,45957000,112350000,111750000,202200000,138100000,37778000,0
Q53EL9,13210000,3198300,0,0,8071500,15825000,0,3709000,4942800,0,0,4582900,0,0,0,7468900,0,0,0,0
Q53FA7,31242000,127760000,114410000,47606000,131220000,60301000,95738000,45398000,161930000,117030000,159900000,42554000,48633000,54836000,116750000,55903000,33054000,80703000,35530000,17070000
Q53FP2,24288000,39720000,30725000,46252000,30834000,33842000,53619000,31005000,24093000,46704000,64847000,0,39075000,0,29544000,22820000,0,37005000,0,105340000
Q53FT3,109590000,120260000,218980000,146820000,226730000,179350000,137330000,177680000,140420000,167000000,201380000,191290000,197820000,121050000,207490000,166550000,77233000,203860000,147970000,81962000
Q53G44,24841000,0,0,0,0,0,0,0,0,0,0,89402000,0,0,0,0,0,0,0,0
Q53GG5,74739000,132100000,188580000,46288000,216290000,23879000,111310000,43868000,40916000,72822000,129720000,73647000,65038000,0,50707000,11495000,268770000,147920000,63030000,45596000
Q53GL7,697010000,780710000,755480000,749720000,622030000,840470000,739130000,636930000,625690000,643610000,756540000,868960000,500010000,1014500000,751960000,824720000,337290000,655140000,1023900000,847540000
Q53GQ0,268030000,317570000,441340000,469450000,595400000,865220000,585980000,910080000,631960000,781600000,509310000,323040000,720010000,434370000,654870000,347410000,528350000,725990000,510870000,395480000
Q53GS9,26167000,9832400,10843000,28695000,12432000,21477000,55982000,20275000,16711000,14604000,11320000,21855000,13884000,35573000,21295000,0,32557000,11994000,14259000,7369500
Q53GT1,123700000,73280000,99647000,180630000,47150000,24966000,44065000,135390000,18610000,34403000,16155000,81009000,20861000,13579000,137920000,45661000,36477000,83524000,154920000,85338000
Q53H12,1017500000,688020000,609900000,685660000,635400000,947490000,927440000,755670000,566420000,1032600000,543370000,276240000,934710000,526590000,691870000,489210000,166000000,501440000,961030000,893210000
Q53H47,0,0,0,0,0,17423000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q53H82,59071000,122770000,231840000,80922000,170050000,106950000,111130000,195240000,135490000,172100000,223700000,78650000,94209000,48543000,107430000,133830000,159290000,101570000,110970000,35274000
Q53H96,315240000,223650000,354810000,220330000,237880000,276940000,88826000,207370000,185030000,373910000,482150000,177210000,494500000,94331000,264940000,225290000,120740000,322640000,389660000,266380000
Q53HC0,30903000,21461000,47323000,67918000,26458000,131130000,29616000,34419000,32934000,124840000,51331000,45630000,71698000,16421000,50600000,58854000,0,55158000,58377000,241700000
Q53HC9,453860000,641430000,559400000,353540000,433750000,757570000,472660000,708060000,383790000,708080000,859890000,593420000,346100000,499350000,530070000,714900000,250880000,504610000,605880000,538060000
Q53S08,48678000,125500000,100460000,74931000,113850000,46368000,88532000,54239000,101480000,50478000,37538000,98274000,97719000,105210000,42954000,0,40936000,47015000,0,22598000
Q53SF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q53T59,112630000,132800000,241150000,156110000,194800000,238160000,159770000,135060000,156950000,135270000,279290000,168310000,161490000,118210000,177130000,114750000,97109000,186260000,88967000,115750000
Q53TN4,141280000,219470000,236850000,220900000,246840000,0,0,75447000,84687000,44899000,250850000,160100000,44091000,0,0,31716000,168590000,363570000,50241000,0
Q562E7,31877000,0,18489000,0,30188000,0,0,23521000,27941000,21653000,29902000,14121000,33964000,0,0,0,0,38542000,17723000,0
Q562R1,77776000,90992000,61244000,0,90147000,44039000000,39113000,0,74654000,83958000,111620000,43528000,46634000,493670000,38311000,26685000,40335000000,40100000000,88953000,41630000000
Q567U6,139340000,209560000,215020000,164260000,243270000,130970000,259620000,241790000,365550000,137420000,255950000,202480000,305470000,1354300000,250210000,147440000,155680000,150760000,184720000,0
Q56VL3,126410000,29467000,170830000,66977000,274850000,242300000,26232000,102700000,48685000,200750000,158770000,54923000,42120000,99243000,41159000,194960000,23998000,26298000,113370000,40805000
Q58EX2,1611400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31875000
Q58FF6,434820000,359830000,359310000,257810000,292020000,477850000,202270000,830620000,240300000,445400000,446780000,189480000,327660000,331520000,264950000,377470000,218490000,470860000,368050000,441250000
Q58FF8,0,0,0,0,0,643410000,0,537740000,0,423790000,672120000,67095000,0,334380000,852640000,809680000,0,0,420170000,520260000
Q59EK9,0,83854000,102890000,54226000,109690000,28812000,62355000,87561000,48254000,30854000,76626000,56072000,22779000,79702000,93767000,63068000,0,78344000,34367000,95042000
Q5BJD5,10302000,12764000,15624000,0,13677000,21591000,0,6929000,23683000,25046000,19397000,0,0,0,0,0,0,10719000,0,0
Q5BKZ1,31848000,0,28258000,18691000,30293000,0,23158000,0,16891000,22069000,0,52255000,0,0,0,0,0,0,0,0
Q5D862,0,0,0,7246800,10601000,9099500,0,0,0,7991100,0,0,8979200,0,0,0,26423000,37498000,0,0
Q5EB52,13019000,18410000,14232000,17054000,15792000,16649000,15673000,17659000,0,16293000,0,21649000,13021000,0,11976000,0,16004000,16725000,24987000,20678000
Q5EBL4,63546000,102120000,142400000,77113000,99801000,161520000,106750000,87633000,28038000,83494000,173630000,13907000,21054000,38412000,89195000,82241000,38508000,48510000,58275000,56757000
Q5EBL8,76316000,62658000,56841000,60338000,56172000,49267000,70141000,68021000,58011000,101810000,85779000,107440000,0,0,71072000,38888000,55417000,72127000,78547000,0
Q5EBM0,546330000,264260000,304060000,58827000,370500000,1207200000,590810000,472650000,261700000,696300000,665330000,417670000,196970000,388230000,356210000,817210000,111840000,155230000,268700000,74627000
Q5FWE3,20905000,0,0,0,4344000,0,21851000,18542000,0,0,0,0,0,0,7809500,0,0,10802000,17667000,109310000
Q5GJ75,64872000,21743000,36069000,21286000,0,32051000,12928000,48370000,14875000,7805000,23576000,0,14695000,0,20214000,30278000,0,56614000,42050000,0
Q5GLZ8,199540000,204240000,189240000,200850000,202770000,220580000,236950000,289770000,153370000,351090000,245600000,169630000,93284000,71295000,123920000,129740000,91018000,100790000,310590000,232850000
Q5H9R7,185150000,275760000,216300000,331360000,143790000,169980000,79225000,124970000,200340000,257670000,309840000,180380000,64175000,95330000,303340000,218230000,64178000,108500000,184370000,75222000
Q5HYI7,92351000,59755000,138590000,35285000,44290000,177210000,21774000,110250000,61894000,102870000,54403000,0,42130000,26617000,110120000,184730000,6990100,99144000,79422000,287380000
Q5HYK3,203390000,135260000,126140000,170800000,37324000,103140000,91669000,37668000,67795000,59573000,35428000,0,74603000,0,184770000,0,97552000,115610000,148650000,131450000
Q5JPH6,104690000,16162000,91353000,44932000,50932000,35940000,40231000,53878000,42874000,43216000,79878000,15764000,38697000,24540000,43412000,0,0,35148000,162850000,10848000
Q5JPI3,7151000,11314000,32305000,9979300,16677000,32714000,16198000,29102000,0,14093000,19706000,18649000,33692000,0,27001000,0,10655000,0,9822800,0
Q5JQF8,0,0,30309000,40698000,0,0,24393000,0,19504000,0,16239000,0,0,0,33383000,24239000,0,0,86483000,91413000
Q5JR12,39063000,32032000,13249000,36601000,29446000,0,14875000,44914000,24264000,41807000,0,14664000,33342000,7046100,15535000,22438000,0,12046000,0,35048000
Q5JRX3,339230000,140090000,171070000,201830000,196390000,109580000,421890000,378110000,310500000,197180000,156920000,102960000,46439000,95970000,432180000,0,85009000,60795000,309870000,350390000
Q5JSH3,1300400000,859820000,1523700000,920000000,1012000000,1345400000,911630000,1238200000,790550000,1502500000,1795500000,697400000,783280000,600480000,808090000,1062400000,517360000,1103700000,835090000,765440000
Q5JTV8,156960000,98902000,64422000,130560000,203110000,144740000,124750000,159260000,64056000,71398000,83990000,161410000,107030000,70287000,109790000,137700000,163550000,113870000,118500000,34974000
Q5JTZ9,94713000,65826000,51553000,81772000,45292000,89215000,115090000,102750000,58079000,114270000,36833000,21850000,203400000,44308000,73153000,42365000,0,25256000,107490000,48905000
Q5JU85,18615000,31498000,118860000,48433000,39742000,74222000,73934000,34161000,28869000,74883000,79257000,70814000,15570000,0,34982000,24860000,0,69142000,94284000,518220000
Q5JVS0,17007000,30013000,59760000,12980000,52832000,0,0,0,30656000,67879000,61996000,0,0,0,0,0,0,18750000,0,0
Q5M775,202770000,332440000,223750000,225770000,333070000,185120000,174860000,235240000,221140000,233800000,189410000,146030000,159420000,88394000,220990000,41539000,772340000,112790000,254560000,84244000
Q5MNZ6,111530000,108370000,156940000,156950000,124850000,131570000,98615000,101010000,129840000,148250000,144940000,72846000,104210000,0,70759000,108580000,71293000,81201000,50248000,72074000
Q5PRF9,16124000,38077000,35322000,29306000,27643000,56474000,23935000,14254000,34473000,33583000,54251000,40597000,31366000,13575000,28341000,19689000,0,23915000,37065000,26342000
Q5QGT7,0,0,0,0,57789000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5QJ74,52857000,99512000,146260000,97183000,78126000,87616000,28602000,127810000,95602000,0,63360000,117310000,92816000,55270000,61373000,30340000,69067000,90984000,53720000,66096000
Q5R372,50425000,16399000,32003000,46869000,16854000,48383000,19959000,14449000,10662000,38888000,0,15741000,15654000,0,0,24100000,0,14508000,24376000,0
Q5R3I4,41498000,22402000,0,70590000,53749000,37730000,67336000,99428000,96650000,107640000,100150000,35444000,18721000,11465000,41956000,51995000,103280000,193300000,50252000,23356000
Q5RI15,40954000,0,71590000,62250000,26673000,50815000,35764000,47765000,32436000,96713000,123870000,39104000,41647000,50781000,53201000,58817000,43133000,56011000,63221000,34915000
Q5RKV6,0,16225000,0,0,0,0,0,0,0,0,28278000,18773000,0,0,0,0,0,0,0,0
Q5SQH8,0,30966000,0,33578000,58002000,44969000,20231000,25357000,9424100,28166000,0,24746000,16189000,27996000,22350000,24946000,0,17759000,47884000,37665000
Q5SQI0,240940000,214360000,218020000,276980000,221890000,391760000,256380000,257480000,162640000,345670000,294770000,222180000,143750000,206600000,271390000,255500000,39298000,236220000,537070000,245130000
Q5SRD1,48124000,32883000,52156000,44419000,39043000,45518000,49004000,49492000,46255000,49585000,46878000,46322000,38310000,0,44698000,0,29232000,44788000,57312000,54126000
Q5SRE7,1054600000,910190000,2119700000,1002900000,1492200000,1445500000,913430000,1071100000,717120000,1306500000,1793700000,767970000,835700000,531260000,1400100000,464470000,372460000,1001400000,909650000,458480000
Q5SSJ5,67063000,669370000,354340000,219450000,446570000,621960000,299400000,593510000,238830000,540920000,833880000,419890000,403360000,221160000,320100000,319870000,114920000,577850000,202450000,149920000
Q5SW79,335800000,317750000,370200000,263430000,412530000,391810000,305940000,312400000,376650000,604590000,370180000,186330000,283580000,173480000,326470000,215380000,13490000,424380000,183750000,266480000
