proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58
Q5TF21,377420000,568260000,362810000,331860,162870000,155940000,19163000,58467000,211430000,72766000,150660000,84637000,237250000,99274000,28103000,153320000,263930000,177870000,305290000,236220000,114150000,121440000,192410000,40007000,204820000,58535000,215260000,132450000,274600000,161170000,173640000,298430000,269290000,187340000,209850000,26787000,223070000,194970000,260570000,135630000,278790000,207750000,286880000,170810000,396250000,255190000,281940000,164550000,278130000,101080000,162010000,33801000,174240000,81150000,32633000,185950000,179070000,190500000
Q5TGZ0,20780000,10061000,49654000,0,35449000,19346000,126310,4895500,43284000,11195000,15967000,4604000,28048000,19099000,0,16060000,27364000,3606900,44615000,70875000,11158000,20275000,17349000,596120,34333000,1979000,43438000,4238400,70525000,16415000,27863000,30441000,47235000,32433000,28752000,14554000,0,32691000,0,16591000,30935000,80483000,152280000,21242000,275270000,155990000,176660000,4694300,32220000,13264000,41385000,1116200,17830000,2819200,0,44549000,8253300,39689000
Q5TH69,160720000,180280000,105370000,281030,57780000,67472000,14742000,40645000,76580000,44922000,65741000,52873000,144040000,53876000,16687000,79509000,87301000,44950000,82233000,102470000,51631000,59257000,103240000,11152000,70005000,17227000,68106000,84097000,138840000,66532000,100920000,128970000,110300000,98585000,95800000,17783000,60782000,55520000,128630000,90056000,101680000,45708000,82680000,85163000,87423000,120570000,131890000,46750000,66443000,80742000,42027000,14433000,78047000,31956000,8983800,86569000,38343000,53428000
Q5THJ4,19338000,75830000,36726000,0,7882500,9008900,184430,4729000,22548000,16678000,8364700,0,5711000,4106000,0,16454000,3679000,21776000,17829000,15666000,11478000,4829300,12189000,1549700,19266000,2166800,23798000,11408000,18217000,13289000,9895400,11315000,21034000,25024000,21256000,28360000,20412000,28264000,16604000,12431000,23180000,19455000,25891000,10987000,46921000,32269000,21649000,15656000,6666500,17323000,6362900,0,9795300,2174700,0,10344000,6736600,20478000
Q5TZA2,64164000,449280000,60070000,702090,67770000,128190000,40641000,64490000,32593000,268360000,108470000,53178000,54241000,82323000,39190000,68470000,218440000,164620000,7644000,25397000,25424000,70798000,106700000,82769000,24588000,52327000,31367000,76122000,40411000,147890000,44702000,172310000,38605000,25932000,34597000,53730000,135600000,119130000,231590000,141980000,170920000,273060000,195340000,138080000,305540000,220140000,211870000,174890000,63610000,143090000,11741000,43338000,118740000,117560000,59413000,100310000,0,28849000
Q5U4P2,13243000,14774000,6970000,0,0,4484400,0,14531000,4537200,0,0,0,2813000,0,438150,10348000,14645000,0,18484000,6044200,2887700,3171300,11226000,0,3292400,1064900,10347000,0,10212000,0,5934800,6060200,6987900,10610000,18116000,0,0,4073900,0,0,0,0,0,0,0,0,0,0,20474000,0,8127500,0,0,3052000,0,0,0,2483700
Q5UCC4,14299000,46530000,7099300,0,3466300,9807800,0,7820900,4072800,0,12278000,0,3334900,7253000,0,2432300,0,12292000,0,4684500,3318000,3027800,9691100,0,3889000,2844500,5183700,10332000,6088000,13586000,3231200,8361900,5688300,0,4092000,0,1492700,10001000,19655000,0,16147000,5797800,8989100,0,11806000,15261000,13724000,7173900,5029500,9436600,0,0,11756000,5466600,0,6378100,9408600,3350700
Q5VIR6,68815000,127290000,90298000,756820,32275000,46003000,7486100,32849000,97843000,28411000,35580000,15586000,69596000,30192000,3896100,72281000,83830000,36007000,85054000,47211000,37479000,30561000,61740000,7039800,87740000,11004000,91487000,47221000,41800000,54419000,48244000,65456000,49964000,62123000,72783000,23479000,88076000,66513000,58664000,49500000,117350000,72171000,82400000,45489000,125450000,109470000,120140000,50496000,53225000,49482000,60286000,5737400,72092000,23038000,8355000,58231000,52143000,26366000
Q5VSL9,34069000,68203000,33837000,0,14040000,0,3021400,5018500,16835000,3931900,8338900,4711600,23572000,21627000,3776300,0,12000000,17770000,25534000,20043000,10700000,11333000,16823000,5076100,15556000,8812300,16217000,9264300,23567000,0,20985000,11297000,19427000,19442000,17662000,5252900,25014000,29920000,56195000,0,24927000,8597500,23989000,0,30708000,22620000,18999000,1783400,38262000,0,17350000,0,0,15598000,2091400,16635000,21190000,16561000
Q5VST6,45527000,0,16007000,0,4051100,14527000,1559600,4722600,17420000,57630000,3513900,0,48951000,8931500,2080600,7133600,0,0,28586000,6357200,0,8955100,11747000,2308400,17522000,1911400,15136000,8404400,19595000,7160800,14890000,15111000,16506000,19463000,8348300,3644500,16759000,16570000,9792800,17704000,34112000,11064000,22899000,11661000,35719000,32939000,16073000,8051600,43440000,4681400,11241000,696230,8555700,5416300,15535000,29494000,8485200,0
