proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
P48556,9058800,0,0,0,127180000,130540000,5172400,119370000,25841000,39433000,82348000,61666000,125800000,122140000,141390000,92384000,23486000,135830000,70271000,58160000,0,29459000,0,0,0,45263000,0,24139000,0
P48637,40074000,47759000,31960000,36723000,258430000,264170000,0,299420000,49707000,126500000,111710000,160250000,225100000,110870000,221490000,132470000,38834000,265620000,203300000,86562000,17828000,60410000,0,118220000,48115000,143030000,46841000,96140000,51882000
P48643,81832000,119090000,150090000,90449000,446210000,1112100000,186060000,755560000,217220000,556600000,289770000,594780000,547540000,1134800000,1716600000,538560000,361430000,2131600000,362730000,479580000,13848000,229700000,1069200,115070000,85327000,348600000,132140000,169060000,18446000
P48651,0,0,0,0,0,28769000,0,0,0,0,0,9104600,7256700,19096000,60020000,17770000,0,83832000,0,0,0,0,0,0,0,0,0,0,0
P48668,0,0,0,0,0,0,10368000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P48681,6850200,16189000,10294000,15371000,0,106500000,0,428100000,12101000,0,0,5449600,57977000,6896400,210930000,0,360850,54818000,5618400,35018000,1231100,1583000,0,2944700,15251000,95757000,6098400,155820000,0
P48729,0,1004700,0,0,0,32065000,0,26151000,0,39849000,0,27128000,44810000,18844000,44287000,23853000,10952000,36953000,11043000,0,0,0,0,3036300,0,0,0,0,0
P48735,230470000,955870000,791730000,592350000,80544000,365680000,48286000,1479600000,35592000,275990000,215680000,308380000,460660000,843060000,1415600000,632910000,222630000,663990000,116740000,115550000,5666700,353270000,583530,113780000,198950000,138060000,121080000,152210000,23028000
P48739,0,0,0,0,0,52873000,11612000,55825000,12752000,6890800,37387000,14840000,31243000,13187000,48954000,0,41592000,104060000,76236000,0,0,0,0,0,0,0,0,0,0
P48745,0,0,0,0,0,0,0,0,27672000,22172000,0,261270000,82834000,20626000,1220500000,46672000,104640000,151500000,8328000,86299000,0,0,0,0,0,0,0,0,0
P48960,1684200,0,0,0,0,2136500,0,0,0,0,0,0,0,1194800,24990000,3910500,0,2781000,0,0,0,0,0,0,0,0,41330000,0,0
P49023,0,0,0,0,197770000,745860000,40624000,404110000,75511000,983900000,8112000,414190000,1263900000,329980000,1802800000,807510000,211400000,1496600000,201420000,214340000,7656500,0,0,0,0,66035000,19659000,3800800,196700
P49184,0,0,0,0,1858400,19769000,0,0,0,8907600,0,4446700,0,7284500,59050000,2148900,0,15794000,21016000,12078000,0,0,0,0,0,0,0,0,0
P49189,157410000,259010000,124280000,154230000,814390000,1942500000,278790000,4100000000,553280000,1178100000,273200000,1641600000,2011700000,1134600000,1320900000,667900000,1348200000,2087700000,598470000,702490000,37467000,548800000,9298600,223130000,845290000,457230000,448600000,588400000,124040000
P49207,0,11020000,0,0,0,0,0,0,0,0,55135000,0,0,19019000,0,0,0,0,6097000,0,0,43613000,0,5858700,11460000,0,0,0,0
P49247,0,0,1646700,0,0,0,30850000,7898600,0,0,0,13261000,0,1613000,0,10089000,414080,11504000,0,0,0,14484000,0,0,0,2764600,0,0,0
P49257,2317700,9832000,0,0,501840000,1230900000,18366000,428830000,180600000,597120000,503860000,444650000,636430000,395400000,1162300000,326730000,61538000,1149000000,298140000,142280000,24005000,14736000,0,40375000,25914000,121910000,0,35930000,5164900
P49321,0,6918000,0,0,0,0,0,31424000,0,0,0,39446000,0,58499000,7575300,0,31989000,34838000,6364000,10019000,0,3938700,0,0,9784300,0,0,0,0
P49327,8084800,6881700,8803000,6740300,1837400000,673860000,58875000,838390000,1109900000,1686800000,199740000,728350000,268560000,3081000000,5608700000,1952100000,325720000,3471200000,464260000,261400000,9681000,335720000,179720,127560000,68271000,246000000,97570000,109520000,10790000
P49354,5084800,8097600,9744500,9911400,59635000,141570000,0,160120000,17462000,70948000,23258000,180820000,140230000,149830000,81414000,19122000,37507000,152250000,47296000,85020000,0,20958000,461770,22845000,8078400,4967700,0,0,21934000
P49356,0,0,0,0,5381800,36124000,0,23815000,2386300,12119000,19124000,20535000,5922000,46840000,9275600,10833000,0,37965000,9239200,13138000,0,0,0,0,0,0,0,0,0
P49368,83927000,197530000,179120000,133890000,926160000,1861600000,272970000,1103000000,481230000,864420000,275890000,1274600000,968990000,1328100000,2036000000,1179700000,302080000,2879700000,428260000,1209200000,33518000,425610000,4718100,234780000,211690000,579390000,374360000,301690000,148510000
