"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","t_test_p_value"
"Q9H115",1.61551,1.68617,1.555383,1.576217,1.586904,1.58458,1.691119,1.933563,1.641593,1.616655,1.551675,1.736169,1.630334,1.587557,1.582977,1.525024,1.691814,1.342379,1.605951,1.909576,0.512407492931345
"Q9H1B7",-0.94979258,-0.69610565,-0.66726731,-0.53102737,-0.90367037,-0.6448907,-0.95232989,-0.94060313,-0.64553519,-0.85709167,-1.13142774,-1.20261638,-1.00428115,-1.35262473,-1.14415325,-0.73157733,-1.0991238,-0.08193275,-1.16647993,-0.99818486,0.0682927845264948
"Q9H1E3",-0.108097895,-0.248153072,-1.049935105,-0.593090131,-0.011830171,-0.10677262,-0.390677426,-0.575758504,-0.13461303,-0.006093296,-0.427171982,-0.22258601,-0.659021562,-0.271869306,0.023336028,-0.2158045,-0.43840523,-1.783341535,-0.163453065,-1.209475291,0.63353150025708
"Q9H1E5",-0.6908146,-0.9924817,-0.6731291,-0.1621037,-0.6903888,-0.3540565,-0.9713441,-0.3986826,-0.2900934,-0.6386731,-0.6246424,-0.5468026,-0.5969815,-0.5374678,-0.6983635,-1.0760621,-0.6927535,-0.8790236,-0.5761449,-0.4923683,0.420471186685348
"Q9H1K0",-0.7712914,-0.9422595,-0.8426621,-0.4032598,-0.6544356,-0.2435274,-0.8459736,-0.3748048,-0.545392,-0.2830748,-0.4389273,-0.8612175,-1.2532569,-0.4614221,-0.4489408,-0.333343,-1.4159216,-1.1678285,-0.3493111,-0.7537387,0.524999853361342
"Q9H1K1",-0.15975784,-0.3448723,-0.50554856,-0.44886234,-0.69394937,-0.36165118,-0.58212204,-0.01034759,-0.31940168,-0.30833708,-0.33474872,-0.4068506,-0.33157073,-0.3082793,-0.41293908,-0.97191364,-0.75297604,-0.6912262,-0.32578088,-0.17294845,0.648399732611533
"Q9H1K4",-0.10488614,-0.07788677,-0.01861383,-0.17513884,-0.17249798,0.20776518,-0.10728519,-0.31938358,-0.13029215,-0.03995484,0.01014288,-0.16353767,-0.15823862,-0.16015753,-0.1277321,0.03675975,-0.24917344,-0.59999646,-0.02371566,-0.24166846,0.461585764056018
"Q9H1P3",-0.03330272,0.129816651,0.094694163,-0.107118445,-0.040957847,-0.207373978,0.030155259,-0.285825598,0.047035076,0.209314107,0.068285498,0.13613067,0.034198912,0.099835256,-0.009104796,0.210176839,-0.146723059,-0.178513683,-0.119098563,-0.040052574,0.332914411057482
"Q9H1V8",-0.26873297,-0.08382965,-0.30284622,-0.13688997,-0.14939282,-0.1586021,-0.22994027,0.42453437,-0.07460873,-0.04800598,-0.14450082,-0.35990946,-0.76161884,-0.24008193,-0.3901918,-0.32903082,-0.34264271,-0.50056998,-0.06939594,-0.25476025,0.0398855846320273
"Q9H1Y0",-0.3730789,-0.50917012,-0.45317965,-0.32574753,-0.49269842,-0.41641299,-0.45576685,-0.32386206,-0.44363617,-1.01868275,-0.78551705,-0.71657112,-0.72507079,-0.60932028,-0.51614396,-0.50451546,-0.46659653,-0.08179653,-0.50646355,-0.42954061,0.0714272210298197
"Q9H1Z4",-0.15921478,0.08079608,-0.11278686,-0.09216009,-0.29656438,0.05555725,-0.27243877,0.16596602,0.06253983,0.04307494,-0.08231668,0.22789367,0.17250035,-0.28178712,0.08591133,-0.44519729,-0.14792937,-0.65015836,-0.20560875,0.12927865,0.60683318947231
"Q9H201",-0.7053339,-0.7601163,-0.7812934,-0.7471477,-0.6116041,-0.7479645,-0.5823462,-0.6475622,-0.6829282,-0.6279171,-0.7665261,-0.6587385,-0.6702825,-0.7599801,-0.5410897,-0.676861,-0.7150132,-0.4842989,-0.7687144,-0.5170099,0.315433937531803
"Q9H223",-0.524569,-0.9571611,-0.4745482,-0.5455884,-1.0704103,-0.9224052,-0.7129336,-0.6649812,-1.3420314,-1.0982228,-0.7048964,-0.6289076,-0.7331701,-1.1166665,-0.418555,-1.0892568,-0.7073684,-0.2553691,-0.5570536,-0.5455078,0.376047039622153
