"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","t_test_p_value"
"Q04941",-0.16620846,0.43838303,-0.31843817,0.16537057,-0.48598673,-0.30351062,-0.25657539,0.14531835,-0.06036744,0.15297555,-0.56606464,0.24141104,-0.46793946,-0.03113231,-0.79349975,-0.64834644,-0.07781306,-0.17385246,0.24526581,-0.05527391,-0.13739196,-1.08622784,-0.12489299,0.40859069,-0.10250812,0.313796067278752
"Q05193",0.19998334,-0.77948622,1.91764023,0.83819839,0.69224881,0.73506426,-0.40557892,-0.12212585,-0.06429219,-0.01900006,-0.18217452,-0.60771633,0.15332977,0.13935154,1.01250385,-0.01712773,0.13374966,-0.074212,0.04891853,1.26579148,0.05850712,-1.43189068,-0.07575448,-0.17779806,-0.07579278,0.517892881883108
"Q05639",0.6512771,-0.7144812,0.9716113,-1.1502162,-0.6851638,-0.6922095,-0.5148912,-1.6133179,-0.5117222,-0.5608657,-0.9166012,-0.7801013,-0.4968204,-0.2262923,0.3847254,-0.9136409,-0.4590447,-0.8331159,-0.5310049,0.9238482,-0.5263079,-0.5741433,-1.7142291,1.0043951,-0.5651467,0.772168931733357
"Q05655",-0.15570903,-1.42544569,-1.3795585,-0.37340177,-0.85668687,-0.85582502,-0.80018193,-1.10112,-0.05916841,-0.53566366,-1.36451606,-1.77805836,-0.58533752,-0.74391143,-0.58273635,-0.62080291,-0.67310791,-0.2856881,-0.53927754,-0.67057718,-1.0950347,-1.46347937,-0.33242359,-0.69335941,-0.87074311,0.512636994188635
"Q05682",1.7107779,2.4520929,-0.5531932,1.3166479,1.0551485,0.670112,1.0197942,0.8333433,1.6081577,0.8869246,1.1279487,0.4785707,0.6040963,1.3451286,0.7348638,1.4731786,1.2951259,1.0125373,0.9166949,1.1163305,1.3317686,1.5975733,1.4325296,2.0482672,1.1517338,0.952859015113619
"Q05707",2.12616737,2.49374908,1.22491826,0.87333658,0.04976789,-0.34957609,0.10041552,-1.1743805,1.03708931,-0.18647225,0.66504287,-0.5579312,2.00876139,1.51151438,0.80000336,-1.15258349,-1.24096496,2.27896631,-0.23205784,1.92274373,-2.01525665,-1.21776063,-0.10711665,0.81356637,0.7913593,0.0868638684254397
"Q06124",0.38814575,0.37247476,0.10523577,-0.4659086,-0.29917484,0.10556507,-0.29836451,-0.7239742,0.31393921,-0.31930382,-0.63999784,-0.50910466,-0.40383634,-0.05926153,-0.12640073,-0.11705057,-0.36741148,-0.30449357,-0.43401316,-0.26941645,-1.45802345,-0.07462768,-0.32414271,-0.09389544,-0.26274772,0.321992244999982
"Q06210",-1.30784942,-1.38904969,-0.58702159,-0.06763001,-1.00303353,0.55264345,-0.65545301,-0.26834504,-0.69743491,-1.33145342,-0.59257974,-0.35239491,-0.32307036,0.19803174,0.24367762,0.31966517,-0.10001664,-0.30318858,-1.08645716,-0.2875886,-0.51371801,-0.51612539,-0.23993253,-0.46543257,-0.1706601,0.496345856574119
"Q06278",-1.54485514,-1.56741019,-0.20964142,1.10369044,-0.74145568,-0.97305202,-0.46981054,-1.78563313,-0.45370469,0.23764695,-0.35827189,-2.43474344,-0.32629889,0.0411149,-1.73437659,-0.25824959,-0.54432188,-0.25497096,-0.3214396,-0.45883084,-0.96776316,-0.15450869,0.01466378,-0.03875451,0.18488936,0.706782330725723
"Q06323",0.25945487,0.70944389,-0.08869901,0.29296683,0.90313874,1.05684066,0.65648132,0.88484494,1.55831314,1.28971173,0.71162383,0.87226384,0.48670634,1.4966684,0.97015042,-0.77451931,1.57297351,1.14964694,1.14162183,1.24194842,0.63244828,0.66987251,0.85128863,0.48128954,0.98503776,0.103191152211357
"Q06828",1.5384018,1.77653,0.5309144,-1.9297651,0.7275654,1.1698779,-1.4261896,-0.5325482,2.0119675,-0.4579615,-0.6347601,-0.7037917,0.4125712,0.4709746,0.3150132,0.5303935,0.5190502,0.3222879,0.8529067,0.4136511,-0.2688251,-0.2242375,1.2778208,0.7608555,0.8963026,0.884397818533071
"Q06830",2.2683023,2.3005527,1.9939703,0.2533289,1.8986306,2.2130933,1.7727437,1.6002247,2.2406238,2.0880509,1.5953509,1.948824,1.7923783,1.6753283,2.0078624,2.2263951,2.2621548,2.2688446,2.334596,1.3284745,1.9801855,2.0107401,1.6479861,1.4298489,1.915529,0.594908168630415
"Q07020",0.3225158,1.0759557,-0.3080596,-0.6224135,1.0658366,0.8809313,0.9355931,0.4024197,-0.1387274,-0.1340842,-0.2000065,0.7169906,0.7665153,0.6122358,0.8144275,1.1248434,1.1839548,0.9693077,0.8674496,0.3945445,1.1811025,0.9692339,-0.341568,-0.2443502,0.3899734,0.415030481093711
"Q07021",0.49002853,0.64765576,0.81619937,0.04431073,0.98143349,1.00762004,0.84326421,0.87787415,0.67049389,0.75508104,0.95523667,1.09878445,0.31462821,0.3388268,0.64453656,-2.43103652,0.89079968,0.32083253,0.57795705,1.19367493,0.67543927,0.22256518,0.30641204,-0.10225819,0.37952076,0.99554826348336
"Q07065",0.2386451,0.5966939,-0.4381433,0.7895436,0.341707,1.5231246,1.4888597,1.3879603,1.8188041,0.7033167,1.4601877,1.1024117,0.8396032,0.8938484,0.3106244,1.1071617,0.8746748,1.2022906,1.1398545,1.1276003,1.4781367,1.7475295,1.1195239,0.6376695,1.3369527,0.161376473775725
"Q07157",0.01228321,0.42883177,-1.0160969,1.56105274,1.31825456,-0.14537329,1.0018318,0.28711492,0.65440928,1.22549646,1.35858319,0.16846263,1.36315532,0.71808304,1.06938383,0.58046666,1.01031105,0.40945344,1.02031542,0.3620305,1.36928194,0.47576583,0.89037327,1.58602319,0.99274866,0.559460475808716
"Q07666",-0.38337108,0.04287434,-1.32844345,0.70280906,0.62765031,0.39452884,0.56665018,0.62704497,0.84618608,0.4508486,0.4402545,0.30979997,0.36619095,-1.40552761,0.25682345,0.17654977,0.54115616,-0.03551796,0.562524,0.19147308,0.36581744,0.47079958,0.36972642,0.99929955,0.47243538,0.451680376495109
"Q07812",-0.23882198,-0.339834433,-0.745915614,-1.190377382,-0.007977356,0.534511676,0.337660578,0.126815267,0.831420798,-0.011509289,0.301949052,0.317973868,0.146390503,0.122372914,-0.807299213,0.086164408,0.782404344,0.62342322,0.201817603,-0.012972033,0.338145043,0.234281014,0.224478199,0.048234814,0.068373737,0.0477600443930366
