"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","t_test_p_value"
"O14498",0.074078767,-1.410707887,-0.206175557,0.028084441,0.025110559,0.009623419,-0.074759228,-0.014348479,0.072713496,0.548598002,0.393515395,0.275633962,0.170496054,0.256152566,-0.528995048,0.121863523,0.478582603,0.2656499,0.412721141,-0.368700188,0.66820889,0.262560271,-0.151381048,-0.40143886,0.091777232,0.853781151,-0.218285997,0.972612649,0.312068759,0.0590216725832443
"O14558",-0.6199161,-0.421485,-0.3950277,0.1310224,0.2048886,0.6096733,-0.5218249,-0.1675412,-0.5374349,-0.751916,-0.7656058,-0.9329999,-0.4833268,-0.4464554,-0.7854564,-0.8052436,-0.5407223,-0.5095033,-0.9437343,-0.439655,-3.6995299,-0.8222709,-1.1519259,-0.3126736,-0.0531112,-0.5197927,-0.2355224,-0.693832,-0.511614,0.00878716973266755
"O14561",-0.92434587,-0.2885642,0.27954108,-0.24709747,-0.44354378,-0.86592021,-0.73840087,-0.14807752,-0.16125089,-0.28884883,-0.19457784,-0.20263667,-1.04647232,-0.07339654,-0.30933397,-0.75420118,-0.21996596,-0.26882303,-0.04286222,-0.4078671,-0.29498546,-0.27357525,-0.9015097,-0.38162477,-0.3929755,-0.04835787,0.06957027,-0.06068733,-1.43835631,0.749282817125469
"O14579",-1.18972747,-0.05956809,0.17417551,-0.2437554,0.30191553,-0.05774187,-0.05246038,-0.04981765,0.01477106,0.28369426,-0.33427945,-0.05999655,0.30434805,0.14295284,-0.34035746,0.28342772,0.3820519,-0.03209211,0.26430385,0.28655998,0.26198997,0.26312782,0.52477287,0.51051736,-0.79660641,-0.61742293,0.27279682,-0.85890582,-1.15713768,0.847803281500093
"O14617",-0.33640776,-0.31283421,0.19501235,-0.4263499,0.12228903,0.12939126,-0.03539551,0.01447944,0.16528088,0.19385788,0.26669987,0.22994134,0.59253523,-0.0885498,-0.16902935,-0.01054004,0.61584451,0.04761674,0.29769241,-0.06186273,-0.36620372,0.23423544,0.06175578,0.07236181,-0.51127378,-0.22636186,-0.11156281,-0.65344322,-0.61736837,0.942238876922211
"O14618",-0.16002366,-0.75573383,-0.95383215,-0.5032103,0.16459209,-0.06742485,-1.0421128,-0.22197705,-0.14211579,-0.85470794,0.25675575,-0.72607013,-0.2037999,-0.77833173,-0.34986231,-0.41777888,-0.94892927,-0.6679961,-0.92346592,-0.36825324,-0.24559875,-0.65902978,-0.35265927,-0.65408315,-0.8147548,0.16534359,-0.43126947,-0.81186362,0.24608571,0.839674101597331
"O14639",0.44839032,0.55161584,0.58977911,0.61271744,-0.03643972,-0.84438252,-0.1791867,0.38174048,0.3518409,0.69158353,-0.1999318,0.11532248,-0.15431275,0.06331103,0.3971294,-0.21615117,-0.34261361,0.29257935,0.74916998,0.92821955,-0.38888191,-0.01309005,0.11306753,-0.3397932,-0.29469956,0.85506165,-0.66200668,0.24517697,0.59567265,0.788114532672829
"O14672",-0.46300372,-0.42005714,-0.08139715,-0.37724684,-0.87239037,-0.35921762,-0.86641851,-0.41482161,-0.80117955,-1.06062395,0.18649966,-1.38696852,-0.60795847,-0.7983476,-0.63864106,-0.48036298,-1.55075457,-0.76143605,-0.44482806,-0.55634691,-0.3936524,-0.8518411,-0.64639377,-0.69486969,-0.53789535,-0.3182196,1.81969432,-0.34308927,-0.55813474,0.968930869137832
"O14683",0.986833715,0.69545843,-0.90481451,-0.144212027,-0.009581834,0.568650309,0.639442777,0.955430568,-1.223045566,-0.347806986,0.398424839,0.581784155,-0.477690733,1.032186636,-0.173436469,-0.791725127,0.441158803,-0.463058433,-0.959047012,-0.595745475,0.683531173,-0.687329967,-0.404453846,-1.062153569,-0.05438967,-0.163268765,0.13136197,0.139639715,0.88160131,0.605088066521101
"O14737",-0.378700829,-0.423464998,-0.113438126,-0.416982353,-0.501541446,-0.58968657,-0.014265648,0.153700247,-0.222116325,-0.202595637,-0.105240006,-0.218180763,-0.566195837,-0.21814183,-0.071957796,-0.6383015,0.10199249,-0.498467263,-0.007784441,-0.260423955,0.484953173,-0.261061041,-0.639805237,-0.25737217,-0.44013642,0.407907084,0.48705813,0.245842149,0.313828264,0.239161493096163
