"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"P07602",1.630302,1.401808,1.546288,1.525457,1.44582,1.38432,0.257561378663571
"P07737",0.22441006,0.16049383,0.36506279,0.22788202,-0.01778534,0.09810306,0.09400413325156
"P07900",0.9634299,0.9927747,1.0976313,0.8233237,1.035884,0.9644053,0.765496075967743
"P07910",0.6889328,0.4228328,0.1263975,0.217134,0.3160088,0.2881236,0.649809957249807
"P07954",-0.806767,-1.0735913,-0.7810649,-1.0933431,-0.5646136,-0.281043,0.0838939890094054
"P08123",-0.306945912,-0.355221006,0.463551527,0.894580597,0.19200351,0.003945582,0.589668689681136
"P08133",0.5926467,0.7184998,0.6370407,0.5562741,1.1678696,0.917202,0.156379307093516
"P08195",-0.7604913,-0.4671114,-0.7613059,-0.576287,-0.4502271,-0.4397033,0.209348494988697
"P08237",-0.2844597,-0.366878,-0.423624,-0.4278433,-0.1769884,-0.4394575,0.591007101948001
"P08238",1.415405,1.432722,1.360561,1.20525,1.211753,1.25822,0.281060177383226
"P08247",0.2502441,0.4561335,0.486782,0.5273238,0.7392625,0.7336746,0.00618090593287948
"P08311",-1.2623704,-1.074254,-0.1978401,0.1429818,-0.884632,-1.3635804,0.184108563982646
"P08559",0.13,0.016,-0.19,0.109,0.163,5.68e-06,0.457906650401735
"P08572",0.7466227,0.3136948,1.223823,2.1197764,1.589539,1.5562516,0.567447881744206
"P08574",-0.2739552,-0.4187107,-0.4181711,-0.4393164,-0.1484223,-0.2724911,0.175036457240098
"P08621",-0.3053717,0.2600527,-1.2603538,-0.4737414,1.1820916,-1.6265576,0.880863015512705
"P08670",0.2687959,0.3937414,0.5796861,0.6175421,0.7582634,0.4147053,0.802180056581946
"P08758",0.6976515,0.681087,0.7299333,0.6194433,0.7105701,0.6598956,0.849976094586577
"P08779",-0.4744394,0.3014376,0.7943024,0.6540695,0.2072288,0.9664847,0.994118554321355
"P09104",2.149959,2.086974,2.050427,1.924214,2.066181,1.912236,0.767037676560696
"P09211",0.5775385,0.3981232,0.5604358,0.5689505,0.5203708,0.5736701,0.586409151916253
"P09382",0.1103283,0.2623375,0.4094746,0.305176,0.4070369,0.3818475,0.25297971514525
"P09417",1.372517,1.088464,1.41368,1.317948,1.051332,1.136952,0.199687444230806
"P09455",0.294,-0.363,1.02e-07,0.0795,-0.704,-0.0859,0.499972771979288
"P09471",1.46513,1.514534,1.569803,1.454633,1.507438,1.541263,0.782001970240299
"P09497",-0.9000431,-0.873277,-0.7656126,-1.0412456,-0.8717536,-0.7912839,0.54365272692079
"P09543",2.611568,2.705861,2.747628,2.585209,2.355488,2.351424,0.0214219474637025
"P09622",0.8983581,0.8758303,0.8256819,0.7664154,0.8701343,0.8104528,0.714126319909082
"P09651",0.6727464,0.4461463,0.2850625,0.3039856,0.3148296,0.1217845,0.391781577272809
"P09669",-0.27681568,-0.31507212,-0.27460059,-0.3113649,-0.02587247,0.18603594,0.168406101777379
"P09874",-0.5155806,-0.9599805,-1.1665838,-1.1391737,-1.1139292,-1.2415245,0.406519215616993
"P09936",1.108037,0.9850479,1.0782966,1.0246097,1.2260279,1.1276073,0.147620991933094
"P09972",1.289107,1.286613,1.367998,1.251702,1.436538,1.435122,0.0603680566259531
"P0C0L4",-0.1214313,1.1114424,0.0549657,-0.4200336,0.4737768,-0.2674325,0.81979187761273
"P0DMV9",0.5386211,0.5663026,0.6120941,0.5036025,0.3589079,0.3829121,0.0173879309692197
"P0DOX2",-0.109586,-0.0715371,-0.3195805,-0.2387729,-1.1268671,-0.3845305,0.373240888549547
"P0DOX7",1.2450152,0.9528924,0.7321741,0.9006284,0.5373558,0.7441633,0.224599372952947
"P0DOY3",0.67300216,0.37752889,0.30642482,0.4544971,-0.05923044,0.30073406,0.377423965240061
"P0DP25",0.890641,0.87106,1.0435703,0.8988239,0.8544566,0.8419397,0.234655696234942
"P0DPI2",-0.4809017,-0.572758,-0.543433,-0.4698191,-0.2105701,-0.4537722,0.340655282242716
"P0DUB6",-0.3729821,-1.7837033,0.3986688,0.8589358,0.1204457,-0.1867671,0.878729332618322
"P10155",-0.3603215,-0.5276008,-0.7138157,-0.442072,-0.1707569,-0.5275245,0.428885328188063
"P10253",-0.8758047,-0.8488588,-0.7247015,-0.8335978,-0.7855528,-0.9275747,0.586180647848963
"P10301",-0.9210325,-0.7119818,-0.8073251,-0.8031532,-0.1324288,-0.3877629,0.138232743209891
"P10515",1.420343,1.185261,1.154982,1.174905,1.236714,1.008677,0.741525357631885
"P10599",0.18294603,0.02645191,-0.00146116,-0.0347336,0.11908423,-0.08464583,0.874142240743764
