"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"Q8WUM4",-0.1238268,-0.3917844,-0.2985678,-0.1947121,-0.1808709,-0.2884197,0.501215518286773
"Q8WWI5",0.5420911,0.476057,0.6020881,0.6058032,0.3641415,0.4165276,0.0429659324637576
"Q8WXF7",-0.6287083,-0.5975371,-0.5662289,-0.6796729,-0.5525756,-0.6821218,0.973101840548784
"Q8WZ42",0.54005873,0.76725516,0.77052253,-0.52510561,0.09998336,0.24548739,0.740834358187598
"Q8WZA0",-0.9279338,-0.8190506,-0.6631037,-0.6020196,-0.8609383,-0.3334487,0.775292035301599
"Q92522",0.2812813,0.3720003,0.4051183,0.2915819,0.3249194,0.2010149,0.342986358415769
"Q92561",-0.08742126,-0.23550945,-0.33501771,-0.34665193,-0.39640471,-0.31470729,0.439488444918589
"Q92598",-0.1244144,-0.07755312,-0.13768576,-0.15241886,-0.26220169,-0.20441233,0.0841528542738055
"Q92599",0.6917334,0.9838323,0.6953076,0.589674,0.6476169,0.4960653,0.280085890085907
"Q92736",-0.9221113,-0.965569,-1.0840033,-1.7329516,-0.7362818,-0.995558,0.246046969607102
"Q92743",-0.28661312,0.40024301,-0.68888325,-0.19973603,0.36288162,0.09263086,0.347662500532511
"Q92752",1.413272,1.338527,1.361701,1.163849,1.187834,1.236201,0.352352183794045
"Q92777",0.11963033,0.24321607,0.08961116,0.16830187,0.63466267,0.66809991,0.00416171463539845
"Q92820",-0.455312289,-0.343270415,-0.374863045,-0.292450231,-0.007143617,-0.437802271,0.689030237353846
"Q92823",-0.00618486,-0.38635283,-0.16230393,-0.22355791,0.03919464,0.2583739,0.10224121542322
"Q92841",-0.202882,-0.5391784,-0.7905564,-0.8287812,-0.571859,-0.6981198,0.500460341405832
"Q93050",0.2838779,0.1154014,0.1284407,0.3749241,0.6197274,0.761365,0.0231393560995386
"Q969P0",0.4467278,0.3409993,0.3030499,0.353091,0.4524739,0.440722,0.00991389952176135
"Q969Q0",0.30038734,0.08292052,0.16209684,0.21660764,0.19165971,0.30821062,0.309802692977847
"Q969X1",-0.5615572,-0.785138,-0.5253346,-0.7091282,-1.0456863,-0.7583212,0.323907866222537
"Q96A65",-0.4465379,-0.931958,-1.106581,-0.7554756,-0.8008646,-0.4211015,0.30468600330279
"Q96BM9",-1.367972,-1.306447,-1.405035,-1.186938,-1.267478,-1.557428,0.57560307286363
"Q96CW1",0.337247,0.6067445,0.3903367,0.4991847,0.6541874,0.4706461,0.625957903924428
"Q96DB2",0.3953959,0.5315695,0.5771434,0.3665819,-0.337608,0.1624174,0.242815417132578
"Q96DD7",-0.13573226,-0.65492271,-0.12941905,0.05657076,-0.33511717,-0.27664044,0.795369749914302
"Q96F07",-2.01164204,-0.1550091,-0.29262053,-0.33100824,-0.17889565,-0.03378061,0.226739800752482
"Q96F85",0.05960059,0.01117161,0.01520717,-0.03101691,-0.17969181,-0.0110471,0.462421154123971
"Q96FJ2",0.353127,0.5253549,0.4577237,0.3483257,0.1676399,0.2270647,0.0271763287049617
"Q96FW1",-0.04281497,0.20741992,0.16220628,-0.13273324,0.27663227,0.4292402,0.127883058586514
"Q96FZ7",-0.10492059,-0.03318803,-0.12765894,-0.57953905,-0.06145329,-0.0519493,0.376591508714264
"Q96G97",-0.465321,-0.4033192,-0.375142,-0.5020427,-0.3504397,-0.2479598,0.177917022748214
"Q96GD0",-1.1573419,-0.9879556,-1.0145182,-1.0715148,-1.0049483,-1.0144856,0.608379265326371
"Q96GW7",1.0873063,0.9238576,0.6379026,0.8295363,0.7109221,0.5502238,0.255635360648759
"Q96HU8",-1.17131,-1.374264,-1.232743,-1.292002,-1.022221,-1.370874,0.659387734375036
"Q96JE9",-0.8121936,-0.6321811,-0.6355813,-0.3595538,-0.2262376,-0.1336102,0.043135282619024
"Q96KP4",1.0501631,1.1674537,0.9277136,1.1153046,0.7746615,0.8182506,0.0546308258115134
"Q96N66",-1.238289,-1.202446,-1.119065,-1.03118,-1.08647,-1.06398,0.484597039538361
"Q96NS1",-0.6793869,-0.7058946,-0.4106015,-0.2964007,-0.8881066,-0.7959346,0.0805642792125446
"Q96P63",-0.2903253,-0.6655244,-0.2379178,-0.2664028,-0.2599066,-0.2186116,0.389083146823373
"Q96PV0",-0.4296333,-0.7072254,-0.7680177,-1.0066137,-0.8346278,-0.4441665,0.50356461908019
"Q96PY5",0.17837051,0.24686444,0.30933819,0.01673194,-0.13480349,-0.17139663,0.0557086429331708
"Q96QK1",-0.1681406,-0.6730551,-0.6656511,-0.7482948,-0.4282413,-0.1253518,0.212165292429818
"Q96R05",-0.8111426,-0.6107956,-0.5559833,-0.7346328,-0.6845157,-1.0428346,0.410009383623785
"Q96S86",1.4309473,1.3793689,0.9128498,1.053891,0.9858694,1.0135394,0.490919850277077
"Q96S97",1.0045518,1.0202388,1.0173328,1.0581448,0.4464115,0.7779949,0.237679752380761
"Q99250",-0.1842428,-0.4261758,-0.3978879,-0.5161699,-0.6296451,-0.1778726,0.880577935384596
"Q99426",-0.534924,-0.4943259,-0.4142513,-0.9272038,-0.606286,-0.6714864,0.882546752707319
"Q99436",1.479363,1.320555,1.395408,1.369237,1.389371,1.373235,0.475136925696107
"Q99497",0.3403012,-0.1772379,0.2645165,0.3737468,0.3013287,0.3025736,0.471540914410315
"Q99523",-0.6418449,-0.7688216,-0.5752425,-0.7093661,-1.1217684,-0.8860394,0.17684369464702
"Q99536",0.218159722,0.466491313,0.438394862,0.377723735,0.001711037,0.043464448,0.00129970572493635
"Q99623",-0.5519528,-0.7649538,-0.5431887,-0.5003239,-0.4330744,-0.4531061,0.189196179131395
"Q99719",-0.0806317,0.16833771,0.01224442,-0.84257071,-0.10886466,-0.17075927,0.821417795814891
"Q99747",-0.518087571,0.003231786,-0.329171731,-0.172244248,-0.507607801,-0.187049473,0.447372260886907
"Q99798",0.5925236,0.4223134,0.5862089,0.6371371,0.7803058,0.6884035,0.101342445882384
"Q99832",-0.2854963,-0.2762407,-0.168876,-0.349794,-0.3694782,-0.3362003,0.232168461683306
"Q99878",0.7967974,0.9037447,0.9080805,0.9677921,0.8751006,0.7081939,0.340922363670978
"Q99880",0.7749013,0.8759278,0.7910769,0.8678863,0.8849173,0.7630251,0.793242644208058
"Q99962",-0.30763002,-0.51910057,-0.3671852,-0.26134171,-0.01281643,-0.08930393,0.0329082645220366
"Q99963",-0.9573819,-1.2483046,-1.1839135,-1.0471356,-1.0036846,-1.1438787,0.435104793592261
"Q99996",-0.999292,-0.9976459,-0.9907564,-0.9216603,-0.8533323,-0.8365911,0.0263467989003425
"Q9BPU6",0.5385514,0.6028519,0.4728108,0.267377,0.3116183,0.2842824,0.263734606746728
"Q9BPW8",-1.287975,-1.1178681,-1.0122698,-0.8408712,-0.6601902,-1.0530956,0.61882751680814
"Q9BRF8",-0.5838843,-0.5708436,-0.5165833,-0.9918589,-1.1340774,-1.0256042,0.112321475260497
"Q9BRK0",0.26286766,0.35667561,-0.09464341,0.39268164,0.27696487,0.19950129,0.911718196416568
"Q9BS92",-0.05370564,0.11309818,0.21996885,0.20096679,0.29315821,0.33501247,0.0403899861730358
"Q9BT88",-1.3579561,-1.4203259,-1.3902495,-0.6946298,-0.9995182,-0.6756245,0.33273642063057
"Q9BTE1",-1.298652,-1.250721,-1.216342,-1.214669,-1.271985,-1.364794,0.285142731695789
"Q9BUP0",-0.457839,-1.145522,-1.0737434,-0.7635286,-0.7946402,-0.4895669,0.199508151033822
"Q9BUT1",-0.7404816,-0.8732359,-0.8238107,-0.8957115,-0.7963955,-0.9868223,0.822603899112029
"Q9BV47",0.17838116,0.06605582,0.0986534,0.32025066,-0.24235412,0.0815307,0.347373401344864
"Q9BVA1",-0.1693838,-0.1139368,-0.3223807,-0.646015,-0.2035322,-0.250129,0.478971302104723
"Q9BVC6",-0.5382379,-0.5631688,-0.5731377,-0.4837839,-0.2726383,-0.419368,0.195542915221532
"Q9BW30",-0.4507329,-0.1295815,-0.3978646,-0.3840668,-1.3221341,-0.2415456,0.537012485161645
"Q9BWD1",0.10471936,-0.76943005,-0.55997111,-0.15986241,-0.04490454,-0.29215565,0.228634070002997
"Q9BWM7",-0.6279155,-0.814717,-1.2372411,-0.933536,-0.3199881,-0.3285205,0.0332808430115966
"Q9BWS9",-1.228136,-1.56626,-1.336692,-1.235108,-1.05889,-1.11537,0.0872038018611554
"Q9BXJ0",-0.89499694,-1.05738734,-1.3069954,-0.73161715,-0.88365037,0.04431718,0.396816954827292
"Q9BXW6",-0.4042872,-0.5492145,-0.6899535,-0.726266,-0.8679193,-1.2110322,0.244066571776195
"Q9BY11",0.3152834,0.1711086,0.3211216,0.3192866,0.5263563,0.4645597,0.0318097656942125
"Q9C040",-0.8554234,-0.8332088,-1.0404042,-0.8304969,-1.2012208,-1.0042304,0.237033524443316
"Q9GZM7",1.612686,1.898301,1.670249,2.328469,1.953628,1.899957,0.85966919205102
"Q9GZP4",-0.8174132,-1.0310058,-0.3104066,-0.2845661,-0.7919288,-0.4133401,0.8571843390842
"Q9GZV7",2.665853,2.625201,1.856784,1.796197,2.387119,1.773664,0.97813349237304
"Q9H0E2",-0.4098207,-0.3073614,-0.4161,-0.3557956,-0.2863472,-0.4020647,0.839941082926172
"Q9H0U4",-0.08858129,-0.0762624,-0.06900726,-0.23420792,-0.09411346,-0.16211954,0.981285905214946
"Q9H115",0.5216407,0.3832155,0.4281538,0.3302829,0.6736896,0.6800063,0.0083666099292132
"Q9H1C7",-0.2414152,-0.4597334,0.1207904,-1.0678061,-0.6552559,-0.8151982,0.522047771717029
"Q9H2X9",0.1425641,-0.1754913,-0.713163,-0.3806863,0.2599714,-0.2953616,0.353308269637845
"Q9H3Z4",-0.34676914,-0.59385297,-0.29053434,-0.37191989,-0.02321806,-0.25634978,0.188998125550129
"Q9H4G0",0.4172829,0.3867651,0.1365872,0.3095638,0.4287847,0.2575726,0.612444666962395
"Q9H4G4",0.11060222,-0.22698872,0.14272965,0.05663193,-0.70804195,-0.21418313,0.284700683453873
"Q9H598",-0.25989977,-0.94898194,-0.46523986,-0.3653874,-0.42697836,-0.04197295,0.281680060380178
"Q9H741",0.4888686,0.4454241,0.4658929,0.2473254,0.3428893,0.2113624,0.343922266291342
"Q9H8H3",-0.3591269,-0.3254932,-0.6352178,-0.5001525,-0.1768584,-0.1919548,0.0767024212491028
"Q9H902",-0.8317833,-0.892082,-1.2192907,-0.6357529,-0.9075905,-0.5566742,0.513384450665951
"Q9H936",-0.45770079,-0.33164513,-0.71880826,-0.08633087,-0.25519669,-0.12016777,0.414587912712858
"Q9H9B4",-0.559107,-0.3277481,-0.7479604,-0.6550184,-0.3967379,-0.5021028,0.4330262669652
"Q9H9H5",-1.0019932,-0.4832012,-0.7606641,-0.8421129,-1.4423695,-1.0490583,0.1619019365872
"Q9HB21",-0.8834341,-1.0845395,-1.0061487,-0.9917221,-0.8479894,-0.9962879,0.370451281375098
"Q9HB71",-0.7000928,-0.6202469,-0.8957582,-0.6465637,-0.5272005,-0.630037,0.258820276459855
"Q9HC38",-1.0926008,-0.9076521,-0.9092577,-0.9159697,-0.8493396,-0.9163116,0.554756685027716
"Q9HCC0",1.869514,0.651515,1.510019,1.631602,1.812398,1.696226,0.250969193080113
"Q9HDC9",-0.7466776,-0.6245102,-0.7395888,-0.540554,-0.6591845,-0.5884628,0.880703087292716
"Q9NP55",-0.8554522,-0.6862717,-0.8813545,-0.6722923,-0.6590353,-0.7707076,0.741402240023771
"Q9NP64",-0.7731122,-0.6543945,-1.0399939,-0.9236756,-0.8777176,-1.1707536,0.494078275875856
"Q9NP72",-0.792627,-0.6853116,-0.6237827,-0.7425642,-0.7188962,-0.6516669,0.978830061559809
"Q9NPH2",-0.21988614,-0.28357216,-1.15162598,-0.35957152,-0.08527724,-0.17834375,0.23275898810635
"Q9NQ66",0.50994,0.3151608,0.2353314,0.1831852,0.4885273,0.1137828,0.813832930632935
"Q9NQC3",0.6343264,0.5402922,0.3683587,0.6805994,0.9329575,0.7292926,0.134048552801081
"Q9NQR4",-1.1724313,-0.9794372,-1.1002922,-1.2021579,-1.0281287,-1.1484115,0.952842319160724
"Q9NQW6",-0.159327951,0.143650926,0.004669278,-0.277937089,-0.336144875,-0.86287998,0.241184716644028
"Q9NR46",-0.4981225,-1.0476569,-0.8276105,-0.4545495,-0.3840446,-0.158848,0.09248402100557
"Q9NRV9",0.183198818,-0.293850414,0.226573468,0.192857914,-0.114662526,-0.009150162,0.607323907416068
"Q9NRZ5",-0.653363,-0.4090391,-0.6467134,-1.4186825,-0.5687307,-0.7082944,0.606765107914778
"Q9NRZ7",-0.3800309,-0.327943,-0.2900782,-0.193574,-0.449341,-0.1942449,0.75816701043627
"Q9NS39",-0.4263856,-0.3327464,0.1460559,0.4622583,-0.9656231,-1.0645105,0.036126573007569
"Q9NTJ4",-0.4551749,-0.5847419,-0.5755239,-0.9112165,-0.9034469,-1.0048453,0.128607660732139
"Q9NUM4",0.2004773,0.5357498,0.4795892,0.8656765,0.9022379,0.5922622,0.59804615795532
"Q9NUQ9",-0.08823689,0.17350574,0.09836271,0.01449099,-0.25802218,0.08433934,0.473087129469089
"Q9NVA2",0.9535194,1.1288747,0.9546185,1.1028363,1.1415838,1.0556901,0.634592590229812
"Q9NVJ2",-1.6926627,-1.2864664,-1.2169541,-1.1104458,-0.9053082,-1.1590845,0.384426599683008
"Q9NVQ4",-0.6959276,-0.5092217,-0.7435601,-0.5187188,-0.9552356,-0.9120784,0.0385298268986241
"Q9NY65",-0.451754,-0.5363652,-0.4758784,-0.9196093,-0.3646807,-0.6743517,0.600224415393746
"Q9NYI0",-0.13691894,-0.43877562,-0.51477442,-0.65470356,-0.19810797,0.06875973,0.126514764113418
"Q9NZ45",-0.576465,-0.4236407,-0.5381228,-0.3484101,-0.1832747,-0.4632705,0.562260207276676
"Q9NZD2",-0.109555,-0.1466321,-0.1789949,-0.58558,-0.1535434,-0.2417599,0.537613789428891
"Q9NZJ7",0.1983522,0.3500965,0.2455556,0.4181005,0.6639457,0.4208278,0.314135567952322
"Q9NZN3",-0.4502799,-0.3681317,-0.2532756,-0.3870205,-0.4015481,-0.4414893,0.171432976998548
"Q9NZR1",-0.7119225,-0.7539375,-1.4136738,-0.92587,-0.6898784,-0.7211736,0.240598173260172
"Q9NZT1",-0.27696755,0.04297593,-0.39323783,-0.23947118,-0.47507272,-0.47192096,0.162436809511736
"Q9P035",-0.20959358,-0.13832541,-0.11303985,-0.12877805,-0.29667139,-0.07992978,0.670940032861297
"Q9P0J0",-0.652064,-0.4808104,-0.6393963,-0.3459472,-0.1951646,-0.4030238,0.278954263072905
"Q9P0M6",-0.8902381,-0.9468445,-0.8245842,-0.7182192,-0.6250441,-0.7554508,0.239574742424433
"Q9P2R7",-0.01270709,0.12939886,-0.9671164,0.10639647,0.26975719,0.23952619,0.302075907305157
"Q9P2U7",-0.8762132,-0.8301863,-0.7649154,-0.7611032,-0.725533,-0.6419639,0.196881213609118
"Q9UBB6",0.12865967,-0.1824089,-0.16043273,-0.16237596,-0.02175221,0.09724266,0.174635883652071
"Q9UBQ7",-0.2041775,-0.137482,-0.2550721,-0.1586334,-0.4531864,-0.4000406,0.0124281836064686
"Q9UEY8",-0.1492279,0.06470792,-0.08064987,-0.11181283,-0.13819537,-0.08339943,0.349936997647564
"Q9UF11",1.796836,1.798882,1.833751,1.867435,1.483933,1.510398,0.000780058231779869
"Q9UFN0",0.8952938,0.9798865,0.9317155,0.9508455,0.9890585,0.9256904,0.937334597475241
"Q9UGM3",1.02e-07,-0.0107,-0.231,-0.166,-0.39,-0.45,0.0351759727185661
"Q9UH03",-0.09990038,-0.28508876,-0.40481529,-0.05893197,-0.11485713,0.16608882,0.25085655622136
"Q9UHD8",-0.35494423,-0.31988761,-0.04564101,-0.43831681,-0.05613208,-0.35055084,0.760632625190016
"Q9UHY7",-0.4862302,-0.4880508,-0.202764,-0.1648249,-0.4060915,-0.2770734,0.67260007354377
"Q9UI09",-1.2635322,-0.99966,-1.0129065,-1.2541599,-0.7243642,-1.2023269,0.692924699213525
"Q9UI12",-0.3523707,-0.2022253,-0.296046,-0.254749,-0.1072107,-0.2728467,0.593409627719087
"Q9UI15",-0.16361248,-0.36751832,-0.34088195,-0.23680486,-0.11096126,-0.05017867,0.018681158466175
"Q9UJ70",-1.2292002,-0.747973,-0.408824,-0.8706393,-0.8145509,-0.9501949,0.279177131852899
"Q9UK22",-0.09641844,-0.054046097,0.071290801,0.003455286,0.108574468,0.007597797,0.495718936077689
"Q9UKK3",-1.1340816,-1.0431909,-0.9890219,-0.8301406,-0.9988545,-1.3648069,0.417060370181676
"Q9UKK9",-0.9444908,-0.7782044,-0.8794056,-1.0186504,-0.7647582,-0.9553823,0.8110329314443
"Q9ULA0",1.3902624,1.3022059,0.4140761,1.2318137,0.8120469,0.8404753,0.638357346519353
"Q9ULB1",-1.08321491,-0.53026441,-0.78391989,-0.77079231,-0.09354737,-1.26858441,0.984947974509558
"Q9ULP9",-0.988566,-0.7551299,-1.0442596,-1.1723485,-0.9670786,-0.9417561,0.797604006538112
"Q9ULT8",-0.3402889,-0.4471352,-0.5396105,-0.6584257,-0.6469816,-0.6291318,0.279132873448347
"Q9ULU8",-0.32412637,-0.23843485,-0.47245117,-0.24894123,-0.1583972,0.03282985,0.15711136847182
"Q9UM22",0.3479339,0.2318739,0.2186878,0.5000669,0.6299317,0.3060915,0.516670506945269
"Q9UM54",-0.3291503,-0.4742344,-0.2426662,-0.2747039,-0.8876511,-0.8438444,0.0124896599636497
"Q9UN36",0.247188,0.2453671,0.4415526,-0.1790552,0.2967071,0.2987464,0.555741806744288
"Q9UNF1",-1.192404,-1.312256,-1.53868,-1.207356,-1.040226,-1.189428,0.148962561341247
"Q9UNW9",-0.6883808,-1.1518836,-0.837962,-1.0876307,-1.2159396,-0.8781675,0.924671404286756
"Q9UPW5",-0.7569082,-1.1662483,-1.3666732,-0.9621448,-0.7467851,-1.2718602,0.661162469978544
"Q9UPX0",0.6798006,0.3700506,0.285305,0.441021,0.350464,0.3715539,0.931336522241266
"Q9UQ16",0.01403591,0.08208697,0.01144365,-0.01504715,-0.16624785,-0.05380932,0.200118653242941
"Q9UQM7",3.017905,2.957989,2.651903,2.804899,3.024276,2.644958,0.904355664437896
"Q9Y241",-0.9728789,-0.9169893,-0.7714461,-0.6815658,-0.6704144,-0.7806781,0.517710190148896
"Q9Y277",0.5052252,0.535886,0.4069907,0.4402911,0.5782441,0.506624,0.226676568383096
"Q9Y281",0.324696978,0.246090425,0.567353218,0.475774439,0.005322604,0.292329915,0.251410264381296
"Q9Y285",-1.277828,-1.528165,-1.259605,-1.218583,-1.267041,-1.130497,0.332922369342629
"Q9Y2A7",-1.3962939,-0.1665524,-0.6081037,-0.5464816,-0.1486104,-0.2701556,0.234725849413177
"Q9Y2J2",1.0253892,0.9054112,0.8048501,0.7637155,0.7832044,0.7797412,0.412734623984234
"Q9Y2J8",0.537598,0.6436767,0.6135081,0.5062655,0.1662907,0.1715384,0.00954576558265788
"Q9Y2Q0",-0.5536154,-0.6044842,-0.6768452,-0.5181313,-0.4943735,-0.4626546,0.107253286313845
"Q9Y2Q3",-0.1850288,-0.309636,-0.30869,-0.4171913,-0.3546899,-0.3780568,0.623571405280019
"Q9Y2S2",-0.01096646,-0.04652571,0.41555132,0.19224161,-0.26036462,-0.0151954,0.177228069015765
"Q9Y2T3",1.1324574,1.1154505,0.8828768,0.9051795,0.9677373,0.9282332,0.817329286776144
"Q9Y2X3",0.2103517,-0.28413586,-0.72001881,-0.12360104,-0.05958209,-0.21020672,0.312863828506925
"Q9Y342",-0.21156211,-0.188334373,-0.101393499,-0.145046679,-0.001930816,-0.351352422,0.885907803152381
"Q9Y383",-0.1426227,-0.3667928,-0.5206267,-0.6186876,-0.1985549,-0.5852502,0.671208363774881
"Q9Y3A2",0.06168803,0.14463061,0.1474706,-0.09585226,-0.17491306,-0.04135667,0.198174982508474
"Q9Y3A5",0.7911859,0.8954196,0.8272854,0.8275713,0.38013,0.5448441,0.112933941832747
"Q9Y3B4",-0.995192,-0.9042919,-0.7943137,-0.8717445,-1.2580744,-1.1940805,0.00575426673031156
"Q9Y3D6",-0.22255815,0.01217066,-0.12105955,-0.23112514,-0.43606894,-0.38556006,0.0403807236205867
"Q9Y3U8",0.8850392,0.7761061,0.7584766,0.8547801,0.923317,0.8344368,0.269115402990228
"Q9Y490",-1.3048912,-0.918814,-0.8153529,-0.8385425,-1.1293278,-1.1489225,0.00781711492558547
"Q9Y4F1",-1.212019,-1.273754,-1.438485,-1.28175,-1.177344,-1.133743,0.0681622693341477
"Q9Y4I1",0.9816939,1.0272142,0.6809458,0.8511736,1.0790672,0.8336187,0.574195398919028
"Q9Y5J5",0.68485532,0.6826691,0.58797539,0.87559522,0.09382439,0.60036525,0.366653781915084
"Q9Y5K8",0.9481978,0.9548591,0.7429377,1.1187231,1.1097059,0.9478932,0.554494497780046
"Q9Y617",0.8345347,0.8426275,0.9304112,0.776662,0.8763464,0.758006,0.699682964511534
"Q9Y639",-0.002972238,-0.548700436,-0.330650893,-0.304083381,-0.100786262,0.128563309,0.102971939328167
"Q9Y696",0.51021289,0.34308361,0.78047972,0.56723401,-0.09132914,0.03845058,0.0288442175716818
"Q9Y6C9",-1.0279036,-0.9486317,-1.0185105,-0.9060779,-0.8906301,-0.5613252,0.386495308416338
"Q9Y6K8",-0.4939218,-0.8749364,-0.8689526,-0.4897454,-1.0740028,-0.8369254,0.318209578410482
"Q9Y6M9",-0.502543,-0.6953131,-0.6733005,-0.6485586,-0.5889145,-0.5600868,0.0229982516831057
