"","Control","Control.1","Control.2","Control.3","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","Disease.22","Disease.23","Disease.24","Disease.25","Disease.26","Disease.27","Disease.28","Disease.29","Disease.30","Disease.31","Disease.32","Disease.33","Disease.34","Disease.35","Disease.36","Disease.37","Disease.38","t_test_p_value"
"P16298",-2.0564116,0.8325884,0.3956398,-1.837416,-1.7839426,-1.9456678,-1.584625,0.7801941,-1.74666,-1.9404891,-1.8495786,0.4057547,-1.7448434,-2.0483588,-1.9480346,-1.9002956,-1.8154716,-1.903888,-1.7410234,-1.6850837,-0.2874435,-1.8126489,-1.9849477,-1.9909431,-1.7583819,-0.9782933,-0.9199093,0.2173992,-1.7390126,-2.0324194,-1.8335954,0.2802504,-0.5318047,0.2585053,-1.5385777,-1.8100074,-1.2365772,-0.4041415,-1.8142034,-1.9356964,-1.8504842,-1.9267509,-1.9067726,0.35447626281245
"P16389",-1.71475789,0.36840808,0.58246121,-1.4957621,-0.34954136,-1.60401399,-0.26507446,0.45993537,-1.405006,-0.56106384,-1.50792472,0.79907226,-1.40318938,-1.70670512,-1.60638073,-1.55864173,-1.47381769,-1.56223413,-1.39936944,-0.05842555,-0.56891959,-1.470995,-1.64329388,-1.64928926,-1.41672793,-0.63663925,0.12071479,-0.51997296,-1.39735866,-1.69076566,-1.49194145,-1.32274011,-0.33468137,-0.13663739,-1.19692366,-1.46835349,-1.59389305,-1.55456956,-1.47254951,-1.59404251,-1.50883026,-1.58509701,-1.56511876,0.150105123142908
"P16401",1.6117752,1.1387869,0.1569776,2.3190294,1.3096492,1.7842121,1.3539387,1.1701389,1.2841721,1.3805098,1.4067598,0.1296113,1.8652382,1.7419529,1.7418851,1.7492507,1.6283185,1.2343612,0.9916739,1.4190279,1.3691416,2.0451912,1.312647,1.430322,1.6921165,1.5938459,1.3673177,2.1255942,1.7140699,2.073488,1.3945096,1.6371285,1.4367391,1.4364441,1.7901522,1.7709549,1.9675364,2.1130455,1.4857232,1.6404537,1.410878,1.3749967,1.673699,0.530299816580205
"P16402",0.6166927,0.11310193,-1.39518573,0.93069044,0.35827223,0.61921443,0.36716995,0.2667423,-1.25559592,0.46057733,0.41192469,-1.01837722,0.69307465,0.49649324,0.07699703,0.67199005,0.6247907,0.49499792,0.26288292,0.17617109,0.49179934,0.95558941,0.43083597,0.5340565,1.17529254,0.627122,0.27012488,0.64875361,0.31441835,0.93113039,-1.34253138,0.83794138,-1.17633384,0.39315208,0.39689468,0.99824004,0.67585292,0.67443753,0.60191418,0.58805111,0.40983542,-1.43568694,0.51817742,0.580301910586324
"P16403",1.1667106,1.2418471,0.3087682,1.329443,1.5953214,0.9435856,1.3668098,0.4564053,0.7234503,0.9840059,1.0135522,0.5729166,1.0149748,0.8844136,0.5142567,1.3307527,0.7600625,0.5181459,0.4613346,1.5686762,1.0375358,1.641884,0.5810037,1.3461982,1.6398865,1.5869576,1.5273919,1.4936608,0.7059009,1.7641234,1.1095827,1.1675346,1.6212732,0.8649997,1.3662341,1.0740599,0.9982025,0.8500841,1.2154266,0.7804366,0.7143894,0.9819342,0.830621,0.831938531933973
"P16435",0.69744518,-0.38633358,-1.66345493,0.55716673,-0.86217779,0.54059612,0.25651346,-0.4245548,0.80379772,0.05656246,-1.62678384,-1.28664647,-0.12797565,0.57674361,-1.72523984,0.27257684,0.10913845,0.71952333,0.63885898,-0.31528551,-0.35719298,0.42703743,0.64986804,0.73678324,0.16457712,0.21732073,0.13508582,-1.51077209,0.16217387,0.58956319,-1.61080058,-0.16791445,-1.44460308,-1.43748408,-1.31578281,0.19784008,0.19535254,-1.67342868,0.61784526,0.44637012,0.87055129,0.74876785,0.2873602,0.395198447190833
"P16452",-1.44878846,-1.20925517,-1.27862634,-1.22979263,-0.02810821,-1.33804454,-0.20964667,-1.07634781,0.27384721,-1.33286578,0.18676994,-0.90181783,-1.1372199,-1.44073569,-1.34041127,0.11108115,-1.20784822,-1.29626467,-0.43442996,-1.07746025,-1.36325739,0.6909715,-1.37732443,-1.38331982,-1.15075846,-0.37066975,-0.31228572,-1.12594347,-1.13138918,-1.42479623,-1.22597198,0.91086604,0.41650309,0.16494221,0.3735527,-1.20238401,-1.3279236,-1.2886001,0.12606401,-1.32807306,-1.24286079,-1.31912755,-0.31370369,0.593394781834913
"P16615",1.1968627,1.3841836,1.5620164,1.1598302,0.8570731,1.4131863,1.1116043,1.4148353,1.0150584,0.9774007,0.9667397,1.0214717,0.926191,1.3633239,1.223863,1.3239817,1.2868364,1.1842151,0.9792889,1.0516903,1.0324823,1.3512823,0.8574983,1.2543468,1.0872615,1.1146228,1.1639387,1.1046542,1.0033539,1.0421938,0.9810032,1.5603637,1.0400899,1.0741024,1.3622852,1.1708521,1.3018327,1.1726821,1.3145697,1.3383451,1.116486,1.1700493,0.9717902,0.610577886846881
"P16930",-1.76529468,-1.52576145,-1.59513261,-0.04661875,0.20356595,-1.65455079,0.13898738,-0.26890535,-1.45554281,0.39427405,-1.55846152,-0.07790511,-0.18332565,-0.18534749,0.37918117,-1.60917854,-1.5243545,0.42702765,-0.21181216,-0.67480666,0.37288047,-1.52153181,-0.29414732,0.03907782,-0.23308407,0.0245582,0.07017797,-0.19455138,0.2017721,-0.1935258,-1.54247826,0.37652319,0.48999043,0.21219072,0.44703683,-0.07537086,-1.64442985,-1.60510636,-0.03424229,-0.75258113,-0.01518607,-0.09404971,0.09958515,0.495154401071031
"P16949",1.2307983,1.6155988,1.5854074,1.3995159,1.4495968,0.9056292,1.0377348,1.582584,1.124598,1.2279029,1.2206719,1.8083459,1.4447329,0.9420904,1.3621224,1.2645402,0.4079977,0.9716818,1.2264333,1.5176583,1.2580047,0.881207,1.3227891,1.0076949,1.5375863,1.3878044,1.6534019,1.2214916,1.3329611,1.532015,1.2760577,1.2304362,0.8317644,1.3563388,1.4695546,1.3004208,1.2366976,1.2125527,0.9774171,-0.4111972,1.1479923,1.4666744,1.2672667,0.00144411038064663
