"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"O00273",-0.304717,-0.3012202,-0.3838697,-0.6042859,-0.6549232,-0.6916215,-0.9258508,-0.6428934,-1.03043,-0.7326034,-0.5306251,-0.5964641,-0.3572005,-0.3528879,-0.4738504,-0.7916473,NA,0.504969691532989
"O00291",-0.2027911,0.1413549,0.1632562,-0.4515896,-0.1604208,-0.2656748,-0.3459525,-0.4056191,-0.5807466,-0.7670009,-0.5360717,-0.4700945,-0.6791393,-0.3922737,-0.6098302,-0.5526946,NA,0.0401076472939439
"O00299",-0.3980455,-0.2746539,-0.071869,-0.4317458,-0.4275779,-0.6600541,-0.2113562,-0.2274754,0.1356104,0.3467547,0.5369715,0.3261654,0.7764125,0.3368789,0.7806158,0.2157917,NA,0.032337174397495
"O00303",0.00867,-0.159,0.0572,-0.0168,-0.0335,-0.0748,-3.46e-05,-0.116,-0.09,-0.0058,-0.0244,-0.161,-0.269,0.124,0.0474,-0.032,NA,0.136781144958942
"O00305",-1.1961917,-1.2869322,-1.5356771,-1.1211062,-0.7274141,-0.8128972,-1.0142936,-0.813386,-0.9150095,-0.6787041,-0.7397458,-0.7005134,-0.8646338,-0.8929659,-0.695049,-0.8298952,NA,0.0818205195386168
"O00330",0.6654283,0.90974,0.3739478,0.7420819,0.7345753,0.5387497,0.7052998,0.6957869,0.666505,0.5747688,0.6704763,0.6690097,0.6430257,0.5516294,0.5414902,0.6335657,NA,0.163867254182241
"O00401",-0.03856225,-0.13657193,0.25957738,0.24569187,0.20494454,0.08545279,-0.05220207,0.30225627,0.10592895,-0.03327965,0.12256756,0.14540455,0.08803187,0.07741617,0.11097805,0.06689215,NA,0.485269284550137
"O00408",0.8273804,0.4749856,0.6357118,0.835331,0.8488623,0.8421377,0.8187966,0.8096044,0.7026719,0.5544472,0.7948612,0.8346261,0.7892922,0.6560958,0.6273748,0.7375903,NA,0.242704397253171
"O00410",0.9835764,0.8999201,1.0771341,0.9076294,1.0544249,1.0295298,0.9875907,0.9933578,1.0334585,1.1033308,1.0727347,1.1750272,1.0724704,1.0494378,0.9991839,1.0336293,NA,0.309339289082264
"O00429",1.336682,1.334008,1.323481,1.370114,1.376906,1.414211,1.369547,1.41847,1.348999,1.319249,1.431719,1.430539,1.448063,1.302734,1.243206,1.331921,NA,0.0779655324214285
