"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"Q9UK41",-0.2573699,-0.38248426,0.03738245,-0.30766784,-0.28097621,-0.26090469,-0.24660871,-0.40109759,-0.1376479,-0.14405401,-0.13866373,-0.07574324,-0.72579633,-0.12594955,-0.11371865,-0.07797991,NA,0.0261119832952157
"Q9UK76",-0.91816988,-0.61795039,-0.59330068,-1.29656462,-0.6993708,-0.24099915,-0.27750289,-0.28216786,0.02730994,-0.61117407,-0.30773297,-0.84500335,-0.56667759,-0.49344557,-0.59955305,-0.22163246,NA,0.752437384036324
"Q9UKA9",-0.287068466,-0.50746023,-0.253037834,-0.450144393,-0.026248147,-0.360040071,-0.133006026,-0.06174799,-0.195654575,-0.001356076,0.004111752,0.162574282,0.1189065,-0.077027687,-0.25567813,-0.002872089,NA,0.220760265758786
"Q9UKE5",-1.0452214,-0.6350492,-0.6498205,-0.9043409,-0.7830204,-1.1241059,-0.5786264,-1.2062571,-1.0690924,-0.7555074,-0.9169203,-0.816694,-0.8636469,-2.1937542,-1.181434,-0.677341,NA,0.392945638021692
"Q9UKF7",-0.4432451,-1.5497377,-1.4334423,-0.8937637,-0.9775045,-1.4390124,-0.6694999,-0.9268396,-1.104658,-0.7909697,-0.8584856,-0.9029624,-0.8392345,-0.9038252,-1.4061301,-0.8945359,NA,0.795613722567411
"Q9UKG1",0.13987188,0.23440967,0.29970821,0.42688796,0.4649982,0.33829514,0.30982061,0.15052408,0.22224062,0.19660027,0.27200799,0.05980347,0.36822123,0.31570626,0.21561465,0.20017764,NA,0.274278605838131
"Q9UKK9",0.12494376,0.52704071,-0.20537781,-0.03412505,-0.18421721,-0.0838787,-0.09458507,-0.22907187,0.14102863,0.30246892,0.07300442,0.22094273,0.12449819,0.42145231,0.2222496,0.14351087,NA,0.0539883083054572
"Q9UKM9",-0.45251368,-0.44977827,0.06166947,-0.09097681,-0.18810446,-0.09275604,-0.18187855,-0.28205127,-0.31362574,-0.1914611,-0.13912494,-0.11479372,0.02109088,0.12935884,-0.1824226,-0.28077603,NA,0.594629118248288
"Q9UKU0",0.9271538,1.0589974,0.612691,0.9020093,0.7069415,0.7703058,0.7464694,0.6983352,0.6417938,0.6571425,0.6461314,0.6849009,0.6157546,0.6519145,0.6912446,0.704532,NA,0.157873708473886
"Q9UKU7",0.01624139,-0.10588613,-0.52756027,-0.10054694,-0.10375062,-0.38231071,-0.23929814,-0.19149835,-0.75246927,-0.05784534,-0.78510047,-0.42197055,-0.95838838,-0.93313136,-0.64927296,-0.65499629,NA,0.0141559403974155
"Q9UKV3",-0.8900398,-0.6168559,-0.9786093,-1.3204311,-1.0404842,-1.4624242,-1.252787,-1.2149764,-1.2044397,-1.0283562,-1.0948927,-0.8381903,-0.850111,-0.9102111,-0.8698837,-0.8686505,NA,0.0277275098465317
"Q9UKY7",-0.74789136,0.26096478,-0.09016927,-0.17697791,-0.0952731,-0.20097486,0.05974789,0.05892591,0.06398509,-0.24776432,-0.15948113,-0.02323775,0.21884561,-0.27456081,-0.27462523,-0.05785786,NA,0.0993079419959083
"Q9UL15",-0.27316955,-0.29289648,-0.42732888,-0.24805003,-0.28216124,-0.2126172,-0.22661452,-0.37455373,-0.24220893,-0.1093036,-0.08675336,-0.1896719,-0.13348067,-0.16789595,-0.1917619,-0.02931552,NA,0.0646566768789566
"Q9UL25",0.6236817,0.6832526,0.5708937,0.5571561,0.5483465,0.5517726,0.4663892,0.3895734,0.6190717,0.6329496,0.5766129,0.5027353,0.6448637,0.5927205,0.4537063,0.5979787,NA,0.997733045111266
"Q9UL26",0.064716136,-0.704135001,-0.100668773,-0.003570772,0.033256342,0.035454184,-0.044342325,0.032681694,-0.00344593,-0.050032034,-0.12788901,0.047330303,-0.157789877,-0.114915946,-0.099869981,-0.388970256,NA,0.440491739414628
"Q9UL42",-2.390731,-1.139462,-2.20704,-1.625684,-1.547445,-1.73473,-1.337168,-1.423167,-1.663178,-1.192072,-2.001007,-1.483571,-2.125587,-1.812026,-1.864399,-1.912492,NA,0.0436702483673628
"Q9UL46",-0.70591089,-0.33642368,-0.17815551,-0.32615008,0.11452073,0.11652487,0.05967901,-0.60210564,0.04531114,-0.28928838,-0.04379995,-0.07958049,-0.05484703,-0.28508614,0.10209022,-0.0382218,NA,0.678580507258819
"Q9UL51",-0.4471651,-0.1097437,-0.895547,-0.5505553,-1.2562304,-0.6124354,-0.7169081,-0.6563036,-0.56375,-0.816797,-0.497121,-0.7556914,-0.7394248,-0.4514896,-0.9123792,-0.9351592,NA,0.645872705575745
"Q9UL54",-0.5377036,-0.7493898,-1.2298509,-0.5572357,-0.7281619,-0.4393416,-0.5411,-0.3787573,-0.4720988,-1.2554424,-0.3332871,-0.3545799,-1.1444931,-0.9820881,-0.4844767,-0.5164709,NA,0.904963400912516
"Q9ULA0",-0.1502894,-0.18309253,0.14258971,0.19050268,-0.28511745,-0.24816699,0.0842404,-0.04798749,0.02805689,0.22886728,0.07851079,-0.18744914,-0.22344489,0.23232891,0.28767189,0.1092655,NA,0.0180379707896106
"Q9ULB1",0.9829709,1.0541928,1.0559901,0.8849214,0.8211704,0.8246242,0.6864997,0.7098492,0.6840797,0.5782545,0.6687013,0.4735272,0.8110503,0.7565832,0.4576802,0.7917134,NA,0.241686387261878
"Q9ULC3",0.5442854,0.6491301,0.4572021,0.3446347,0.3360887,0.3791229,0.3179811,0.3667696,0.4497788,0.4700688,0.5303995,0.4422791,0.21237,0.4790022,0.463024,0.5161866,NA,0.110601811228907
"Q9ULC4",-0.1727093,-0.26660573,0.1556511,0.15024757,0.24146772,0.22487063,0.23160918,0.28647381,-0.10711174,0.11082276,-0.08440292,-0.04374402,-0.34132892,-0.16395348,-0.19816533,-0.1540931,NA,0.00415826533425492
"Q9ULD0",1.0667451,0.6772794,0.7417706,1.0057617,0.7917471,0.8834352,0.9804478,0.8869488,0.852634,0.8027653,0.9556174,1.0511868,0.8338158,0.8624197,0.8383361,0.9270941,NA,0.636026866720157
"Q9ULF5",0.8647116,1.0646481,0.5929303,0.7596176,0.4985332,0.7440073,0.8400659,0.6258308,0.7534933,0.7608805,0.8623886,0.5091644,-0.3356619,0.7241032,0.8369912,0.9397655,NA,0.300249844800234
"Q9ULH1",-0.34533842,-0.34998054,-0.23332879,-0.52845193,-0.1956998,0.08255141,0.01463171,-0.01581738,-0.15858155,-0.13939324,-0.02131453,-0.30257549,-0.2398609,-0.10303091,-0.46898989,-0.48321351,NA,0.291443105296272
"Q9ULH7",-1.5206612,-1.1533795,-0.748279,-0.5654124,-0.5697944,-1.4471557,-0.7126415,-0.6933836,-0.7261578,-0.8780194,-0.6284603,-0.8681383,-0.3855894,-1.7135887,-0.9712274,-0.6104171,NA,0.497349827238989
"Q9ULJ8",-0.40337804,-0.56448202,-0.50434609,-0.14059694,-0.16711919,-0.2138847,-0.14987302,-0.09295732,-0.09001778,-0.2661923,0.03368716,0.10033169,-0.02626769,-0.54549783,-0.44164698,-0.07665052,NA,0.520355227006526
"Q9ULK0",-1.0473893,-1.3042076,-0.8606916,-0.9871738,-0.649665,-0.6670385,-0.8734713,-0.7694212,-0.706401,-0.9184846,-0.5613247,-1.0223055,-0.589951,-0.9270553,-1.051687,-0.9516702,NA,0.178536063375431
"Q9ULN7",-1.1434151,-1.1710111,-0.8284699,-0.9057329,-1.0310297,-1.5065003,-1.2340172,-1.0956051,-0.6554488,-0.8384741,-0.5932275,-0.3677238,-1.1065214,-1.3208738,-0.7083978,-0.6377227,NA,0.539680515431132
"Q9ULP0",0.7526337,0.870437,0.680867,0.8430838,0.9275086,0.7714385,0.9194683,0.8980884,0.8480759,0.8900499,0.889015,0.8466498,0.8289783,0.8441257,0.8132294,0.8925559,NA,0.894781620906575
"Q9ULP9",0.03386681,0.37294101,0.30107462,0.30941887,0.46995039,0.43140774,0.38013057,0.31190916,0.31635568,0.29050863,0.32791123,0.37849196,-0.03686821,0.24367283,0.12613798,0.18577563,NA,0.0129032790530595
"Q9ULR3",0.42508388,0.05860748,0.36528611,0.50495638,0.55240798,0.57846982,0.39154666,0.52499974,0.47017385,0.29342973,0.30169942,0.39847861,0.43477586,0.22953626,0.28373436,0.41281143,NA,0.173854312083621
"Q9ULT8",-1.4994673,-0.8488739,-0.4365681,-0.7593831,-0.3268811,-1.4163936,-0.9159874,-1.1809796,-1.7405993,-0.8491983,-1.1199134,-1.1783666,0.5294829,-1.0233726,-0.9813605,-1.30839,NA,0.46409081979533
"Q9ULU8",1.298719,1.231867,1.130438,1.37981,1.259307,1.353248,1.223272,1.25912,1.232641,1.127519,1.313994,1.185499,1.287381,1.284821,1.145541,1.260709,NA,0.609826505744172
"Q9ULV4",0.4525437,0.3798156,0.2982541,0.4724288,0.369021,0.4434504,0.3782328,0.4341747,0.493856,0.4946622,0.4267317,0.3820142,0.3468031,0.3459949,0.4402442,0.3910219,NA,0.665662357118154
"Q9ULX6",-1.3045141,-1.6458046,-0.8605929,-1.437384,-1.6287301,-1.396696,-1.4932242,-1.2388788,-1.2221614,-1.1031953,-1.0039255,-0.8116655,-1.0805396,-1.1036643,-1.1222768,-1.191629,NA,0.0436672098654492
"Q9ULX7",-0.14572743,0.10367812,-0.07959586,-0.66900675,-0.40338545,-0.51015636,-0.79157745,-1.12650251,-1.20350267,-1.20124216,-0.84448111,-0.89156935,-0.7038982,-0.53855526,-0.84222819,-0.97464349,NA,0.365176184058273
"Q9ULZ3",-1.4546533,-2.2080594,-0.6449571,-1.5909269,-1.4236767,-1.501738,-1.1841364,-1.0778849,-1.2801854,-0.8349449,-1.2350797,-0.639301,-0.8729923,-0.9191463,-0.5079242,-1.25964,NA,0.15116875434866
"Q9UM19",0.7538039,0.5879684,0.6713784,0.6200406,0.6629775,0.8491021,0.9294709,0.7321879,0.7122463,0.8752869,0.7825631,0.7293732,0.763678,0.3507552,0.8031195,0.6633978,NA,0.485248395834374
"Q9UM22",-1.00264466,0.291103263,-0.41040313,-0.174754843,-1.332679291,-0.023646875,-0.147411083,-0.197597822,-0.072167799,-0.007333661,-0.058003339,-0.087710496,0.035751436,0.079178562,-0.086785529,-0.048466279,NA,0.209702995624764
"Q9UM54",0.394232745,0.45069998,0.347128453,-0.105705092,0.004178651,0.09158479,0.020626133,-0.012880256,-0.00610366,0.222804208,0.14455517,0.084368074,-0.022900696,0.181269565,0.075892993,0.074202153,NA,0.882666482544775
"Q9UMF0",0.5372292,0.3906984,0.4872646,0.7679367,0.8754208,0.8479689,0.7607704,0.8315841,0.5200441,0.5749548,0.737019,0.5272097,0.4928572,0.2471248,0.4258971,0.5978325,NA,0.0988598160282791
"Q9UMS0",-0.3236843,-0.4642809,-0.535355,-0.6263189,-0.5842359,-0.9235101,-0.4855745,-0.4936655,-0.3524868,-0.4854154,-0.4148457,-0.2003066,-0.8220213,-0.9472107,-0.7072677,-1.0830716,NA,0.0595531487561136
"Q9UMS4",0.2422445,-0.00244594,-0.36260985,-0.5419696,-0.14544053,-0.12684638,0.02668759,-0.12704634,-0.13442214,-0.65474166,-0.50570349,-0.08685544,-0.47920713,-0.69240616,-0.19786983,-0.27916406,NA,0.297487737784686
"Q9UMS6",-1.0257447,-0.8455472,-1.3624915,-1.3589414,-1.4544421,-1.2073169,-0.9755101,-1.2751882,-0.6280725,-0.9593011,-0.9964257,-0.9891922,-1.0024998,-1.0151019,-1.2272695,-1.1179144,NA,0.88181102981844
"Q9UMX0",0.186523767,0.626635004,0.12585269,-0.289786666,0.065939801,-0.165586186,0.204845399,0.262809895,-0.278927874,0.190840721,0.052915941,-0.00442444,0.362556744,0.00075657,0.013216038,0.174632395,NA,0.961580209992449
"Q9UMX5",0.130572362,-0.050136742,-0.057310279,0.06821592,-0.337208252,-0.097779075,-0.254062176,-0.297537643,0.001357278,-0.042886793,-0.349067338,-0.267112074,0.108941621,0.12886816,0.058413159,0.076287768,NA,0.00452422760116013
"Q9UMY4",-0.24950206,-0.08627307,-0.2777016,-0.32382053,-0.15484549,-0.16500996,-0.31997296,-0.01865796,0.1467231,-0.11675426,0.15594231,0.19820718,0.22397273,0.07954092,-0.01180436,0.11131529,NA,0.0138144039626814
"Q9UN36",1.446478,1.483151,1.475991,1.396705,1.470312,1.450105,1.371567,1.519849,1.318345,1.339341,1.150122,1.192712,1.383641,1.338419,1.26495,1.238151,NA,0.0107300651611617
"Q9UN37",0.36976896,0.1959134,0.02259061,-0.07560575,-0.19739649,-0.04959793,-0.11002378,-0.14332485,0.15517976,0.19474934,-0.17471369,0.3115968,0.24543292,0.42624858,0.26001945,0.31982138,NA,0.00169741415833531
"Q9UN86",0.2078843,0.268622,0.2299577,0.3491509,0.3410617,0.3136326,0.3622302,0.2169385,0.1586962,0.2333054,0.3036381,0.2801944,0.1018658,0.1447287,0.2018874,0.3444954,NA,0.502819414736938
"Q9UNA1",0.004004449,-0.089304274,-0.244177603,-0.126288047,0.032344915,-0.082505607,-0.061536289,0.055080912,0.02567061,-0.070759668,0.07261324,0.100021369,0.07149556,0.04765126,-0.059475528,0.216608932,NA,0.241940109037607
"Q9UNE7",0.54742936,0.04277575,0.26029224,0.69535954,0.21712216,0.7671349,0.71928518,0.67351046,0.51269316,0.45579435,0.12705504,0.32221636,0.43037968,0.5647823,0.40330308,0.37923372,NA,0.752742887605423
"Q9UNF0",0.30306433,0.3457196,0.116027128,0.290833326,0.033474008,0.208495529,0.310149606,0.009729504,0.151687619,0.177014757,-0.032600831,-0.048455954,0.290032973,0.114007793,0.248212036,0.178990533,NA,0.962815555197652
"Q9UNF1",0.05074216,0.40850756,-0.87973734,-1.43634344,-1.3964706,-1.75617439,-1.26303684,-1.3280413,-1.17629375,-1.38659624,-1.41825783,-0.93433916,-1.53439392,-1.25332051,-1.46756363,-1.36530317,NA,0.31509999829832
"Q9UNH7",0.27306254,0.39727972,0.09827355,-0.14037933,-0.14656202,-0.17505424,-0.3184691,-0.08483733,-0.1285462,0.02511587,-0.34080826,-0.04206378,-0.73980691,-0.20038539,-0.02895002,-0.19047775,NA,0.436914651529668
"Q9UNK0",-0.5748406,-0.8114367,-0.7228207,-0.8010662,-1.1462773,-0.6746333,-0.4081493,-1.056145,-0.6763186,-0.4613218,-0.5999564,-0.3191549,-0.4411867,-0.483207,-0.5605962,-0.4293311,NA,0.00966542721299572
"Q9UNL2",-0.7099336,-1.1308125,-0.6006344,-0.5845,-0.5893488,-0.5299087,-0.6392307,-0.4424673,-0.5241097,-0.4708382,-0.4376789,-0.522961,-0.4222396,-0.5485352,-0.3886909,-0.3609983,NA,0.0714553545469732
"Q9UNM6",-0.083939347,0.041965808,0.031907708,0.033488391,0.06186362,0.111190295,0.163037722,0.185297783,-0.053898761,0.141047593,0.123324704,0.105008553,-0.305305061,0.242070298,0.008434016,0.102124011,NA,0.581722266798087
"Q9UNN5",-0.6412032,-0.5537742,-0.9631911,-0.8309464,-0.9242672,-0.6717991,-0.8430443,-0.934365,-0.5754757,-0.5161181,-0.4412594,-0.889263,-0.4418934,-0.4381328,-0.4866673,-0.7763054,NA,0.156639838694358
"Q9UNS2",0.4758252,0.7029616,0.5243363,0.5117945,0.5428713,0.5607568,0.5630561,0.5300003,0.5236846,0.4378989,0.5833262,0.55952,0.3883248,0.4373421,0.4134477,0.5368039,NA,0.106147626651762
"Q9UNW9",-0.530943839,-0.411519499,-0.110424226,-0.224714459,-0.22889291,-0.258128116,-0.232091743,-0.281003322,-0.23104566,-0.296359995,0.007479979,-0.045111158,-0.146459112,-0.395946787,-0.279336807,-0.213143978,NA,0.476108770416507
"Q9UNZ2",0.6363029,0.8316038,0.6387985,0.4977169,0.5576466,0.617977,0.678994,0.6461957,0.7286292,0.7572676,0.7018792,0.6658511,0.8748031,0.7185329,0.6565162,0.7166723,NA,0.280786645352255
"Q9UPA5",1.1309737,1.1904658,1.1696963,1.4484318,1.5531261,1.5092596,1.4832368,1.5419935,1.3382549,1.1783782,1.4626658,1.2809167,1.456108,0.9912445,1.0728294,1.338918,NA,0.10230352342373
"Q9UPN3",0.966762,1.155026,0.9360923,0.9441623,0.9800057,0.9870453,0.9633777,0.9790476,0.9247886,1.0195776,0.9883116,0.9326245,0.9605574,0.9551831,1.0222274,0.9991415,NA,0.799854493438858
"Q9UPP2",-0.811923,-0.182337,-0.439575,-0.7108222,-0.9301855,-0.9143511,-1.0652968,-1.030547,-0.9551237,-0.9050218,-0.9901625,-1.0222405,-1.5945647,-2.3394798,-0.8810606,0.3539854,NA,0.842087728097143
"Q9UPP5",-0.6960717,-0.2700411,-0.4063215,-0.2813028,-0.2328197,-0.354309,-0.319581,-0.1483941,-0.4835129,-0.4197144,-0.1124704,-0.2412624,-0.1912161,-0.807127,-1.8245158,-0.2666719,NA,0.288075868693879
"Q9UPQ0",-0.102093838,0.002201972,0.289792103,-0.479252268,-0.025454397,-0.032584653,-0.064964226,0.095807466,-0.13546737,-0.315732915,-0.298913688,-0.31954112,-0.515529148,-0.309785501,-0.336876825,-0.261562267,NA,0.0119587564224455
"Q9UPQ3",0.09673017,0.01440124,0.02814746,0.03575423,0.04644393,-0.05225483,0.08643974,-0.0783468,0.1150483,-0.09928044,0.0126388,-0.03028217,0.1816028,0.1225477,-0.02753909,-0.045612,NA,0.899804043455684
"Q9UPR0",0.1030985,-0.1074293,-0.2250933,-0.2357511,-0.264147,-0.1494644,-0.1765508,0.5847982,-0.2688528,-0.9857996,-0.2993266,-0.60283,-0.1822639,-0.415799,-0.9167594,-0.3804547,NA,0.0908300463880701
"Q9UPR5",0.9674988,0.785337,0.9005514,0.9860254,0.9783131,1.0833795,1.0032132,0.966996,0.9096494,0.8426923,1.0472734,0.8277996,0.932314,0.8010944,0.7411742,0.7685858,NA,0.000651506945025992
"Q9UPT5",-0.5314558,-0.18724631,-0.01010745,-0.25236908,-0.07086586,-0.54673148,-0.34370176,-0.22874523,0.01756741,-0.35545579,-0.03707715,0.01937044,0.02310228,0.10248084,-0.14933933,-0.08416776,NA,0.169810856274164
"Q9UPT6",0.5846337,1.0807466,1.1675255,0.8037653,0.6827185,0.6039474,0.4513143,0.5662988,0.5227661,0.5906203,0.4089427,0.2831838,0.6270638,0.8836753,0.3477543,0.6572921,NA,0.595644014070454
"Q9UPV7",0.8660947,0.7462775,0.7991613,0.9985541,1.0353099,1.1291784,1.0420374,1.0992612,0.8373526,0.7529305,0.9701416,0.8590046,0.6663639,0.398217,0.4009812,0.6537826,NA,0.0110841405520856
"Q9UPW5",-1.0809806,-0.898865,-0.6600459,-0.8578965,-0.9908656,-1.3861255,-1.2545052,-1.3270273,-1.0487257,-1.2638601,-0.8367127,-0.7897499,-1.1187263,-0.9671057,-0.8884164,-0.7954586,NA,0.131839129210536
"Q9UPW8",0.14452724,-0.163116065,0.046722976,0.071367044,0.169253361,0.103726614,0.115880783,0.211765413,0.091837964,0.006889582,0.265037266,0.035910925,0.260956986,0.074019262,0.090421011,0.117858073,NA,0.759264087499234
"Q9UPX0",-1.22445609,-1.55212487,-1.02243162,-0.18155814,-0.45783327,-0.61582689,-0.1825999,-0.36773158,-0.15907958,-0.14815058,-0.34273542,0.11528781,-0.72727196,-0.90887676,0.08524601,0.09635104,NA,0.447767623437451
"Q9UPX6",0.01060245,0.02494208,0.61380945,0.48984533,-0.38659352,0.35611677,0.28150882,0.3337211,0.36974031,0.26428246,0.35062896,0.47018898,0.0893867,0.44479361,0.20486715,0.29393755,NA,0.688066996848874
"Q9UPX8",-0.26034147,-0.44829487,-0.49547687,-0.19948378,0.06328817,-0.10034262,-0.1351851,0.05192259,-0.37597352,-0.55970945,-0.01479642,-0.34303486,-0.16990704,-0.56759441,-0.40344487,-0.42560959,NA,0.020599764779455
"Q9UPY6",-0.285863981,-0.142752945,-0.528033144,-0.265324107,-0.237243403,0.195605727,0.033626571,-0.067412192,-0.213259619,-0.152658437,-0.243325255,-0.091249174,-0.008353659,-0.308013672,-0.358992031,-0.208979904,NA,0.150209382913363
"Q9UPY8",1.2726874,1.2930024,1.229334,1.19787,1.1952055,1.2247924,1.0459116,1.1630855,0.9138093,0.713635,0.9261801,0.7933177,1.1277915,0.9983374,0.8457067,1.0700894,NA,0.0799142909654604
"Q9UQ03",0.6738748,0.5672758,0.550093,0.6811023,0.6547992,0.6197279,0.6279992,0.5911927,0.4346131,0.6137538,0.4021402,0.4789208,0.6293375,0.4388696,0.4305825,0.4473881,NA,0.000723186979238679
"Q9UQ16",1.1020913,0.9832526,1.1108816,0.9712218,1.1222729,1.1349543,1.0078167,1.1782055,1.1482312,1.0946022,1.1623553,1.1897055,1.2373179,1.1518056,1.0152951,1.1500162,NA,0.683734982683827
"Q9UQ26",-1.2547766,-1.1363,-1.5823359,-1.3065228,-1.6559785,-1.5606507,-1.0071055,-1.0866422,-1.1471127,-1.7666639,-0.7395356,-0.8666982,-1.1818748,-1.4771408,-1.224471,-1.4228075,NA,0.602263726757363
"Q9UQ35",-0.5583272,-0.4786519,-0.5784465,-0.9117524,-1.5356964,-0.9287856,-0.7911912,-0.6772168,-1.3386069,-1.3828573,-0.7528998,-0.870376,-0.6557996,-1.0723111,-1.0099741,-0.9209693,NA,0.501745647021961
"Q9UQ80",0.5074866,0.7352539,0.6553234,0.6267246,0.5091487,0.5967287,0.5212607,0.5416145,0.4418577,0.4060016,0.5382389,0.3457701,0.3739749,0.4558014,0.4168786,0.4174323,NA,0.00262041385551125
"Q9UQB3",0.7016986,0.6844169,0.6656337,0.6827401,0.7986469,0.8627373,0.906776,0.7337458,0.6439474,0.6998819,0.622362,0.5828453,0.6999702,0.2323006,0.5961923,0.5871101,NA,0.138978906533935
"Q9UQB8",0.8007833,0.7856893,0.5879534,0.8236725,0.7776809,0.7790077,0.6976394,0.8807027,0.7458211,0.4434878,0.8384182,0.6702114,0.8237667,0.5923911,0.484993,0.7327066,NA,0.145980962594331
"Q9UQE7",-1.6968555,-1.4563742,-1.2003122,-1.375605,-2.1980329,-2.3633086,-1.4835232,-2.321714,-1.3132233,-1.255521,-1.0938421,-1.1575278,-1.8619096,0.3966233,0.3829313,-1.3938786,NA,0.116346734986022
"Q9UQM7",2.030275,1.824974,1.940151,2.047627,2.013579,2.018646,1.970583,2.05658,2.065861,2.091924,2.129145,2.068902,1.84176,1.874029,1.800284,1.992306,NA,0.194789664399269
"Q9Y217",-1.2530083,-0.8402863,-1.1980329,-0.9030794,-0.9405706,-1.3449653,-0.9312977,-1.266838,-1.4398952,-1.1877436,-0.9876865,-1.3081846,-1.4856328,-1.0823698,-1.2686937,-1.3629445,NA,0.304550866906913
"Q9Y224",0.141455812,-0.246020617,0.100069771,0.12405208,0.076996221,0.003713441,0.126218501,0.136122152,0.039781773,0.190192899,0.119598384,0.190952999,0.079600063,0.073339402,0.127988087,0.135568463,NA,0.202245324651409
"Q9Y230",0.53097431,0.68198197,0.07745425,-0.20867888,-0.44190982,0.102814,0.09932828,0.18365857,0.24200789,-0.03718743,0.03457188,-0.23698147,-0.09647346,0.33333377,0.30767201,0.14840519,NA,0.219923535323016
"Q9Y237",-0.5805254,-0.5090965,-0.4965157,-0.3484587,-0.4707472,-0.7046638,-1.0582931,-0.7733119,-0.8234758,-0.4709932,-0.4646529,-0.5692613,-0.6706932,-0.6024146,-0.5285975,-0.5301597,NA,0.304567285984511
"Q9Y241",0.01007279,0.33066954,-0.28570231,-0.23132506,-0.26037513,0.03483784,-0.16439671,-0.20266606,-0.07942916,-0.13945345,0.10317163,0.09517456,-0.22798301,-0.10996922,-0.26808106,-0.11864508,NA,0.530039737613308
"Q9Y243",-0.04575693,-0.17681117,-0.10084567,-0.19343964,-0.21062372,-0.26269281,-0.21941738,-0.10598592,0.04637892,0.01664512,-0.08318416,-0.07257124,-0.26796859,-0.25098877,-0.0886327,0.02893827,NA,0.617738731889247
"Q9Y262",-0.141880808,-0.374499376,0.017170152,0.061662112,-0.053725627,0.057456081,0.002624502,-0.035970651,-0.060651276,0.009204796,-0.312161591,-0.151509437,0.049527865,0.113089859,0.094251107,-0.138144817,NA,0.497368758594822
"Q9Y263",-0.21130184,-0.21395875,-0.15017243,-0.0815972,-0.01238681,-0.05463024,-0.25601694,-0.15267132,-0.06791421,-0.35127772,-0.13802763,-0.28936043,-0.41774484,-0.24904049,-0.31986466,-0.19334439,NA,0.0404658208494341
"Q9Y265",0.3367696,0.2006585,0.4932852,0.357129,0.3412517,0.3617566,0.3280287,0.3404693,0.3690024,0.40571,0.3257769,0.4414537,0.3991443,0.4043943,0.3747761,0.344144,NA,0.459943109607913
"Q9Y266",0.6850117,1.0050553,0.7861509,0.7168373,0.7451162,0.6083217,0.6933378,0.6589786,0.6036343,0.4646265,0.6356291,0.5699157,0.5685879,0.5907819,0.6068644,0.5921192,NA,0.0241397415709807
"Q9Y276",-0.47336568,-0.508963,-0.61962087,-0.11813376,-0.19736283,0.02205138,-0.18908542,-0.21052111,-0.36836499,-0.60757622,-0.32182548,-0.46955807,-0.28853442,-0.33944588,-0.38027955,-0.20776274,NA,0.706955514299215
"Q9Y277",1.677077,1.328587,1.458113,1.607621,1.604096,1.551303,1.470354,1.487756,1.506874,1.416757,1.484497,1.359541,1.652898,1.504625,1.433719,1.502886,NA,0.60264474739928
"Q9Y281",0.8722311,1.2009917,0.9028062,0.6971026,0.7448856,0.8552577,0.7362018,0.74239,0.8911162,0.7817685,0.8272614,0.79632,0.8544355,1.0133269,0.7656444,1.0228347,NA,0.438482712947373
"Q9Y285",0.7435557,0.6741741,0.6825918,0.9312122,0.9009989,0.7563947,0.7725191,0.9227094,0.8185813,0.6878845,0.8248329,0.8204288,0.927255,0.7976936,0.7580183,0.8387589,NA,0.835950844013484
"Q9Y295",-1.2192994,-1.1427297,-0.7951044,-0.9354102,-1.0193681,-1.2913464,-0.8039141,-0.8455539,-1.0615675,-0.5434646,-0.7740679,-0.503115,-1.0919034,-0.5418247,-0.5765062,-0.5876592,NA,0.000214762878701683
"Q9Y296",-0.2591723,-1.2732861,-0.7802154,-0.7715099,-0.7747563,-1.0474492,-1.1019419,-0.8103653,-0.9399213,-0.9210954,-0.8684682,-0.9262973,-0.6204236,-0.7943481,-0.9162169,-0.8816121,NA,0.3574307723142
"Q9Y2A7",1.291278,1.090132,1.111286,1.233823,1.288945,1.30619,1.228684,1.354449,1.267666,1.246441,1.324169,1.325884,1.18136,1.26633,1.221145,1.20465,NA,0.908346687805251
"Q9Y2B0",-0.55669541,-0.17574414,-0.23549452,-0.11167128,-0.21758545,-0.0628135,-0.11783084,-0.09784979,0.00773413,-0.17120527,-0.16111924,0.12751263,-0.27502828,-0.03892662,0.11290223,0.02032032,NA,0.0421889749713927
"Q9Y2C4",-0.1956716,-0.9461868,-0.1400916,-0.164995,-0.2799776,-0.1025132,-0.3022615,-0.5122108,-0.2565316,-0.3210514,-0.2277425,-0.2721638,-0.4481463,-0.2444622,-0.9653895,-0.2976245,NA,0.564184274615777
"Q9Y2D4",-0.356059501,-0.559788008,-0.166606511,-0.392217197,-0.332886879,-0.26620317,-0.327508356,-0.284271928,0.540475007,0.001330087,-0.060031603,-0.089703776,-0.281579423,0.063234593,0.053901823,-0.121993414,NA,0.124222007695069
"Q9Y2E4",-0.2943664,-0.2791275,-0.3142155,-0.3304537,-0.5129745,-0.3428059,-0.4186665,-0.8468145,-0.3087667,-0.5099131,-0.3570145,-0.3597531,-0.233784,-0.5641259,-0.8022644,-0.5216789,NA,0.119400048443605
"Q9Y2G0",0.061135882,0.015328056,-0.172352103,0.080456606,-0.006490721,0.155937785,0.091909818,0.046111542,-0.119512641,-0.152999973,0.103297395,0.026511612,-0.030818332,-0.030981724,0.015273779,0.013790459,NA,0.779343008920633
