proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
Q66K74,0.05545154,0.0242651,0.15135913,-0.01882251,-0.1852078,-0.58409133,-0.42799747,-0.44184516,-0.10152574,-0.12438006,0.01544704,-0.22654745,0.13605179,0.40776427,-0.29472405,-0.53651441,-0.25561481,-0.34443548
Q684P5,-0.065811747,0.271237041,0.246890519,0.358441169,0.167820958,-0.156702011,0.001431276,0.162687261,0.003088365,0.039584143,-0.101568975,-0.079174074,-0.221950747,-0.083856444,0.077302078,0.126732535,-0.030964209,0.140896707
Q68DU8,-0.580869127,-0.368376595,0.045478187,-0.077570142,0.214608541,-0.151879897,-0.141151923,-0.159943121,-0.085874813,-0.446935996,-0.163814172,0.008259282,0.055817102,-0.128318446,-0.364562804,-0.08299379,-0.115778169,-0.188092286
Q6DN90,1.4692043,1.6952242,1.5861885,1.409905,1.7375174,1.822663,1.5112977,1.5784867,0.992406,1.4067336,1.4224116,1.9530351,0.8736961,0.9992571,1.8496585,1.3082875,1.2784036,1.1400246
Q6FI81,-0.25822512,-0.1684864,0.14961643,0.24388617,0.07925123,-0.39692701,0.13698905,0.04147354,-0.63873597,-0.23033667,-0.25866638,-0.41882108,-0.35868206,-0.18328705,-0.34248349,-0.43521101,-0.25761131,0.02557602
Q6GMV3,0.294823936,-0.431776458,0.134696468,-0.048357408,0.393476147,-0.00389795,0.047501988,0.180881007,0.186362982,0.149252352,0.144916427,0.138942228,0.309489045,0.232312519,0.054767754,0.09964482,0.007216677,-0.069850365
Q6GYQ0,-0.6184381,-0.4332334,-0.5057446,-0.2250522,-0.6524774,-0.9164676,-1.0849742,-0.7979954,-0.3420673,-0.7463604,-0.9733781,-0.6888256,-0.5761428,-0.5908435,-0.497838,-0.5942039,-0.8586387,-0.7998709
Q6H8Q1,0.36665008,-0.03266939,0.41910866,0.16850213,0.32694175,0.1042783,0.23406785,0.03536413,0.30803938,0.31007845,0.17742389,-0.26610568,0.26258148,0.27780633,0.11325195,0.30063752,0.01232644,0.27496521
Q6IAA8,-0.5393651,-0.6032605,-0.7782077,-0.6290757,-0.5739755,-0.6544111,-0.7959984,-0.4808665,-0.3752623,-0.4646144,-0.6432082,-0.9992009,-0.4909101,-0.6366971,-0.8254468,-0.7457216,-0.5698062,-0.5158006
Q6IBS0,0.7366988,0.8591463,0.7805841,0.8682962,0.7994076,0.5109671,0.6483854,0.7522413,0.8476045,0.796028,0.7166107,0.2985512,0.7842343,0.8029482,0.5043899,0.8484419,0.6477727,0.8598762
Q6ICB0,0.4728923,-0.2315399,-1.177088,-0.8824754,0.4278611,-0.5356109,-0.871656,-0.4399977,1.1086941,-0.9188184,0.5385708,1.162897,-0.5324709,1.35826,-0.6738332,0.6441232,0.7476678,-1.2642587
Q6IQ22,-0.37701195,-0.107725036,-0.227715979,-0.662090767,-0.100378669,-0.123624652,-0.031464513,-0.153768215,-0.523917576,-0.544407064,0.051154114,0.160294206,-0.172130021,0.011455438,-0.322082238,-0.002067878,0.076077385,-0.072314502
Q6L8Q7,-0.72037278,-0.34669823,-0.39094706,-0.14913246,-1.32545805,-0.32687785,-0.44284372,-0.39745727,0.21649168,0.27203016,0.05284204,-0.86567468,0.06849517,0.35081919,-0.79292108,0.12938681,0.29858927,0.30094322
Q6NTF9,-0.29639539,-0.28327813,-0.52433707,-0.55587025,-0.03036829,-0.54703771,-0.61566187,-0.25557664,-0.77057025,-0.64295594,-0.62066967,-0.2927356,-0.53704134,-1.07638925,-0.61326555,-0.7149382,-0.95250196,-0.55119282
Q6NVY1,-1.10595652,-0.26324452,-0.50935213,-0.07906269,-0.35102617,-0.70341359,-0.9581323,-0.24576705,0.64913952,-0.88296496,-0.59117839,-0.93743884,0.23734755,-0.03096257,-0.48279582,-0.89688363,-1.19304007,0.21913599
Q6NXT2,-0.58322113,-0.77021472,-0.69193511,-0.66287504,-0.45382335,-0.68606149,-0.50611549,-0.53799535,-0.43022683,-0.17629473,-0.02728439,-0.7693004,-0.21164673,-0.4042334,-1.26333709,-0.02803592,-0.39705435,-0.46535127
Q6P1M0,0.083544455,-0.669013956,-0.003685732,-0.430680248,-0.125870058,-1.070546857,-0.409284371,-0.954132105,-0.408939764,-0.963532416,-0.314263896,-0.403864585,-0.091470464,-0.042146132,-0.501994485,-0.171984737,-0.227021017,0.076191917
Q6P1N0,-0.9058088,-0.8525041,-0.7803392,-0.6476279,-0.9185614,-0.5928717,-1.1052141,-1.0761314,-0.5249708,-1.1545287,-0.4818608,-0.8470788,-0.6396204,-0.7010436,-0.7671523,-0.5726669,-0.7467124,-0.8499641
Q6P1Q0,-0.28771749,-0.22027784,-0.4767088,-0.29369067,-0.23636504,-0.71350168,-0.41497118,-0.09181929,0.01916735,0.17011506,-0.10646713,-0.48831994,-0.10581405,-0.1137908,-1.24376331,-0.01025925,-0.08686677,0.17724825
Q6P1X6,-1.1445963,-1.6330108,-1.0215175,-1.0893552,-0.9552686,-1.2327512,-0.7987567,-0.8976099,-0.704922,-0.8935661,-1.2217185,-1.1491392,-0.6277758,-0.9453576,-1.1631025,-1.1606302,-1.085907,-1.086538
Q6P2E9,-0.36074644,0.03935786,-0.31062249,-0.63933372,-0.49647845,-0.33501976,-0.0053474,-0.71908868,-0.84890722,-0.20803409,0.10125853,0.11520876,-0.69161644,-0.78970024,0.24076855,-0.55995929,-0.16510588,-0.42814489
Q6P2M8,-0.6865444,-0.7323878,-0.561359,-0.914643,-0.4047985,-0.4860914,-0.8505078,-0.5469316,-0.7882709,-1.5330053,-1.0471031,-0.5699452,-1.4132164,-1.1110948,-0.2272749,-0.7115481,-0.5651286,-1.2328918
Q6P2Q9,-0.31630271,-0.36736338,-0.16880705,-0.25300772,-0.68076982,-0.13467396,-0.68519715,-0.40787319,-0.02861352,-0.28872697,-0.66846719,0.12569746,-0.34230826,-0.93784261,0.06264951,-0.51307864,-0.80048418,-0.55999404
Q6P4F2,0.021829084,-0.445252866,-0.371037095,-0.328298373,-0.102343805,-0.514977977,-0.216954293,-0.136708677,0.007401622,0.179538424,-0.113343135,-0.961146172,-0.072450896,0.079630104,-0.85848393,-0.10120422,0.037311111,-0.10818072
Q6P6B7,-0.6084884,-0.7249087,-0.4695094,-0.8683099,-0.711601,-0.4723268,-0.838085,-0.86349,-1.0756683,-0.8905847,-1.1100441,-0.243804,-1.0793752,-1.0609228,-0.5746854,-1.1859,-1.0396256,-0.9031901
Q6P995,0.32864957,0.49441357,0.48160028,-0.0529687,0.36868016,0.80249257,0.3223017,0.65117521,0.24203242,0.55271864,0.45983321,0.84033622,-0.22133499,-0.05122484,0.60993833,0.41249279,0.35123704,-0.29346532
Q6PCB7,-0.38323044,-0.88496388,-0.33130602,-0.09237423,-0.73367037,-1.08342879,-0.43014268,-0.90193719,-0.764996,-0.80716883,-0.5690827,-0.92439386,0.10847208,0.02494048,-0.55745461,-0.25028645,-0.21108426,0.10388681
Q6PCE3,-0.43752589,-0.13794719,-0.04032701,-0.43529343,-0.46908212,0.33801839,-0.04926347,-0.81162362,-0.13363768,-0.14457954,-0.14045732,0.42330273,-0.42660823,0.05644544,0.32523156,-0.10187076,-0.18589648,-0.25595557
Q6PD74,-0.9351044,-0.60425991,-0.63028122,-0.09967347,-0.5588409,-0.85517706,-0.6249234,-0.85697212,-0.71498697,-0.84668584,-0.79121876,-0.62298962,-0.79675955,-0.78622085,-2.15670649,-0.69895604,-0.71915123,-0.6914334
Q6PGP7,-0.07696839,-0.59363455,-0.06869192,0.70541171,-0.80979747,-0.05890458,-0.35380596,-0.86318282,-1.06085054,-0.9601106,-0.4592078,0.19836885,-0.24224171,-0.53080591,0.18864415,-0.34207237,-0.5512808,-0.76087045
Q6PH85,-0.5754836,-0.564794,-0.6903095,-0.6798151,-0.5334121,-0.6295537,-0.7332748,-0.6727042,-0.4983363,-0.6323295,-0.5128942,-0.6741421,-0.4279189,-0.4914666,-0.668892,-0.6759701,-0.6724978,-0.5324568
Q6PI48,-0.58540901,-0.40903334,-0.48154856,-0.44585583,-0.40417166,-0.47274886,-0.82605344,-0.01724413,-0.10209179,-0.04139513,-0.54796863,-0.33147669,-0.48190053,-0.56641373,-0.45564644,-0.27640405,0.12512094,-0.52079307
Q6PKG0,0.14445881,0.28890857,-0.1025763,-0.25086305,0.57831604,0.60836882,0.17349962,0.2295993,-0.02820271,0.21216794,0.1614155,0.76350562,-0.6088115,-0.09205099,0.63761018,0.18109465,-0.49502903,-0.71304451
Q6PML9,-0.78657169,-0.24315132,-0.16880705,-0.75310729,-0.84813472,-0.42136566,-0.30501105,-0.42356238,0.03838344,-0.31998323,-0.60868395,-0.41154126,0.19221379,0.12833589,-0.47509004,-0.66758382,-0.48778967,0.40293893
Q6PUV4,0.07963746,-0.37127507,-0.58738654,-0.90656493,-0.61502602,-0.24408714,-0.56433264,-0.55170804,-0.86902443,-0.4709139,-0.27086514,-0.29100943,-0.52277268,-0.46096065,-0.35112507,-0.71514651,-0.72397773,-0.62148537
Q6S8J3,1.506434,1.57365,1.559757,1.630409,1.689532,1.736064,1.621744,1.521874,1.500689,1.46878,1.610939,1.632432,1.423465,1.387577,1.664793,1.48833,1.421832,1.398533
Q6U841,-0.146385399,-0.119387692,-0.197588409,-0.577935511,-0.009665521,-0.352412348,-0.529423274,-0.221294437,0.634407059,-1.058250464,-0.349561826,-0.282160555,-0.417995063,-0.401617211,-0.138626261,-0.309706128,-0.340677908,-0.54275142
Q6UB35,0.15868735,0.174669463,-0.086057413,0.123717358,-0.002278319,0.446389554,0.503337539,0.058300237,-0.432720936,0.010910309,0.240905054,0.60977545,-0.150528044,-0.431916325,0.404322265,0.272206924,0.207786189,-0.36149353
Q6UUV9,-0.369136184,0.066413665,0.113216209,-0.002377429,-0.315061287,0.077521769,-0.305631559,-0.402718594,-0.738264857,-0.967885167,0.167448781,-0.621846131,-0.878012904,-0.500887693,-0.056005702,0.120473701,-0.243748976,-0.145899569
Q6UWE0,-0.17081159,0.17617624,-0.12559849,-0.39854826,-0.41363903,-0.07409478,-0.29308502,-0.18523765,-0.06060338,-0.23385069,-0.12876549,-0.09847923,-0.32865131,-0.32798763,-0.20819926,0.13392727,-0.12875243,-1.79074811
Q6UWR7,0.1844619,-0.4591205,-0.233997,0.6039178,-1.4605325,0.2658468,0.9949946,-0.1081538,-0.2881058,-0.5415657,-0.1599288,-0.2101171,-0.3154155,-0.7627511,0.339541,0.1789945,-1.0034652,-0.5794472
Q6UXN9,0.175364645,0.451266137,0.338097416,0.238355677,0.415046493,-0.002114397,0.141277958,0.445180958,0.335740976,0.325850501,0.386531942,0.32403687,-0.470131542,-0.214722246,0.077452619,0.268796407,0.127941359,-0.383459752
Q6VY07,1.0529938,1.1181177,1.1736624,1.1465512,1.187299,1.1787423,0.9815607,1.0483117,0.8887676,0.9697064,0.9542457,1.1870342,0.4620824,0.8165614,1.1663937,0.9664604,0.8828891,0.7209223
Q6WCQ1,0.109123036,0.38712738,0.007403777,-0.270500687,0.052142139,0.053979719,-0.980416861,0.011353842,-0.321375587,0.010922334,-0.096823028,0.337189042,-0.327596438,-0.209492876,0.036467295,-0.155023691,-0.826327986,-0.399959562
Q6YN16,-1.358843546,-0.189252809,-0.196655875,-0.177049777,0.013173075,0.027364858,0.002196085,0.27482894,0.867445891,0.355741124,-0.214090223,-0.084422974,0.500309223,0.441630533,-0.830765747,0.121159953,0.088728724,0.356108439
Q6YP21,0.08961281,0.50398585,0.080728,0.62833976,0.6981294,0.54100539,0.44222658,0.69407528,0.60817349,0.87054946,0.68930761,0.15978331,0.54665763,0.33683752,0.3388249,0.95058064,0.71517002,0.98421877
Q6ZNW5,-0.7672087,-0.821269,-0.7675003,-0.5146535,-0.7811098,-0.6647952,-0.6806155,-0.7511847,-0.7101309,-0.8134469,-0.8044895,-0.6856956,-0.5538925,-0.6309621,-0.845435,-0.7510267,-0.8106299,-0.6849676
