proteinId,S1,S2,S3,S4,S5,S6
,Control,Control,Control,Disease,Disease,Disease
P46779,0.3926092,0.202073,0.2783459,0.4302873,0.2560033,0.5413594
P46781,0.8191424,0.8038192,0.7121044,0.8249258,0.9555573,0.836524
P46782,-0.7550545,-0.6334794,-0.8718111,-0.6493867,-0.596798,-0.7162083
P46783,-1.0634577,-1.3387532,-1.0277715,-0.9950165,-1.0222042,-1.1730839
P46821,0.5931591,0.6911667,0.734369,0.6484694,0.6923696,0.6439203
P46940,-0.6698617,-0.5415633,-0.5957272,-0.5904982,-0.256671,-0.5127694
P46976,-0.112603,1.078262,0.740446,1.08254,1.103697,1.088475
P47755,-0.5467765,-0.522902,-0.5577362,-0.5558755,-0.2840423,-0.3988083
P47756,-0.65246051,-0.09375776,-0.39330721,-0.12943475,-0.25768044,0.04397931
P47870,0.3083139,0.2007129,-0.1131612,0.2224276,0.3133798,0.2681775
P47914,0.7402605,0.5168815,0.3965726,0.5242086,0.3834925,0.4344857
P48047,0.4923705,0.2178315,0.3106664,0.3843892,0.5399039,0.4034096
P48426,0.21853845,0.14550324,0.08650367,0.15967647,-0.21960261,-0.10171199
P48637,1.4646895,1.5071293,1.3951067,1.3895668,0.2619119,1.4099313
P48668,-0.1862227,0.1724968,0.96257,0.8321312,0.6196897,1.1776997
P48735,0.02933885,-0.08220073,0.08890305,0.18588871,0.30605724,0.46901875
P49189,0.23641435,0.16939362,0.326238654,0.13545165,-0.510527894,-0.006014449
P49207,0.8795442,0.8260157,0.780092,0.9617628,0.9357656,0.9620114
P49327,-0.11956665,-0.06277766,-0.17458341,-0.26935853,-0.32030039,-0.43223921
P49368,-0.1319848,-0.2492626,-0.081766,-0.279408,-0.2218642,-0.4131522
P49411,-0.26930392,-0.29560244,-0.23347683,0.04641293,0.02831034,-0.06763755
P49418,-0.098941572,-0.007337029,0.226373619,0.141391148,0.130924955,0.445551351
P49419,0.8145036,0.4841562,0.5362036,0.6148814,0.3992983,0.2738601
P49441,-1.188274,-1.37622,-1.156345,-1.148708,-1.284837,-1.443236
P49588,-2.98E-01,1.02E-07,8.01E-02,-6.86E-01,-6.34E-01,-5.79E-01
P49720,1.562919,1.41289,1.500731,1.469148,1.575118,1.423636
P49721,1.523496,1.466898,1.517667,1.452453,1.505257,1.419002
P49821,-0.8678922,-0.9245324,-0.8485347,-0.4828414,-0.5038784,-0.2102611
P50148,0.6639255,0.6941047,0.8321848,0.6325056,0.3605909,0.4114491
P50213,-0.29304374,-0.48348002,0.0952123,-0.10250734,0.06899448,0.20308326
P50395,0.6480081,0.5329415,0.6480722,0.6433774,0.3646512,0.3212192
P50570,0.18621562,0.19088826,0.12978833,-0.18164734,0.10291563,0.07696787
P50897,0.3536962,0.4199854,0.5303145,0.647773,0.6781179,0.4780989
P50914,0.7413978,0.6203968,0.7340068,0.8436143,1.0406077,0.8543406
P50990,-3.99E-02,-3.53E-02,8.25E-02,-2.68E-02,1.02E-07,-1.03E-01
P50991,-0.27545122,-0.12584359,-0.08089765,-0.01841092,-0.16138587,-0.37596878
P50993,0.436389,0.5270462,0.3788032,0.5245327,0.6248315,0.6720378
P50995,-0.9083556,-0.7170365,-1.0613122,-1.0303238,-0.6930861,-0.9052211
P51148,0.3091814,0.2150481,0.3451245,0.2672515,0.1693365,0.1039336
