SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P78348,ASIC1,,,0.477175236,0.51456296,,,,,,0.969211746,0,0,0,0
Q16515,ASIC2,,,0.557329795,0.53013798,,,,,,1.026052888,0,0,0,0
P08243,ASNS,,,0.562985253,0.801636418,,,,,,1.058648827,0,0,0,0
Q86U10,ASPG,0.511109017,,,0.354020216,,,0.804169283,,,,0,0,0,0
Q12797,ASPH,0.494400507,0.031320015,,0.585493045,0.140005832,,0.980300016,,0.173109497,,0,0,0,0
Q8IZT6,ASPM,0.564825598,0.150168047,0.644227107,0.821096862,0.447413225,1.058088886,1.062209941,0.457425871,0.497178367,1.14731171,0,0,0,0
Q7L266,ASRGL1,,,0.402257125,0.503495873,,,,,,0.873841039,0,0,0,0
P00966,ASS1,0.544097612,,,0.748778515,,,1.034492881,,,,0,0,0,0
Q8IXJ9,ASXL1,,,0.546264911,0.178102357,,,,,,0.502793792,0,0,0,0
Q76L83,ASXL2,,0.052821393,0.634192773,0.379008726,,,,0.245132748,0.181794663,0.828509451,0,0,0,0
P15336,ATF2,,,0.373890509,0.854449411,,,,,,0.837531179,0,0,0,0
P18848,ATF4,,,0.370349285,0.781106996,,,,,,0.823482729,0,0,0,0
Q9Y2D1,ATF5,0.395863144,,,0.829247501,,,0.862415453,,,,0,0,0,0
O94817,ATG12,,0.012609825,0.488974515,0.665524511,,,,0.079238702,0.158257514,0.969116291,0,0,0,0
Q676U5,ATG16L1,0.560377698,,0.462530901,0.398835263,,0.943815672,0.86052161,,,0.878394497,0,0,0,0
Q9H1Y0,ATG5,,0.035728941,0.485952931,0.788321784,,,,0.150590793,0.266235622,0.969350095,0,0,0,0
O95352,ATG7,,0.009397123,0.415364069,0.699324469,,,,0.036560896,0.166005437,0.877212944,0,0,0,0
Q13315,ATM,0.634538255,,0.371501872,0.885626117,,0.81814194,1.143288284,,,0.83938044,0,0,0,0
Q92858,ATOH1,0.618599945,0.566295571,0.789952902,0.135513818,1.061234223,1.118255627,0.424083479,1.061516094,0.416871317,0.462706396,1,0,1,0
P05023,ATP1A1,,,0.498670805,0.689250673,,,,,,0.98051863,0,0,0,0
P13637,ATP1A3,,,0.525338012,0.600545682,,,,,,1.015707968,0,0,0,0
P05026,ATP1B1,,,0.479707186,0.759657092,,,,,,0.959959545,0,0,0,0
P25705,ATP5F1A,,,0.535008886,0.465396908,,,,,,0.950999762,0,0,0,0
Q04656,ATP7A,0.560377698,,0.512922582,0.725138053,,1.005385977,1.052130309,,,0.997825431,0,0,0,0
Q13535,ATR,,,0.495589945,0.725457185,,,,,,0.977407749,0,0,0,0
P46100,ATRX,0.577086207,0.050246346,0.532291525,0.452339979,0.219831257,1.026137163,0.929025644,0.206144033,0.185573164,0.934899064,0,0,0,0
O14965,AURKA,0.548545512,0.202321559,0.593401498,0.791031876,0.549387403,1.043198161,1.041790302,0.550334491,0.577610308,1.09127591,0,0,0,0
Q96GD4,AURKB,0.560377698,,0.357080072,0.68012988,,0.802042513,1.05199336,,,0.798369228,0,0,0,0
P01185,AVP,,,0.211454241,0.551531137,,,,,,0.566321933,0,0,0,0
O15169,AXIN1,0.624901138,0.352565793,0.674254857,0.626818861,0.79172407,1.122715673,1.124776662,0.791883306,0.791684116,1.124756372,0,0,0,0
Q9Y2T1,AXIN2,0.527389103,,0.571236118,0.777501389,,1.02109141,1.016911962,,,1.066229422,0,0,0,0
P30530,AXL,,,0.388593901,0.640417787,,,,,,0.841459823,0,0,0,0
P61769,B2M,,0.030857509,0.268467636,0.694417734,,,,0.088347443,0.215699869,0.668640962,0,0,0,0
Q9P2W7,B3GAT1,,0.401706181,0.502810119,0.375995442,,,,0.873220017,0.865473931,0.83736483,0,0,0,0
Q9NY97,B3GNT2,,,0.336552411,0.706029222,,,,,,0.77070175,0,0,0,0
O14867,BACH1,,0.034090086,0.510502512,0.567514321,,,,0.153715623,0.173832238,1.001612492,0,0,0,0
Q92934,BAD,,,0.213520323,0.783618825,,,,,,0.594292481,0,0,0,0
Q99933,BAG1,,,0.464095645,0.499827128,,,,,,0.95574977,0,0,0,0
O95816,BAG2,,,0.555864634,0.599097781,,,,,,1.051012423,0,0,0,0
O95817,BAG3,0.593366293,,0.602809883,0.806802828,,1.092505611,1.092295852,,,1.102476975,0,0,1,0
Q9UL15,BAG5,,,0.625521629,0.366771715,,,,,,0.811761863,0,0,0,0
Q16611,BAK1,,,0.467868333,0.923592447,,,,,,0.964142396,0,0,0,0
O75531,BANF1,,,0.480353537,0.620348069,,,,,,0.960416272,0,0,0,0
Q92560,BAP1,,,0.438676226,0.122991656,,,,,,0.383405661,0,0,0,0
Q9BZE3,BARHL1,0.36732245,0.31807117,0.725981778,,0.791885257,0.814685167,,0.745760449,,,,0,0,0
