SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
Q14974,KPNB1,,0.059748918,0.52039717,,,,,0.228615318,,,,0,0,0
P05783,KRT18,,,0.300390143,0.162177044,,,,,,0.520003109,0,0,0,0
P32004,L1CAM,,,0.332135827,0.209987442,,,,,,0.611740026,0,0,1,0
P11279,LAMP1,0.508441363,0.087650174,0.483148721,,0.298887023,0.977758759,,0.295455077,,,,0,1,0
P80188,LCN2,0.566980097,,0.272095046,,,0.671031557,,,,,,0,0,0
P07195,LDHB,,,0.528145761,0.198812145,,,,,,0.543138489,0,0,0,0
P41159,LEP,0.545539985,,0.239076847,0.256125923,,0.616119894,0.645556231,,,0.723256777,0,0,0,0
P02545,LMNA,0.572211954,,0.293506595,,,0.705216643,,,,,,0,0,0
O75581,LRP6,,,0.419336866,0.240784456,,,,,,0.638799425,0,0,0,0
Q14114,LRP8,,,0.48864264,0.222266579,,,,,,0.590503314,0,0,0,0
Q5S007,LRRK2,0.545577046,0.165845148,0.593823865,,0.478282613,1.03975871,,0.48146805,,,,0,0,0
Q8WXG6,MADD,,0.025811554,0.578616579,,,,,0.155499989,,,,0,0,0
Q13495,MAMLD1,,,0.481792624,0.269784903,,,,,,0.676325512,0,0,0,0
P21397,MAOA,0.503209506,,0.247814563,0.838846179,,0.635051704,0.994186472,,,0.65873705,0,0,0,0
P27338,MAOB,,,0.280103155,0.861341013,,,,,,0.710654336,0,0,0,0
P46821,MAP1B,,0.076141398,0.436459076,0.197397408,,,,0.259259977,0.323318644,0.550239913,0,0,0,0
P11137,MAP2,,0.168475753,0.46083711,0.652766836,,,,0.486154172,0.4936367,0.934932064,0,0,0,0
Q99558,MAP3K14,0.503209506,0.045544907,,,0.184645746,,,,,,,0,0,0
Q99759,MAP3K3,,,0.508504588,0.253601655,,,,,,0.644545948,0,0,0,0
P27816,MAP4,,0.193389116,,0.224954585,,,,,0.655818216,,0,0,0,0
O95819,MAP4K4,0.460879028,,,0.21136686,,,0.573671735,,,,0,0,0,0
Q96JE9,MAP6,,0.113839895,,0.238180891,,,,,0.426245707,,0,0,0,0
P28482,MAPK1,,,0.144480608,0,,,,,,-0.134866477,0,0,0,0
O15264,MAPK13,,0.02009263,0.501155847,,,,,0.108031323,,,,0,0,0
Q16539,MAPK14,,,0.153847998,0.130792512,,,,,,0.585045586,0,0,0,0
P27361,MAPK3,0.566980097,,0.119510352,0,,0.382337295,0.076383267,,,-0.147351605,0,0,0,0
P45983,MAPK8,0.566980097,,0.088866363,0.076053619,,0.312440592,0.28167356,,,0.527524389,0,0,0,0
O00187,MASP2,0.460879028,,0.446632232,,,0.942654935,,,,,,0,0,0
P43243,MATR3,0.376218071,0.033723588,0.647360985,,0.114203421,0.824479138,,0.203459636,,,,0,1,0
P02686,MBP,,,0.258990216,0.637216577,,,,,,0.649682957,0,0,0,0
P32245,MC4R,,,0.357271274,0.261136341,,,,,,0.699280091,0,0,1,0
Q06413,MEF2C,0.084660957,,,0.203032367,,,0.352907596,,,,0,0,0,0
O95568,METTL18,,,0.635028367,0.271008224,,,,,,0.668922582,0,0,0,0
P50281,MMP14,,,0.276693109,0.177156483,,,,,,0.571844734,0,0,0,0
P08253,MMP2,0.587870463,,0.155101645,0.079657111,,0.459608189,0.295417326,,,0.390136133,0,0,0,0
P14780,MMP9,0.59310232,,0.129037929,0.059506739,,0.406666596,0.248149739,,,0.333506666,0,0,0,0
Q86TA1,MOB3B,,0.238418972,0.651327963,,,,,0.616723141,,,,0,0,0
Q13875,MOBP,,0.137032112,0.647432075,,,,,0.432163577,,,,0,0,0
P08118,MSMB,0.556003698,,0.65056379,,,1.047866967,,,,,,0,0,0
O94776,MTA2,,,0.428284771,0.258637442,,,,,,0.668828849,0,0,0,0
Q13126,MTAP,,,0.476676442,0.242081144,,,,,,0.628586202,0,0,0,0
