proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O14949,1.0749085,-0.4987828,1.1347224,1.2317786,0.6921871,1.0498537,1.553733,1.2042422,1.2482621,0.7672061
O14957,-1.1546005,-0.6861639,-0.2059682,-1.0217811,-0.6478851,-0.6823394,-0.8044158,-0.5235601,-0.767924,-0.7431548
O14964,-0.47942944,0.16238371,-0.08679849,-0.43137129,-0.46466732,-0.21300084,-0.23830668,-0.46157603,-0.73025708,-0.19328534
O14976,-0.5706886,-0.2207117,-0.5685913,-0.8244431,-1.3812906,-0.513485,-1.0900185,-0.9630642,-0.5924505,-0.7182138
O14980,0.11436655,0.1219233,0.49449389,0.51305287,-0.06193881,0.20533008,-0.12161085,0.06998319,-0.02554438,0.32649871
O14994,0.36252532,0.65797679,-0.17909348,0.10036179,0.45102148,0.68471992,0.06485174,0.03276876,0.25901085,0.21532659
O15020,-0.12358911,0.60989128,-1.19006247,-0.36061368,-0.4306403,-0.08981813,-0.32456832,-0.21838821,-0.52807295,-0.22129293
O15075,2.65E-01,1.34E-08,3.74E-01,4.01E-01,3.07E-01,2.39E-01,4.64E-01,7.38E-02,9.21E-02,2.82E-01
O15079,-0.14307929,0.11762616,-0.31380062,0.18207118,0.36138893,-0.03598295,-0.05335339,-0.03947924,0.24799901,0.19601099
O15083,-0.08487214,-0.08500913,-0.79159068,-0.46636713,-1.02048947,0.07794965,-0.41051057,-0.55103179,-0.38941284,-0.09989435
O15118,-0.42166227,-0.31042592,-0.35773197,-0.26800468,-0.18051053,-0.44893772,-0.05580157,-0.91802068,-0.38614184,-0.04783384
O15126,0.6320232,0.3414472,0.5008918,0.6090308,0.5676019,0.5915812,0.7208079,0.4072627,0.5339749,0.5721071
O15143,-0.27108309,-0.54065697,-0.05056928,0.05504695,-0.34069385,-0.42516555,0.31936803,-0.10740945,0.08291157,-0.04143474
O15144,0.5608338,0.2240281,0.4717665,0.5051385,-0.185384,0.4534555,0.3921462,0.39951,0.4638419,0.4929849
O15145,0.37988878,-0.2600889,0.26056207,0.25090337,0.19915755,0.24286807,0.4084524,0.28457136,0.26559222,0.05679158
O15173,0.056219345,0.093919515,0.127560463,0.307942547,0.193299114,-0.005793902,0.135413384,0.130620869,0.008676967,-0.022387112
O15240,0.315504853,0.005744773,-0.422568509,-0.106500595,-0.051937762,0.212918629,-0.078074104,-0.336748623,0.29473906,0.182166084
O15294,0.24420344,0.54312411,-0.06296397,0.0617814,0.32505605,0.5244498,-0.22623185,0.17472722,0.14232205,0.19458595
