proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
P00390,14755000,1240700,10789000,11063000,4464000,17983000,16677000,20820000,21889000,19127000
P00395,18925000,155750,28823000,19175000,488000,22837000,23887000,44587000,31409000,29034000
P00403,270100000,584600,517140000,20954000,93467000,340700000,302310000,473070000,324690000,182630000
P00441,13966000,37303,8091000,5981000,1076500,7107600,9123300,18544000,16322000,6903700
P00450,59025,67809,0,0,0,0,802770,112320,641200,815210
P00492,9803500,61408,1404100,2534200,3068400,5610700,5358600,10430000,6981600,3512500
P00505,686430000,17471000,774210000,654050000,162210000,873110000,918630000,931940000,1080800000,894910000
P00533,427410,0,0,364840,0,356540,497840,1837100,370110,1301100
P00558,133390000,1241900,125460000,44464000,20268000,66609000,72914000,160050000,98903000,99439000
P00568,33298000,366900,81516000,6070600,4737900,20340000,17762000,20246000,16352000,14766000
P00739,147990,73018,1264600,0,1724900,0,4298100,1725300,1962500,3051700
P00846,66263000,74035,82525000,40883000,4062600,58705000,38584000,125860000,82415000,47716000
P00915,1590100,35467,21340000,62768,3326300,11047000,16957000,5337700,17202000,8330900
P00918,20139000,759610,48417000,11578000,10559000,17478000,26539000,25612000,26841000,19237000
P00966,540510,0,406730,0,0,271380,119350,529940,302170,371930
P01009,2567500,829270,1982900,2381800,1985700,2019700,3600800,6870800,5175900,16010000
P01011,1721700,249540,1037300,93055,494560,0,4402700,532430,2904000,5344700
P01019,1524700,95735,3322700,1567400,989740,477710,3100300,3453300,1883000,2215400
P01023,1472600,0,4049000,285340,1471600,984520,5554000,1917600,1065700,4068500
P01024,1504200,0,1410200,550990,467660,676580,1178900,2452700,1311900,965060
P01034,14202000,96193,8213900,3731600,2068100,3582200,9053000,7542200,4002300,2658900
P01111,17055000,49970,10244000,4683700,3287000,7203000,8355200,7712500,9768900,6097200
P01112,6428000,0,4557300,2123500,1289300,3491900,3012100,3443000,4829300,1662100
P01213,6511400,0,0,1736900,2440700,0,3402800,1414400,3728200,2023700
P01834,5470700,376270,19202000,4543800,5992400,7211700,10416000,11878000,12643000,7313900
P01857,12515000,2994100,36729000,7412300,8408900,17012000,27361000,26145000,39135000,31409000
P01859,0,0,1165600,0,0,163880,0,467680,254070,184500
P01871,0,60641,0,0,807740,0,0,0,0,0
P01876,4781800,885500,3974800,1482800,2638200,2586900,5654600,5206400,9224800,11366000
P01889,3069900,27085,5854700,2680600,471310,1331100,2706700,1009600,3685400,2838700
P01893,0,0,2554500,2667500,966250,951080,2616700,2316100,1483700,1683600
P01903,805250,0,0,645930,0,1087300,1773000,1334200,1271200,635760
P01911,775330,0,3429000,788480,381020,3323500,4530100,3631900,4646500,1610900
P02042,3214600,0,8572600,0,4238200,4354200,11204000,2431600,3127900,2194200
P02511,296700000,825270,787820000,179570000,28635000,125860000,285800000,402770000,176520000,148520000
P02538,207260,0,0,0,0,1493900,0,1158100,506290,15285000
P02649,14879000,226040,32358000,12298000,18899000,14814000,14373000,25903000,20313000,11560000
P02671,224530,0,0,0,0,239160,1292800,303080,0,816810
P02675,0,26040,744030,0,311710,0,993140,0,632060,1666700
P02679,0,119160,742290,0,560920,0,1015700,0,0,894390
P02686,1096100000,14026000,1495600000,843630000,199290000,327110000,1326200000,1528000000,746270000,1022900000
P02689,72419000,1333200,65984000,47146000,23306000,24095000,89560000,58216000,42741000,41525000
P02730,0,0,11966000,0,0,0,0,0,141080,253510
P02760,0,26009,0,0,0,0,0,0,0,0
P02763,1113000,0,1336300,488000,686140,0,0,631100,1178300,0
P02768,91380000,4909200,149560000,23744000,52450000,74117000,142980000,224480000,122920000,147750000
P02787,6830400,461010,5343600,5511400,3742200,1180200,4563500,18915000,12414000,7677200
P02792,40553000,5738000,49220000,8530800,137200,36057000,178500000,49100000,12512000,7022500
P02794,109140000,1193500,39379000,28951000,6881900,37444000,132620000,77734000,54106000,33500000
P03886,6173700,0,16721000,5683600,183720,16216000,6750600,27637000,13347000,12124000
P03905,1668500,0,3253400,1455300,101720,4566800,741320,8239200,3069500,2866500
P03915,13314000,37614,28248000,13011000,713590,35684000,10281000,60950000,28146000,29946000
P03928,896280,0,1633500,0,0,0,590510,1436800,907570,0
P04040,5385600,363280,21375000,7506500,2347500,8332600,8822300,30213000,7637900,12585000
P04049,1980800,589140,0,658380,889720,0,0,0,0,0
P04062,1606300,199810,2920400,778800,0,1430200,359320,362330,1518400,477640
P04066,365460,0,0,0,0,0,0,0,0,0
P04075,294080000,17803000,302150000,132870000,133150000,166080000,253450000,326260000,280270000,229540000
P04080,2837600,106030,3676900,1109300,929110,1357000,2589100,1653100,1878700,1285300
P04083,4449600,1625700,6678800,1979900,0,75530,14438000,3010800,0,4086100
P04156,8927200,96436,4427100,1763900,855570,5348300,3724900,6887100,6687900,7084500
P04179,160800000,336230,269640000,120040000,16226000,214730000,326300000,206300000,208530000,138970000
P04181,24121000,3247000,77523000,26828000,19172000,43993000,49717000,60139000,49966000,36228000
P04216,20943000,105060,14453000,7430300,0,24055000,5239200,21670000,17411000,16313000
P04233,0,0,0,0,0,0,321300,0,190050,170920
P04259,0,0,0,0,0,0,0,0,0,1582500
P04264,283180000,12533000,138630000,104640000,63550000,156430000,250620000,369740000,148300000,167030000
P04271,908630,0,5370000,0,0,0,505380,4159700,1576300,0
P04350,2708200000,96291000,1314600000,515870000,215100000,1341700000,506490000,1484200000,1195100000,828090000
P04406,381780000,17785000,1797800000,260230000,136300000,481130000,662780000,896380000,626070000,552420000
P04632,1138200,0,1353100,147870,91103,0,814620,249590,380100,576880
P04792,24762000,557330,129180000,7107800,2664100,18854000,28339000,31277000,20520000,16107000
P04839,0,0,0,0,0,0,0,0,0,0
P04843,10557000,965820,46744000,13200000,8322600,11507000,14105000,32460000,17445000,14683000
P04844,1524700,65731,11447000,2993200,1258100,3204700,408290,10036000,2078000,3099600
P04899,24795000,1063700,35296000,8954400,7404900,12983000,19432000,22934000,16648000,21052000
P05023,291710000,68851000,254950000,125900000,114280000,264940000,186820000,270010000,308360000,225440000
P05026,353010000,16560000,206690000,106160000,58595000,212460000,120980000,148220000,217260000,195200000
P05060,1069000,0,0,358160,129120,409330,447890,301280,569670,541860
P05067,0,0,0,0,0,0,0,0,0,0
P05090,36683000,887420,57229000,41983000,29307000,26239000,48416000,35277000,32300000,20890000
P05091,530560000,21117000,1143800000,867100000,223300000,478130000,1452000000,1274000000,1048000000,820510000
P05129,69551000,13247000,24187000,12310000,11856000,23693000,14908000,30747000,23936000,38062000
P05141,1981800000,37665000,3673500000,1902600000,668230000,2463700000,2346500000,3803400000,2897400000,2297800000
P05165,57518000,1636000,88314000,62031000,14470000,63557000,50314000,129100000,92013000,90087000
P05166,38676000,959850,63399000,41029000,21134000,45855000,33828000,85494000,57568000,56078000
P05198,1503600,370330,3088000,292750,828490,457200,2760900,738700,503990,465840
P05230,1197900,0,2530800,121430,0,0,661280,1266800,0,388140
P05386,170090,0,438930,0,0,168730,48544,0,0,0
P05387,665130,23947,0,329230,0,459280,536100,744110,400670,0
P05388,4483200,0,7644100,2996000,977550,2451200,2500500,6360500,4579700,4987300
P05413,1344200,0,1020700,541220,0,378160,995720,1044800,1267600,75771
P05496,296340,0,79466,617070,0,0,274000,4606400,2513800,0
P05771,49603000,5812000,22545000,15413000,10776000,31793000,15238000,38621000,29022000,31111000
P05787,0,0,0,0,0,0,0,0,0,0
P06310,0,0,1130500,0,0,500630,1107500,0,796740,608360
P06396,110090000,5374000,305160000,37461000,18025000,46700000,125950000,154930000,88273000,112360000
P06454,0,0,1161100,625560,784740,0,1938900,1524600,1522300,0
P06576,3943500000,153910000,7169700000,3617500000,1528200000,5362400000,4159500000,9537800000,5578100000,4808100000
P06730,476780,0,1021600,193630,0,214010,301950,329770,0,214680
P06733,283810000,13267000,302950000,92789000,49182000,146970000,239750000,298560000,222780000,213050000
P06744,251690000,48214000,264620000,47065000,36867000,181960000,91297000,128790000,110550000,143880000
P06748,0,0,130070,0,0,0,0,0,0,0
P06753,4435300,0,1744600,2084700,1245800,2515400,4627700,2966600,2931300,3656900
P06756,622960,43059,1827800,246500,0,153720,962380,616040,733750,1023000
P07099,21274000,627300,145900000,40442000,18789000,33008000,59223000,115680000,53506000,47403000
P07101,14949000,342320,5999700,2936500,896840,17067000,1001200,4294400,10459000,9256000
P07195,249720000,9048100,279910000,142350000,105400000,136020000,365210000,326250000,202580000,253050000
P07196,93013000,6581200,40889000,9859900,9117400,18469000,11046000,20158000,18646000,19034000
P07197,27164000,1599300,19569000,3504200,2271700,5573400,5872100,12692000,6240900,14075000
P07203,11994000,0,11723000,9211100,3297100,21607000,41877000,13621000,14155000,5711900
P07237,18206000,732020,53614000,12684000,8948200,12452000,22048000,42101000,19902000,18373000
P07339,79173000,2477200,153460000,115090000,47201000,73322000,139470000,131760000,83099000,99021000
P07355,7565400,662110,7093700,1139600,237530,333610,4178500,7129400,1724400,5543500
P07384,9054200,451530,11721000,3502500,1340300,4578200,4206200,10191000,4450300,5648300
P07437,144310000,23595000,203350000,70760000,30973000,103060000,75434000,142820000,93008000,108120000
P07602,60482000,2341400,80868000,134750000,34326000,24660000,98112000,116080000,56120000,97555000
P07737,21551000,208080,43842000,5924700,4560000,4690800,19022000,13116000,15501000,8140900
P07741,3809800,49786,5206000,1374900,1149000,1509700,4441700,3709100,2368000,1481300
P07814,257290,367420,8943600,615860,680920,154620,1299400,772320,950210,1095900
P07858,3394100,478940,1277900,3037000,1476400,398250,3986600,4924800,4078700,3716500
P07900,254510000,39752000,330460000,86874000,81283000,183480000,128290000,207150000,192090000,257240000
P07947,0,0,60900,0,0,0,0,0,0,0
P07954,221220000,18568000,248450000,203900000,81395000,263180000,258040000,334960000,306050000,285010000
P08133,94010000,1665800,212560000,28194000,12023000,90841000,30221000,82258000,67166000,82854000
P08195,33256000,1596200,47797000,15915000,3527300,28543000,10075000,33119000,24605000,31152000
P08237,74172000,1334100,101410000,24723000,4997100,31373000,23640000,66392000,37668000,40908000
P08238,471540000,41971000,757090000,152950000,115190000,345320000,242260000,389240000,337540000,446100000
P08243,743990,152190,120310,0,0,758260,0,0,50259,672300
P08247,189160000,20919000,88415000,88940000,54506000,196310000,77618000,81174000,109980000,159720000
P08559,160890000,5319000,266140000,149980000,66585000,200230000,196560000,285300000,261510000,232560000
P08574,167100000,145320,396640000,127290000,5619600,255980000,146630000,361000000,208990000,179900000
P08575,404760,0,0,0,0,0,840570,624340,547060,561950
P08670,2672400,1342500,10569000,770230,405580,371480,2469500,2439800,377250,0
P08754,1663700,0,2292800,942490,532450,895080,1522000,1751800,1467200,0
P08758,160380000,3701700,417610000,116270000,75870000,95544000,252400000,204900000,175040000,246770000
P08779,764930,114280,0,0,0,588810,47849,0,0,7146000
P08865,4393800,163880,4345200,3399500,1441300,2343300,7681100,3281300,5925700,4944500
P08962,1116100,311530,2511100,973440,0,549960,3354500,1892600,0,1312200
P09001,814140,0,1103600,695880,591870,996990,1395500,2096200,1751900,1029900
P09104,86845000,2091800,64999000,26218000,8187500,64176000,65366000,117690000,86743000,54628000
P09110,7102600,185750,38672000,6618700,2882300,10033000,10207000,24511000,6236900,9200100
P09211,18353000,47658,52157000,5486500,0,10356000,16949000,28961000,18772000,10761000
P09382,3381600,123380,2495000,389850,360780,1070100,3134600,1182000,2074500,832340
