proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25
Q01344,,,,,17988000,18335000,40525000,56397000,24805000,,,,,,,,,,,44614000,52894000,79060000,1260200,,
Q01433,7015100,,1601600,476760,632280,1210300,7837700,16293000,,,,,789160,,,,102090,3087600,9154600,15601000,,8175300,4468100,6516100,8249000
Q01469,,314790000,987910000,174090000,19704000,129580000,1525000000,964530000,73873000,6642700,22936000,4547800,424740000,1145100000,1362600000,14043000,,65918000,603620000,2058000000,207570000,400430000,209580000,57885000,50012000
Q01484,16288000,195120000,110450000,117040000,151730000,5849600,17625000,5605700,23182000,,828330,8122600,12463000,4727100,,1012400,33118000,34834000,129140000,43943000,22082000,159860000,8809000,2545100,848510000
Q01518,206060000,283770000,547790000,142830000,562560000,766690000,365660000,616410000,414860000,55362000,57280000,62134000,85757000,205130000,509510000,159370000,178580000,75924000,396290000,721120000,430300000,827980000,450640000,459020000,108860000
Q01546,,,,,,,,,,,,,,,,,,,,,,,47126000,,
Q01581,,,468370,,,,,3609600,5226500,,,,,,,,,,,,,,,,
Q01650,,,,,,,,,219890,,,,,,,,,,,,,,,365510,10577000
Q01740,,,357390,,23995000,3765600,7296500,42105000,,,,,295030,29160000,,1613700,1711400,353700,24504000,72829000,15969000,2204600,,,
Q01813,4741600,62578000,317440000,155340000,100480000,6775600,21429000,430780000,152750000,62029000,11146000,46145000,,10337000,21535000,2396100,8367500,33185000,21547000,74909000,59794000,30312000,57261000,9157800,468300000
Q01814,,24580000,13645000,301390,,,225240,,577090,,,3214900,,,1378300,647400,6091200,,,,,,11651000,2475300,302240000
Q01844,2251300,6437000,2618000,12156000,46686000,2570100,12454000,19641000,13501000,,2117100,1375000,6840500,5050800,2942200,12191000,,11742000,32674000,41836000,21678000,21707000,,1321400,
Q01970,,243690,,1238100,,,1659400,2580100,,,,,36780000,143160,4813600,,86536,,,4210600,14055000,1464300,,634240,
Q01995,4994000,316200000,2458700000,1068300000,469760000,1281600000,1375100000,831670000,519850000,109650000,202510000,115320000,590670000,242190000,252140000,825570000,124100000,501840000,1267900000,1179200000,184120000,1301200000,13967000000,28143000000,2598300000
Q02108,189530,,356810,,22643000,,1242400,1893800,681410,,2661000,3891000,,13724000,,358780,,501740,,9743100,1826700,24182000,192630,165500,
Q02127,,,,,2115800,,1567000,36133000,,,,,,,,,,,,,,,270370,491110,
Q02153,462250,1484600,,1298900,42138000,,,16556000,1239700,,1250000,3222300,5679300,,,,8175800,,,47159000,14124000,40206000,1503200,2372800,
Q02218,67459000,424470000,96585000,71532000,184950000,31313000,102950000,1072100000,185020000,16960000,4034700,46866000,446520,16728000,18476000,4975500,21176000,26187000,66336000,92379000,91305000,115400000,172490000,210280000,251050000
Q02246,,637850,,465790,,,,,,,,,,,,,,,,,,,1333300,242130,5723200
Q02252,56521000,43218000,16499000,2078000,36568000,9182700,72707000,287100000,193220000,,5887900,105870,56064,4508100,7962900,194000000,27060000,9519400,85881000,345240000,42722000,90142000,717010000,198030000,640710000
Q02318,2723100,,,,12624000,345070,5383900,34185000,8068000,,2387900,,,,,,2317700,,,146890,,,,,
Q02338,,10208000,2761700,,,,5320900,1646300,51981000,,,,,,902300,1763600,,,,,,,9617500,15509000,27262000
Q02413,,7266000,8843800,9414500,3699500,4383000,,1030600,39858000,,,1290600,,,,,3039200,8920500,19530000,,,4977600,6144500,10305000,1459700
Q02447,1645200,3804500,,,,,,,,,,,,,,,,1194500,1365000,,,,,,
Q02487,,3526700,,,,1704800,,4845000,,,,,,,1181800,,,,,,,58509000,,,
Q02543,,69829000,52530000,55769000,39218000,13433000,23378000,11759000,41981000,,,3339900,,,5459100,4547200,,33554000,38157000,24669000,14954000,20501000,4139200,7213300,3596300
Q02750,13335000,19397000,18125000,3053000,26699000,716500,24536000,48454000,38527000,6936300,1823700,21343000,3471900,3417000,4736100,13655000,8616700,4961000,24457000,43870000,23637000,33146000,31332000,13728000,215960000
Q02790,15849000,87069000,172290000,87512000,331700000,61869000,52067000,90424000,160790000,23399000,25456000,10382000,3390500,14826000,47786000,3302900,5111100,19351000,45534000,79825000,141520000,46533000,58643000,76678000,12185000
Q02809,1519400,1724700,17395000,3006500,6482200,3804800,,3871400,,2647500,,,,3520400,,,,,10154000,,517590,,,,
Q02818,19870000,26781000,10070000,25980000,105180000,83938000,32022000,45216000,44201000,18372000,197440,231820,,20078000,46637000,25388000,3284200,24322000,33824000,89368000,49061000,42328000,21864000,12324000,
Q02878,30686000,257140000,145900000,85129000,18930000,245670,55335000,11359000,682660,12872000,9326000,16054000,9989100,200820000,110600000,61969000,12671000,133130000,170610000,7688300,24114000,25526000,28451000,142730000,6922200
Q02880,,12349000,2649500,12575000,24968000,3745900,3052700,31646000,4829500,188450,,5608300,7407900,,,3928400,660080,3460300,1961800,28437000,17955000,10374000,,1426600,370320
Q02952,104330000,18763000,163950000,752650000,1949500000,79302000,3298800000,1053400000,53291000,1584000000,136890000,59386000,2038000000,989060000,2388800000,291700000,185310000,1298300000,1175400000,5164500000,1129600000,2923800000,31588000,40757000,33573000
Q02978,,19321000,484660,3864500,160180000,20855000,39046000,168690000,490500000,,,,,1171400,997150,,1142400,11208000,2303900,22433000,3200800,82178000,26594000,26165000,338380000
Q03001,,1988000,10061000,5212000,4804100,155220,908860,2502500,38057000,,,,,,,,94139,2104500,787850,2095800,554810,1241700,370620,1436600,15271000
Q03013,,19166000,,1949000,,,,,,,,,,,,5832600,9414900,,,,,,,,4949100
Q03135,131390000,100350000,45297000,17699000,68276000,302110000,325090000,379430000,240300000,60575000,12156000,21956000,53941000,,4970900,277440000,9322700,63372000,26924000,183630000,336790000,268750000,174360000,765560000,6768600
Q03154,271140,76075000,8096700,10843000,17722000,662230,9035100,15433000,59771000,175760,11575000,26101000,,1402000,,,4742200,8736200,7841000,5907800,,7652900,,,
Q03252,,10626000,3588200,6099600,772470000,595480000,1527000000,386130000,314570000,1969800,2633500,,12753000,2029800,4728100,17567000,4088000,1120800,5600500,922960000,2767300000,643980000,47407000,119950000,2288400
Q03426,,10009000,,,,,,,,,,,,,,,,,,,,,,,
Q03518,,270600,945110,,1995700,9767700,,6381600,2187300,,,,,,,,,107980,712780,815140,4601300,,,676470,
Q03591,,8764800,33803000,,,3234500,15401000,14547000,,2227200,,,,,1209600,,2011300,,846550,914880,,639980,5361900,16908000,
Q04446,,153680000,117620000,36915000,35904000,7581900,20383000,92626000,59696000,,,21238000,1398700,,2950500,1773300,613720,,,30956000,7154900,42995000,581790,4358800,
Q04637,8098600,170850000,120610000,62029000,149490000,11571000,64412000,47495000,106610000,5778200,16756000,7424100,9227100,9834400,8593600,8907100,2917600,70133000,72145000,115910000,46207000,321490000,352260,1996900,816920
Q04695,450140,12598000,23342000,7002100,,75200000,4860200,13654000,33778000,,,,,12292000,40258000,,920930,13648000,6235500,15637000,2259400,,2826200,10311000,1924700
Q04721,,,,,,,,497090,,,,,,,,,,,,,870200,,951100,,
Q04760,723380,254650000,491840000,391690000,320050000,224540000,740270000,401150000,237020000,76393000,73357000,39729000,120260000,113740000,184860000,87992000,23738000,29535000,95776000,441400000,114830000,516980000,155620000,90050000,266580000
Q04828,,102260000,,2950600,,1521300,378180,373910000,92358000,6746400,12539000,129920000,,11152000,37480000,,6811500,1439300,1560600,,29266000,36182000,12151000,37437000,6749000
Q04837,,32366000,52644000,39245000,117480000,16043000,35165000,106800000,140380000,,,7002700,,6911100,19317000,12623000,648260,23753000,13174000,28335000,24261000,41313000,41341000,32449000,14045000
Q04917,9142900,364430000,391340000,183270000,589490000,492180000,949560000,525670000,917490000,54173000,18680000,68900000,75992000,393530000,416810000,469010000,46420000,311260000,280320000,324700000,125580000,611040000,96833000,196660000,363680000
Q04941,,10910000,14577000,12056000,54687000,8970300,38176000,11667000,76665000,,,,,,6580100,14380000,,,1499800,28482000,61535000,27425000,8606300,34111000,
Q05086,,679840,,,5266200,,,3268200,3356400,,330810,8429900,,,,,,155250,,,554390,2120400,284600,579590,
Q05193,35694000,164460000,159310000,8554600,29542000,8889600,25693000,28239000,10851000,7299100,5627300,60957000,6241600,12697000,8277000,9149800,70085000,11568000,676660,31894000,15949000,29165000,19999000,2065500,2042700000
Q05329,,4472000,6909300,,,,,,,,,,,,2837500,,,229810,,,,,,,2676100
Q05397,,6588400,72252,224520,,905350,1270700,3834200,1454000,,,,,,,,,,9759300,,2188700,4521500,15892000,,
