Uniprot,Control,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9,Control.10,Control.11,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Disease.21,Disease.22,Fold Change,t_test_p_value
P12081,-0.279896522,0.015152755,-0.110016505,-1.128755697,-0.519322214,-0.433074764,-0.20971022,-0.159898718,-0.447076733,-0.823440592,-0.132449188,-0.179465699,0.360003777,0.170999544,0.036672183,0.009555142,-0.119639877,-0.135230344,-0.180054642,-0.046693103,0.005277808,-0.253104074,0.049168429,-0.208629097,-0.012543768,-0.001741269,-0.135888672,-0.595209667,-0.778609322,-0.164863723,-0.799976497,-0.851341163,-0.252426414,0.179216985,-0.608710872,0.512958309,0.45245074
P12235,0.65451751,0.64508561,-0.38656292,0.82979711,0.69707462,0.32183897,0.98044965,0.4736828,0.79845294,0.92036045,0.75696773,0.88612562,0.36574048,0.09859365,0.13168783,-0.18814379,0.70089931,0.70608678,0.76079166,0.57233999,0.80533062,0.66581507,0.58671947,0.83902273,0.84832614,0.73436947,0.65212891,0.75117976,0.79075813,0.72779417,0.71987396,0.67992557,0.62460575,0.69315763,0.75464884,0.965406075,0.915015379
P12236,1.400377,1.0094872,0.2687275,1.5058216,1.2093073,1.0455571,1.7655965,1.6288687,1.7620912,1.7675494,1.4884219,1.7047888,1.0253332,0.8039963,1.0492979,0.8864823,0.774876,1.3223486,1.50464,1.2665005,1.3007877,1.3767218,1.2679799,1.6930339,1.6396375,1.5833936,1.5291453,1.717317,1.7140715,1.6051533,1.6072437,1.5932923,1.5605674,1.5446406,1.5179344,1.00475594,0.713226621
P12270,-0.08982525,-0.10096742,-0.49207978,-0.29623849,-0.49648089,0.14065863,-0.28487549,0.06842886,-0.9716036,-1.0532719,-0.30195847,-0.8259713,-0.1165454,-0.12093975,-0.32787682,-0.43771279,-0.3891248,-0.81216299,-0.81645169,-0.63929213,-0.29933493,-0.35418796,-0.56443572,-0.10191317,-0.47680186,-0.56373175,-0.59858027,-0.59050645,-0.31756809,-0.47500664,-1.61372731,-0.25800558,-0.47270038,-0.6332953,-0.55601777,1.279443837,0.350082617
P12273,1.078558204,0.793599901,1.093162072,0.390651652,1.06683929,0.997203191,-0.423944141,-0.259364708,-0.289231662,-0.378401947,-0.355819338,-0.342581773,1.2510744,1.491161439,0.88066726,1.08795142,1.256439153,0.531905562,0.736379702,0.876370448,0.64479821,0.80004721,1.158922186,-0.828508539,-0.573263093,-0.407652406,0.015193244,-0.322902657,-0.356043481,-0.967257913,-0.362716116,-0.001276891,-0.250176716,-0.502172146,-0.445445449,0.88438001,0.72240379
P12277,1.820401,2.076636,1.660752,2.198117,2.014655,1.958819,2.007059,2.142458,1.744071,1.96845,1.793549,2.225957,2.050825,1.927942,2.111615,1.736862,2.242111,2.158624,2.354617,2.239006,2.074473,2.194526,2.06508,2.218486,2.134023,2.203935,2.251559,2.309453,2.123785,2.122873,2.149515,2.081647,2.26884,2.007987,2.261409,1.089161131,0.013517044
P12532,0.39714191,0.31275403,-0.1172314,0.25041692,0.92638353,0.63609378,-0.01492548,0.30926892,0.64951339,0.38970645,0.67019351,0.45544618,0.46451426,0.25341633,0.12027442,0.28922266,0.42265034,0.52684958,0.65680991,0.98012069,0.84635239,0.77881714,0.83442445,-0.44291388,0.28106248,0.04429126,0.22129367,0.31169528,0.55068925,0.43861521,0.73330402,0.48189752,0.58058427,0.47403954,0.62456556,1.123169678,0.689583347
P12814,-0.820355598,-0.535386262,0.045758353,0.828771661,0.191637525,0.531602998,1.039012448,0.692753106,1.192572717,0.944037327,0.709480865,0.831410096,0.156784598,-0.00051749,0.258926815,0.068322271,0.515460008,0.712719776,0.985842901,0.113528991,0.373370118,0.104786401,0.051619104,0.6004871,0.737838051,0.772201525,0.768919927,0.858042004,1.062254451,0.858153415,0.87353964,0.72927837,0.755717946,0.779710326,0.768985595,1.191505707,0.867731204
P12956,0.70500695,0.91155477,-0.02224077,1.02574418,1.21881627,0.79940606,0.64406456,0.95520042,0.57263209,0.31446084,0.92035307,0.72376057,0.31289552,0.50442579,0.92084659,-0.08779285,1.02646872,1.09787377,1.02880553,1.05371291,0.98416526,1.19940081,1.10729253,0.88115959,0.87034173,0.76498834,0.60280399,0.83495315,0.56270348,0.71864951,0.5568667,0.58487537,0.39244013,0.66539819,0.40621708,1.01087083,0.626436276
P13010,0.510443189,0.567276284,0.191440022,0.881782839,1.005626251,0.51891524,0.701400797,0.874605679,0.529844774,0.442218611,0.708274141,0.670859206,0.023326958,0.006319444,0.240909974,-1.56453823,1.026715013,0.993917288,0.786337536,1.023555943,0.998893271,1.027654628,0.79741058,0.698424953,0.632087437,0.612281123,0.495863349,0.832016156,0.45045382,0.561508605,0.448702516,0.484415178,0.586087856,0.512417575,0.491388337,0.83490957,0.774285979
