Uniprot,Control,Control.1,Control.2,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Fold Change,t_test_p_value
O00764,1.0218125,1.012528,0.9971801,1.0551108,1.1390691,1.0056635,1.0346657,0.8577114,1.1585944,1.026694,1.1884265,1.1552835,1.2080946,1.1823249,1.159137,1.1256871,1.2418923,1.1954974,0.9882543,1.1468205,0.8876645,0.9739653,1.0367879,1.0870636,1.076989373,0.039780996
O14495,0.49064338,0.19034827,-0.51851036,-0.13924291,0.55281209,-0.70844808,0.40175803,0.0530221,0.34382584,0.01664956,0.36000573,0.44496583,-0.10995966,0.3002536,0.0588264,0.50805429,0.50172723,0.13527092,0.33793123,0.19056187,0.20314489,0.39847004,0.35560203,0.35663721,4.010895426,0.188252374
O14525,-0.949288652,-0.403095284,-0.384097261,-0.512140491,-0.515385361,-0.334243961,-0.249494002,-0.033263411,0.006118714,-0.978020765,-0.412730005,-0.484370431,-0.51895941,-0.124494749,-0.330095704,-0.405694055,-0.233020044,-0.552236313,-0.071004659,-0.293239164,-1.040009791,-0.865067229,-1.013418126,-0.440673565,0.77343954,0.890674286
O14531,0.6922898,0.8628337,1.0179369,0.9351925,0.6670715,0.683594,0.8734406,0.3069253,1.0665977,0.6535582,0.7817975,0.7177147,0.8908389,0.8857888,0.9063384,0.9125994,0.8062878,0.7458184,0.8207358,0.8416854,0.841094,0.8700347,1.0184284,0.6975661,0.939576417,0.058096688
O14548,0.021937292,-0.110113344,-0.009640272,-0.291664533,-0.624718322,-0.114413733,-0.078096595,-0.285758272,-0.094088854,-0.212284727,-0.047648852,-0.38909838,-0.146833031,-0.093068419,0.251340047,0.117278661,-0.258537111,0.057442687,-0.172048499,-0.137505613,-0.058036909,0.015793643,-0.003682511,-0.318462064,4.212109374,0.940330076
O14558,-0.318366638,-0.691060876,0.143907846,-0.523019549,-0.21804191,0.072351146,-0.054567571,-0.086463269,-0.444200113,-0.112388483,-0.305306876,0.097876923,-0.664989573,-0.237687941,-0.143670655,0.770184728,0.0032737,-0.004392148,-0.441180556,-0.449815314,-0.381769326,-0.152524569,-0.551991876,0.343189332,0.57523392,0.503371314
O14561,-0.039299916,0.194251198,-0.515190419,-0.11227949,-0.080931996,-0.454456993,-0.643144046,0.000857934,-0.053148814,-0.115774141,-0.036080492,-0.16871145,-0.02306017,-0.17556846,-0.868553064,0.037658577,-0.262097596,-0.272665639,-0.045420267,-0.310160489,-0.154466658,-0.086765719,0.116272247,-0.075407037,1.500552341,0.868705308
O14576,-0.47571565,0.34653492,0.22458732,0.35350713,-0.86218683,-0.08583385,0.06510709,-0.35351659,0.17288297,0.39437956,0.09759196,-0.34865838,-0.41103959,-0.24527643,-0.08022589,0.11871745,-0.85124496,-0.15896814,-0.12376408,-0.11446538,0.05180138,-0.33989798,0.11985301,-0.16156401,-4.136883387,3.64E-05
O14579,-0.82497322,-0.88324751,-0.70515793,-0.75540401,-0.23080435,-0.37742242,-0.72571272,-0.26283831,-0.39300028,-0.42254411,-0.26610215,-0.11550121,-0.1237979,-0.45079392,-0.37812089,-0.19896533,-0.74110048,0.22926735,-0.46674496,-0.16308817,-0.59745543,-0.91045564,-0.26652029,-0.04389089,0.453483754,0.000439921
O14594,0.6891582,0.981326,0.7498973,0.9014158,0.7672907,0.5638097,0.3201502,0.6129928,0.70354,0.7934305,0.5524922,0.7090436,0.7820764,0.9074045,0.6876098,0.6609527,0.682946,0.6382219,0.6482896,0.5774737,0.9173052,0.9957563,0.8530534,0.7711502,0.888077544,0.10743423
O14617,0.39718212,0.46962467,-0.02260547,0.29583479,-0.29183329,-0.37758325,0.2258143,0.03266431,-0.08053242,0.32882221,0.03196006,-0.30220416,-0.60997269,0.047096,0.0253652,0.02556173,-0.34899748,0.03780633,-0.13266893,0.0413032,0.19041299,-0.48502021,0.07265775,-0.02460406,-0.219669609,0.136980078
O14618,-0.82508285,-0.63930412,0.02100262,-0.10269746,-0.50556744,-0.68155872,-0.72129383,0.04466961,-0.44645704,-0.30666901,-0.12011667,-0.3881067,-0.90313199,-0.40778684,-0.34865752,-0.13381332,-0.46140588,-0.20928458,-0.68904165,-0.77934003,-0.1015071,-0.98208905,-0.85683094,-0.07292652,0.907946728,0.405956185
O14639,0.272184964,-0.316574512,0.154451862,-0.398042874,-0.239804084,0.175105859,0.006148002,-0.369772352,0.03464149,-0.122178899,0.087522977,0.242165877,-0.33212036,-0.789953503,-0.654305421,-0.129367866,-1.041013544,-0.135146456,0.021315664,-1.283531314,-0.555961396,-0.331413719,-0.258308664,-0.22447211,-8.175229447,0.61338301
O14662,-0.7882269,-0.5562391,-0.9542841,-0.7923379,-0.8492537,-0.7574221,-0.9783938,-1.0642792,-0.9736384,-1.064249,-0.8687871,-0.8040773,-1.0514058,-0.6158945,-0.9734899,-1.3633379,-1.0145769,-0.7922022,-1.0137141,-0.9327035,-0.9727116,-0.9794784,-1.1072751,-0.9322809,1.236790705,0.240308429
