Uniprot,Fold Change_PXD007073,t_test_p_value_PXD007073,Fold Change_PXD005321,t_test_p_value_PXD005321,Fold Change_PXD005319,t_test_p_value_PXD005319,Fold Change_PXD008036,t_test_p_value_PXD008036,Fold Change_PXD014852,t_test_p_value_PXD014852,Fold Change_PXD014950,t_test_p_value_PXD014950,Fold Change_PXD021630,t_test_p_value_PXD021630,Fold Change_PXD023199,t_test_p_value_PXD023199,Fold Change_PXD027173,t_test_p_value_PXD027173,Fold Change_PXD028931,t_test_p_value_PXD028931,Fold Change_PXD037133,t_test_p_value_PXD037133,Fold Change_PXD009199,t_test_p_value_PXD009199,Fold Change_PXD014376,t_test_p_value_PXD014376,Fold Change_PXD014606,t_test_p_value_PXD014606,Fold Change_PXD022092,t_test_p_value_PXD022092,Fold Change_PXD024998,t_test_p_value_PXD024998
O14745,0.509428872,0.164270228,0.887649166,0.696267466,0.444725182,0.414960083,0.837599352,0.941529782,0.834910347,0.810006459,0.176429694,0.661875605,0.27626275,0.299846555,,,0.798868463,0.349991726,0.715957083,0.138683003,0.291337658,0.338217919,0.484355065,0.11279084,0.166457604,0.46750032,0.351879782,0.138638002,,,0.396884867,0.262643417
O14773,0.51499365,0.285719411,0.887608554,0.502358538,0.444827027,0.967678008,0.838225091,0.311976436,0.837232376,0.302269848,0.176837533,0.252551626,0.276228077,0.784884768,,,0.798875364,0.212127338,0.716045909,0.095967247,0.291474156,0.237275035,0.484105274,0.633870699,0.170946636,0.362093251,0.345941216,0.953989768,0.415017631,0.58792209,0.395144526,0.814857925
O14786,0.515002574,0.813214782,,,,,,,0.83861399,0.153295274,,,,,,,0.798772305,0.140736098,,,,,,,,,0.351800969,2.63E-05,,,,
O14787,0.515813772,0.414480067,0.887621756,0.370092753,0.445007446,0.713843919,0.837639217,0.499627597,,,0.173629619,0.370254554,0.27707819,0.095000566,,,0.798890227,0.922649873,,,0.291114732,0.024050187,0.482969382,0.114894171,,,0.351977578,0.991457936,,,,
O14818,0.515369821,0.098864061,0.887698292,0.904251396,0.444963269,0.299522277,0.838117563,0.157422386,0.837234177,0.15707563,0.176693273,0.239898437,0.276299052,0.483918671,0.228557196,0.625649838,0.799186618,0.066031354,0.715999053,0.3702808,0.291438219,0.043512898,0.48402902,0.380484037,0.169941682,0.575763386,0.351973908,0.794015381,0.41712447,0.076164437,0.395370553,0.921881259
O14828,0.550939681,0.115628854,,,0.444896645,0.541273975,0.838176422,0.527511754,0.837019979,0.541836077,0.176497308,0.11137957,0.273592442,0.644757251,,,0.798902509,0.557880488,0.716144878,0.488779933,0.290406518,0.901779552,0.480798511,0.554243192,,,0.351511352,0.381455066,0.416818053,0.444434613,,
O14841,0.514670973,0.257038645,,,0.413213963,0.573559711,0.837486663,0.543615259,,,,,0.283812858,0.2079823,,,0.798826032,0.654329318,,,0.29140973,0.786056163,,,,,0.351862822,0.206092268,0.415298121,0.247153235,,
O14880,0.514511772,0.003697983,0.88763289,0.306350163,0.445131546,0.741895683,0.837704461,0.096500311,0.835093651,0.880242105,0.175169733,0.877053361,0.276577045,0.960846849,0.226310766,0.790007559,0.798851754,0.249623377,,,0.291166164,0.009644414,0.483741271,0.435451691,0.170028632,0.381576316,0.351727027,0.033253728,0.415083197,0.35311818,0.392413946,0.262052448
O14907,0.51468437,0.144809537,,,0.445254723,0.367164943,0.838130093,0.956268683,0.836987727,0.389989315,0.176359491,0.298547633,0.275992345,0.086384787,,,0.798905564,0.928981932,0.715864291,0.030828174,0.291515748,0.867013812,0.483452537,0.106957329,,,0.351767526,0.821470874,0.414587183,0.426345468,0.328852076,0.020961802
O14936,0.515100078,0.324884324,0.887753575,0.25734371,0.444347341,0.006448422,0.839097947,0.293248089,0.83717965,0.557208718,0.181230755,0.495446153,0.276581812,0.639832473,,,0.799004403,0.069419748,0.71725798,0.609084329,0.290938174,0.134966937,0.483866853,0.701606996,,,0.351964269,0.919048315,0.4160549,0.406168063,,
O14949,0.51537774,0.124500492,0.887520257,0.596618597,0.44455345,0.679411372,0.837083841,0.807491339,0.837103653,0.601035148,0.174921877,0.604775139,0.282998146,0.303191436,,,0.798849837,0.307303008,,,0.29132843,0.649017666,0.483670902,0.652429784,0.166543561,0.279377675,0.351716251,0.00119738,0.414954938,0.295517037,,
O14964,0.514723519,0.748009765,0.887454219,0.04784583,0.44413929,0.67467632,0.836986607,0.517226777,0.837158051,0.721902459,0.176494785,0.172968397,0.276924799,0.208902332,0.226378063,0.855270154,0.798871651,0.380143569,0.716085645,0.963312752,0.29102231,0.010688828,0.48377959,0.040396617,,,0.351928662,0.130186903,0.415385101,0.428254932,,
O14974,0.51466542,0.757551819,,,0.444170959,0.65411068,0.837603016,0.547021549,0.837558185,0.812060412,0.176608181,0.717681119,0.276865092,0.718378226,,,0.79900701,0.409712973,0.716309776,0.647401495,0.29085746,0.026850085,0.482957484,0.462171447,,,0.351923578,0.067875651,,,,
O14979,0.514100065,0.414007519,0.889294563,0.00039005,0.444231759,1.63E-05,0.836444089,9.47E-06,0.835780171,0.339806114,0.176752085,0.725252656,0.276302137,0.6063561,0.226520134,0.951870524,0.798898291,0.842538735,0.715994281,0.588905066,0.291460689,0.147935066,0.48408266,0.700493958,,,0.352089152,0.175347906,,,,
O14980,0.512862794,0.631734139,0.887646187,0.716198744,0.444663269,0.985596516,0.837736002,0.221867217,0.836621507,0.074734139,0.176769194,0.653329305,0.276539375,0.205336328,,,0.79890418,0.808183,0.71952882,0.89337959,0.29146055,0.02748347,0.483734541,0.569995415,,,0.352088832,8.45E-05,0.415695943,0.709613759,,
O15020,0.516546569,0.730210615,0.887630055,0.714642504,0.444777972,0.198274505,0.837590104,0.204827099,,,0.176363501,0.370437807,0.275644858,0.083361243,0.225638121,0.424340252,0.798884303,0.557036771,0.716155238,0.331466418,0.291409735,0.455174163,0.483840417,0.389831778,0.169264743,0.288376363,0.351793822,0.005450885,0.415927242,0.902921316,,
O15031,0.514868242,0.96555327,0.887665301,0.546433435,0.444576486,0.566397732,0.838538706,0.136356241,0.836666147,0.034039882,0.176613408,0.096504634,0.276725672,0.52868211,,,0.798808746,0.501150644,0.715819385,0.260960577,0.291288274,0.17742155,0.482969148,0.684235011,,,0.35306898,4.59E-05,,,,
O15042,0.509957627,0.377370871,,,,,,,,,0.175688591,0.465113439,0.276397788,0.597553049,,,,,,,,,0.483857163,0.284954418,,,0.351712828,0.551227935,,,,
O15067,0.515156531,0.719286002,,,0.444877737,0.210255935,0.838178598,0.106662032,0.83717918,0.955863319,0.176645311,0.939022858,0.277696794,0.030290136,,,0.798908571,0.86303694,0.716119633,0.713566808,0.2914571,0.38699014,0.48357654,0.548399613,,,0.35217929,0.230048669,,,,
O15075,0.515290689,0.850120622,0.88764671,0.109362753,0.444812262,0.040217838,0.837603465,0.431042436,0.837134198,0.337861837,0.176550574,0.327125848,0.276505613,0.606189726,0.225743785,0.992387303,0.798877495,0.359825289,0.715950698,0.538889118,0.291366329,0.019178287,0.4837809,0.161356315,0.169988118,0.872393506,0.351958455,0.850464858,0.415218376,0.490322585,0.392939937,0.031306593
O15126,0.515047635,0.892418539,,,0.458564173,0.189565219,0.837736995,0.971593816,0.837366453,0.516774345,0.176489789,0.863466245,0.288155015,0.506499759,0.226571851,0.410560064,0.798974582,0.782323999,0.716143265,0.810284684,0.291365762,0.09938736,0.483692251,0.352445158,0.16964532,0.652950484,0.351831577,0.000873127,0.415645672,0.044168171,,
O15143,0.540060866,0.294254814,,,0.444995796,0.95635827,0.837843614,0.705954471,0.837459323,0.25218811,0.176011611,0.587999062,0.303839893,0.584488784,,,,,0.714896445,0.328725301,0.291573311,0.446534704,0.482873889,0.003133266,,,0.345145233,0.010277493,0.919898228,0.301173002,,
O15144,0.515134242,0.828952693,0.88762929,0.22925284,0.444797344,0.446463641,0.837796791,0.123923371,0.837236143,0.530413832,0.176603938,0.381666482,0.276265182,0.31861357,0.226017468,0.915717602,0.798894948,0.322432847,0.715968787,0.677710035,0.291289409,0.005851314,0.48385963,0.86260518,0.169589239,0.131036717,0.351953166,0.708675479,0.415029666,0.193957677,,
O15145,0.515022659,0.486510503,0.887781242,0.008993375,0.444972481,0.012576309,0.837710816,0.492233403,0.836872921,0.208138455,0.177164236,0.522072892,0.27627372,0.573315834,0.226226222,0.149795595,,,0.715943935,0.802217848,0.29140103,0.052106091,0.483925842,0.349802539,,,0.351923225,0.11217597,0.415274605,0.348192322,0.395719331,0.30940965
O15173,0.514822737,0.281707298,,,0.444783895,0.916653345,0.837436727,0.553336007,0.836802072,0.139005107,0.177284659,0.620769011,0.272889106,0.347830509,,,0.798868025,0.279770028,0.716002045,0.058162642,0.288266941,0.001219826,0.484381286,0.960064141,0.169620582,0.303159289,0.351876693,0.617119011,0.417836533,0.023811313,,
O15230,0.515325358,0.86105243,0.887785844,0.570755803,0.444294351,0.289634643,0.83401084,0.436840515,0.837110803,0.987389267,0.177225928,0.62965574,0.27439647,0.237467439,,,0.798906591,0.437000047,0.715537186,0.139540021,0.281209661,0.041729615,0.483832459,0.887837082,,,0.351782796,0.005705104,,,0.398761886,0.835801983
O15247,0.513704541,0.316853668,,,,,,,0.836854068,0.831338173,,,,,,,,,,,,,,,,,,,,,,
O15258,0.514749231,0.009919362,,,,,,,,,0.176355781,0.514936115,,,0.226399676,0.854950726,,,0.715950693,0.464132296,0.290936957,0.099516759,0.483774829,0.291992486,0.169907802,0.754791544,0.351838045,0.001365607,,,0.388236332,0.621784942
